Player,Season,AGE,Pos_C,Pos_LW,Pos_RW,Pos_D,GP,G,A,PTS,PPG,PlusMinus,ATOI,TOI(EV),PIM,PS,EV_A,PP_A,SH_A,GW,S,S_Pct,BLK,HIT,FOW,FOL,FO_Pct,CF,CA,CF_Pct,CF_Pct_rel,FF,FA,FF_Pct,FF_Pct_rel,oiSH_Pct,oiSV_Pct,PDO,oZS_Pct,dZS_Pct,TK,GV,SAtt.,Thru_Pct,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct,LENGTH,AAV
Ilya Lyubushkin,2021,27.0,0,0,0,1,44.66666666666666,0.3333333333333333,3.0,3.333333333333333,0.0746268656716418,-6.0,14.53888888888889,13.608333333333334,13.666666666666666,0.8000000000000002,0.3333333333333333,0.0,0.0,0.0,34.666666666666664,0.9333333333333332,62.0,134.66666666666666,0.0,0.0,0.0,554.3333333333334,606.6666666666666,47.6,-1.4666666666666668,416.6666666666667,451.3333333333333,47.9,-1.4333333333333331,6.533333333333334,92.26666666666668,98.83333333333331,48.63333333333333,51.36666666666667,9.0,18.33333333333333,77.0,45.93333333333334,0.0,0.0,0.0,0.0,1,1350000.0
Adam Lowry,2021,28.0,1,0,0,0,59.66666666666666,8.666666666666666,10.333333333333334,19.0,0.3184357541899441,2.6666666666666665,15.044444444444444,12.391666666666666,23.0,1.4,7.666666666666667,0.0,1.0,2.333333333333333,84.33333333333333,9.933333333333334,33.666666666666664,173.66666666666666,451.0,375.6666666666667,53.96666666666667,634.3333333333334,690.6666666666666,47.36666666666667,-1.7666666666666666,471.3333333333333,516.0,47.2,-1.3999999999999997,7.933333333333334,92.8,100.8,40.26666666666667,59.73333333333333,29.666666666666668,15.666666666666666,145.0,59.36666666666667,0.0,0.0,0.0,0.0,5,3250000.0
Conor Sheary,2021,29.0,0,1,1,0,64.66666666666667,12.666666666666666,13.666666666666666,26.33333333333333,0.4072164948453607,-8.0,13.811111111111112,12.383333333333333,12.0,2.2666666666666666,10.666666666666666,2.0,0.0,1.6666666666666667,112.33333333333331,11.733333333333334,25.0,27.0,7.666666666666667,8.333333333333334,36.96666666666667,759.6666666666666,717.3333333333334,51.6,1.8333333333333333,578.0,553.3333333333334,51.3,1.7666666666666668,8.0,90.26666666666668,98.3,58.70000000000001,41.3,26.33333333333333,19.0,207.5,60.5,1.0,0.3333333333333333,0.6666666666666666,11.1,2,1500000.0
Scott Laughton,2021,27.0,1,1,0,0,61.333333333333336,11.333333333333334,15.0,26.33333333333333,0.4293478260869565,5.0,14.955555555555556,12.516666666666666,39.333333333333336,2.4,11.0,0.0,0.3333333333333333,1.3333333333333333,97.66666666666669,12.3,35.333333333333336,132.0,233.66666666666663,212.0,52.36666666666667,654.3333333333334,751.3333333333334,47.1,-5.133333333333333,494.0,549.0,47.79999999999999,-4.166666666666667,10.033333333333331,92.3,102.3,41.36666666666667,58.63333333333333,28.0,26.666666666666668,166.0,63.16666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,5,3000000.0
Alex Iafallo,2021,27.0,1,1,0,0,69.0,15.0,20.33333333333333,35.333333333333336,0.5120772946859904,-8.0,18.55,14.841666666666663,13.333333333333334,3.0666666666666664,11.0,4.0,0.0,2.333333333333333,136.0,11.033333333333331,46.66666666666666,54.0,6.666666666666667,11.333333333333334,35.2,922.0,926.3333333333334,50.13333333333333,0.4666666666666666,690.6666666666666,698.6666666666666,49.93333333333334,0.5,9.0,89.83333333333333,98.8,47.73333333333333,52.26666666666667,19.666666666666668,13.0,234.0,62.06666666666666,1.0,0.0,1.0,0.0,4,4000000.0
Nikita Gusev,2021,27.0,0,1,1,0,48.5,8.5,18.5,27.0,0.5567010309278351,-13.5,14.525,12.0,7.0,2.0,6.0,2.5,0.0,1.0,115.0,6.9,4.0,8.0,0.5,1.0,16.65,581.0,547.5,53.35,4.25,446.5,416.0,53.5,4.4,6.2,89.85,96.05,52.6,47.400000000000006,16.0,30.5,270.0,60.0,6.0,3.5,2.5,50.0,1,1000000.0
Tanner Pearson,2021,28.0,0,1,0,0,66.66666666666667,16.333333333333332,13.666666666666666,30.0,0.4499999999999999,-11.333333333333334,15.877777777777778,13.091666666666663,26.0,2.566666666666667,13.0,2.6666666666666665,0.6666666666666666,2.0,140.33333333333334,11.366666666666667,36.333333333333336,92.66666666666669,4.666666666666667,12.0,28.166666666666668,829.6666666666666,905.0,47.7,-0.3999999999999999,611.6666666666666,674.3333333333334,47.43333333333334,-1.2,7.766666666666667,91.23333333333332,99.0,44.46666666666667,55.53333333333333,27.0,27.33333333333333,251.5,61.46666666666666,3.0,0.6666666666666666,2.333333333333333,15.0,3,3250000.0
Mason Marchment,2021,26.0,0,1,1,0,18.5,1.0,4.5,5.5,0.2972972972972973,2.0,11.108333333333334,7.9,9.0,0.25,1.0,0.0,0.0,0.0,26.5,2.0,4.0,38.0,7.0,10.5,69.1,206.0,176.0,43.35,-5.199999999999999,151.5,138.0,41.6,-7.15,11.65,91.05,102.7,32.95,67.05,7.0,6.0,6.0,52.8,0.0,0.0,0.0,0.0,1,800000.0
Matt Roy,2021,26.0,0,0,0,1,46.333333333333336,2.6666666666666665,8.666666666666666,11.333333333333334,0.2446043165467626,5.0,18.166666666666668,16.058333333333334,8.666666666666666,3.0,2.6666666666666665,0.0,0.0,0.3333333333333333,67.66666666666667,4.333333333333333,71.33333333333333,77.0,0.0,0.0,0.0,725.6666666666666,701.3333333333334,48.86666666666667,-1.0,548.6666666666666,529.3333333333334,48.833333333333336,-0.3333333333333332,9.7,91.6,101.33333333333331,48.46666666666667,51.53333333333333,5.0,28.33333333333333,159.0,43.333333333333336,0.0,0.0,0.0,0.0,3,3150000.0
Trevor van Riemsdyk,2021,29.0,0,0,0,1,49.0,1.6666666666666667,6.666666666666667,8.333333333333334,0.1700680272108843,-4.0,15.672222222222222,13.733333333333333,7.333333333333333,1.4,1.6666666666666667,0.0,0.0,0.3333333333333333,61.0,2.9666666666666663,49.333333333333336,25.33333333333333,0.0,0.0,0.0,680.6666666666666,586.3333333333334,53.23333333333333,-0.4666666666666666,507.0,445.0,52.73333333333333,-0.7333333333333334,6.633333333333333,91.56666666666666,98.16666666666669,51.76666666666667,48.23333333333333,14.333333333333334,19.666666666666668,158.5,49.4,0.0,0.0,0.0,0.0,2,950000.0
Jack Roslovic,2021,23.0,1,0,1,0,65.33333333333333,11.0,18.0,29.0,0.4438775510204082,-3.0,13.85,11.333333333333334,10.0,2.466666666666667,7.666666666666667,3.333333333333333,0.0,0.3333333333333333,92.0,12.2,21.33333333333333,41.333333333333336,131.0,185.66666666666663,43.3,730.6666666666666,728.6666666666666,49.86666666666667,2.333333333333333,543.3333333333334,559.6666666666666,49.16666666666666,1.7333333333333334,8.633333333333335,91.6,100.2,60.23333333333333,39.76666666666667,22.666666666666668,31.0,165.5,60.46666666666667,0.6666666666666666,0.0,0.6666666666666666,0.0,2,1838362.0
Ben Hutton,2021,27.0,0,0,0,1,57.333333333333336,3.333333333333333,10.333333333333334,13.666666666666666,0.2383720930232558,-10.333333333333334,19.694444444444443,17.43333333333333,22.666666666666668,2.3666666666666667,3.0,0.3333333333333333,0.0,0.6666666666666666,94.0,3.266666666666667,72.33333333333333,50.0,0.0,0.0,0.0,936.6666666666666,943.3333333333334,49.5,-1.2,700.0,720.6666666666666,49.06666666666666,-1.5333333333333332,6.8,91.1,97.86666666666667,44.96666666666667,55.03333333333333,15.666666666666666,31.0,239.5,49.7,0.0,0.0,0.0,0.0,1,950000.0
Trevor Lewis,2021,33.0,0,0,1,0,52.0,4.666666666666667,6.666666666666667,11.333333333333334,0.2179487179487179,-3.0,11.927777777777775,11.725,9.0,0.6,4.0,0.0,0.6666666666666666,1.0,82.33333333333333,5.766666666666667,23.0,64.0,37.66666666666666,48.66666666666666,47.56666666666666,482.0,481.6666666666667,49.4,-0.6333333333333332,371.0,362.0,49.9,0.4333333333333333,6.766666666666667,92.3,99.06666666666666,44.93333333333334,55.06666666666666,10.333333333333334,11.333333333333334,142.0,62.3,0.0,0.0,0.0,0.0,1,750000.0
Marcus Foligno,2021,29.0,0,1,1,0,60.0,9.666666666666666,13.666666666666666,23.33333333333333,0.3888888888888889,8.666666666666666,13.838888888888889,11.383333333333333,44.66666666666666,2.3666666666666667,9.333333333333334,0.0,0.3333333333333333,0.6666666666666666,72.33333333333333,16.0,32.0,166.33333333333334,8.0,13.0,34.03333333333333,598.3333333333334,589.0,49.73333333333333,0.1666666666666666,456.6666666666667,431.3333333333333,50.833333333333336,0.6666666666666666,10.533333333333331,91.7,102.26666666666668,43.6,56.4,25.666666666666668,14.666666666666666,143.0,62.866666666666674,0.0,0.0,0.0,0.0,3,3100000.0
Travis Hamonic,2021,29.0,0,0,0,1,52.333333333333336,4.333333333333333,9.333333333333334,13.666666666666666,0.2611464968152866,5.0,20.477777777777774,17.741666666666667,33.0,3.033333333333333,4.0,0.0,0.3333333333333333,0.3333333333333333,96.66666666666669,4.3,119.33333333333331,43.66666666666666,0.0,0.6666666666666666,0.0,917.0,913.0,49.1,-1.4666666666666666,679.0,684.0,48.86666666666667,-1.1333333333333333,9.0,91.3,100.3,49.16666666666666,50.833333333333336,22.666666666666668,39.0,227.0,48.833333333333336,0.0,0.0,0.0,0.0,1,1250000.0
Andy Greene,2021,37.0,0,0,0,1,66.66666666666667,2.6666666666666665,12.0,14.666666666666666,0.2199999999999999,0.3333333333333333,19.322222222222223,16.158333333333335,12.666666666666666,3.5,2.6666666666666665,0.0,0.0,0.0,71.33333333333333,3.3666666666666667,154.0,46.0,0.0,0.0,0.0,896.6666666666666,1084.0,45.4,-3.1,689.3333333333334,795.3333333333334,46.53333333333333,-2.5,8.133333333333333,92.23333333333332,100.36666666666667,45.333333333333336,54.66666666666666,20.666666666666668,35.0,165.5,46.2,0.0,0.0,0.0,0.0,1,700000.0
Matt Martin,2021,31.0,0,1,1,0,58.66666666666666,5.666666666666667,5.333333333333333,11.0,0.1875,0.6666666666666666,10.97222222222222,10.5,43.0,0.7333333333333334,5.333333333333333,0.3333333333333333,0.0,1.0,59.66666666666666,9.566666666666666,29.666666666666668,232.66666666666663,4.0,7.333333333333333,35.96666666666667,461.6666666666667,569.3333333333334,44.7,-3.633333333333333,339.6666666666667,406.3333333333333,45.26666666666667,-3.4,7.166666666666667,93.76666666666668,100.93333333333334,35.53333333333333,64.46666666666667,11.666666666666666,14.0,101.0,60.86666666666667,0.0,0.0,0.0,0.0,4,1500000.0
Mike Hoffman,2021,30.0,0,1,1,0,67.66666666666667,27.33333333333333,27.666666666666668,55.0,0.8128078817733989,-9.0,16.57777777777778,13.708333333333332,22.666666666666668,6.0,15.666666666666666,11.666666666666666,0.0,4.0,193.33333333333331,14.266666666666666,20.0,34.666666666666664,8.666666666666666,12.0,49.20000000000001,853.6666666666666,835.6666666666666,50.23333333333333,1.5333333333333332,638.6666666666666,633.6666666666666,49.8,0.9,9.666666666666666,89.60000000000001,99.23333333333332,59.46666666666667,40.53333333333333,33.333333333333336,56.66666666666666,427.0,56.7,1.3333333333333333,0.3333333333333333,1.0,11.1,1,4000000.0
Jesper Bratt,2021,21.0,0,1,1,0,52.333333333333336,10.333333333333334,21.33333333333333,31.666666666666668,0.6050955414012739,-3.333333333333333,15.077777777777778,12.291666666666668,6.666666666666667,2.966666666666667,9.0,1.3333333333333333,0.0,1.3333333333333333,97.66666666666669,10.5,20.666666666666668,32.0,3.333333333333333,6.333333333333333,37.833333333333336,618.3333333333334,623.0,50.16666666666666,2.9333333333333336,476.3333333333333,464.6666666666667,50.93333333333334,3.6666666666666665,9.066666666666666,89.86666666666667,98.9,50.76666666666667,49.23333333333333,17.333333333333332,23.33333333333333,148.0,62.06666666666666,2.0,0.6666666666666666,1.3333333333333333,44.43333333333334,2,2750000.0
Mathew Barzal,2021,23.0,1,0,0,0,68.33333333333333,18.0,37.66666666666666,55.66666666666666,0.8146341463414635,5.0,18.9,15.966666666666663,46.0,5.733333333333333,15.333333333333334,2.6666666666666665,0.0,2.0,161.33333333333334,11.3,37.333333333333336,23.0,207.0,285.6666666666667,42.2,1110.3333333333333,999.6666666666666,52.9,7.733333333333333,828.0,724.6666666666666,53.66666666666666,8.299999999999999,8.866666666666667,90.76666666666668,99.66666666666669,59.9,40.1,54.66666666666666,88.33333333333333,294.0,60.3,6.666666666666667,2.0,4.666666666666667,30.73333333333333,3,7000000.0
Riley Sheahan,2021,28.0,1,1,0,0,67.0,7.0,8.666666666666666,15.666666666666666,0.2338308457711442,-10.0,13.18888888888889,10.775,10.333333333333334,0.5666666666666667,6.0,0.0,1.0,1.0,74.66666666666667,9.566666666666666,30.666666666666668,38.333333333333336,341.6666666666667,333.3333333333333,50.73333333333333,578.3333333333334,718.0,44.5,-4.066666666666666,449.6666666666667,537.3333333333334,45.43333333333334,-3.3666666666666667,7.566666666666666,90.53333333333336,98.1,34.766666666666666,65.23333333333333,32.0,19.0,136.5,65.03333333333333,0.0,0.0,0.0,0.0,1,700000.0
Sami Vatanen,2021,29.0,0,0,0,1,45.333333333333336,3.6666666666666665,11.666666666666666,15.333333333333334,0.3382352941176471,-8.666666666666666,20.166666666666668,16.791666666666668,21.33333333333333,2.333333333333333,2.333333333333333,1.3333333333333333,0.0,0.0,85.66666666666667,4.2,68.66666666666667,48.333333333333336,0.0,0.0,0.0,671.3333333333334,698.0,49.36666666666667,-0.1333333333333333,509.0,530.3333333333334,49.3,-0.4333333333333333,8.366666666666667,90.0,98.36666666666667,49.2,50.8,12.666666666666666,27.0,202.0,51.3,0.0,0.0,0.0,0.0,1,2000000.0
Luke Kunin,2021,22.0,1,0,1,0,50.0,10.333333333333334,12.0,22.33333333333333,0.4466666666666666,-5.333333333333333,15.111111111111107,13.125,31.666666666666668,1.9333333333333331,10.0,0.0,0.3333333333333333,1.3333333333333333,95.66666666666669,10.866666666666667,36.0,71.66666666666667,104.33333333333331,134.66666666666666,40.6,586.6666666666666,676.3333333333334,46.53333333333333,-5.033333333333334,450.3333333333333,497.0,47.53333333333333,-4.566666666666666,8.933333333333334,90.66666666666669,99.6,47.26666666666667,52.73333333333333,9.666666666666666,13.0,201.0,56.06666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,2,2300000.0
Oliver Bjorkstrand,2021,26.0,0,1,1,0,60.66666666666666,20.666666666666668,18.0,38.66666666666666,0.6373626373626373,0.3333333333333333,15.961111111111114,13.183333333333334,14.333333333333334,4.633333333333334,18.0,2.6666666666666665,0.0,2.0,155.33333333333334,13.3,26.666666666666668,42.66666666666666,4.666666666666667,8.333333333333334,37.66666666666666,763.6666666666666,724.0,51.4,2.966666666666667,590.6666666666666,536.0,52.56666666666666,3.3000000000000003,9.566666666666668,90.2,99.76666666666668,54.7,45.3,34.0,22.33333333333333,269.0,60.16666666666666,2.333333333333333,1.0,1.3333333333333333,25.0,5,5400000.0
Dylan Strome,2021,23.0,1,1,0,0,58.66666666666666,13.666666666666666,23.666666666666668,37.333333333333336,0.6363636363636365,-7.666666666666667,15.866666666666667,13.175,16.666666666666668,3.233333333333333,9.666666666666666,4.0,0.0,2.0,104.33333333333331,12.966666666666669,31.33333333333333,14.666666666666666,303.0,330.0,47.7,720.3333333333334,775.3333333333334,47.93333333333334,0.3,526.6666666666666,576.0,47.833333333333336,1.0333333333333334,9.566666666666668,90.1,99.7,55.7,44.3,31.33333333333333,26.666666666666668,191.5,63.76666666666667,0.6666666666666666,0.0,0.6666666666666666,0.0,2,3000000.0
John Marino,2021,24.0,0,0,0,1,54.0,4.5,15.0,19.5,0.3611111111111111,11.0,20.491666666666667,17.433333333333334,14.0,3.95,3.5,1.0,0.0,0.5,58.5,7.6,63.5,60.0,0.0,0.0,0.0,776.5,740.0,51.25,0.5499999999999999,586.0,547.0,51.7,0.65,10.7,91.5,102.2,48.55,51.45,33.0,31.5,157.0,45.85,0.0,0.0,0.0,0.0,6,4400000.0
Vince Dunn,2020,23.0,0,0,0,1,74.66666666666667,8.666666666666666,18.666666666666668,27.33333333333333,0.3660714285714285,10.0,17.01111111111111,14.96111111111111,30.666666666666668,5.633333333333333,5.666666666666667,3.0,0.0,2.0,142.0,6.033333333333334,58.0,42.333333333333336,0.3333333333333333,0.3333333333333333,33.333333333333336,1137.3333333333333,927.3333333333334,55.1,5.3,838.0,693.0,54.7,4.066666666666666,8.366666666666667,92.0,100.36666666666667,59.7,40.3,20.0,39.333333333333336,285.3333333333333,49.8,0.0,0.0,0.0,0.0,1,1875000.0
Pierre-Luc Dubois,2020,22.0,1,0,0,0,78.0,21.666666666666668,31.0,52.66666666666666,0.6752136752136751,7.333333333333333,17.427777777777777,14.866666666666667,54.0,5.733333333333333,18.666666666666668,3.0,0.0,4.333333333333333,165.66666666666666,13.0,49.333333333333336,109.0,425.0,543.0,43.96666666666667,1206.0,1066.0,53.0,4.066666666666666,932.3333333333334,794.3333333333334,53.93333333333334,3.733333333333333,9.633333333333333,90.76666666666668,100.43333333333334,65.0,35.0,36.66666666666666,43.0,285.0,58.06666666666666,2.333333333333333,1.3333333333333333,1.0,66.66666666666667,2,5000000.0
Zdeno Chara,2020,43.0,0,0,0,1,67.66666666666667,5.666666666666667,11.666666666666666,17.333333333333332,0.2561576354679802,23.33333333333333,21.666666666666668,18.072222222222223,59.0,5.4,5.333333333333333,0.3333333333333333,0.0,2.333333333333333,109.66666666666669,5.266666666666667,102.33333333333331,100.0,0.0,0.0,0.0,1172.6666666666667,1119.3333333333333,51.06666666666666,-2.066666666666667,901.3333333333334,840.3333333333334,51.73333333333333,-1.4333333333333331,10.1,92.56666666666666,102.66666666666669,43.7,56.3,32.0,56.66666666666666,225.66666666666663,49.93333333333334,0.0,0.0,0.0,0.0,1,795000.0
Derick Brassard,2020,32.0,1,1,0,0,69.33333333333333,15.0,18.666666666666668,33.666666666666664,0.4855769230769231,-7.0,15.47777777777778,13.311111111111112,29.666666666666668,2.866666666666667,11.666666666666666,3.333333333333333,0.0,1.3333333333333333,139.0,10.833333333333334,21.33333333333333,104.33333333333331,332.0,333.0,50.8,861.3333333333334,962.3333333333334,46.833333333333336,-1.5333333333333332,636.3333333333334,714.3333333333334,46.8,-2.433333333333333,9.0,90.86666666666667,99.93333333333334,50.0,50.0,34.333333333333336,36.0,229.33333333333331,60.1,1.6666666666666667,0.0,1.6666666666666667,0.0,1,1000000.0
Ethan Bear,2020,23.0,0,0,0,1,44.5,3.0,9.5,12.5,0.2808988764044944,-7.5,20.3,17.833333333333336,21.5,1.95,2.0,1.0,0.0,0.5,59.5,5.05,67.0,36.5,0.0,0.0,0.0,784.0,838.0,47.2,0.0,580.5,641.0,46.2,-2.05,7.45,90.5,98.05,55.85,44.15,24.5,51.0,113.0,49.55,0.0,0.0,0.0,0.0,2,2000000.0
Andreas Athanasiou,2020,25.0,1,1,1,0,67.33333333333333,19.0,18.666666666666668,37.66666666666666,0.5594059405940595,-23.33333333333333,16.044444444444444,13.894444444444446,28.0,3.1333333333333333,16.666666666666668,2.333333333333333,0.0,2.6666666666666665,171.66666666666666,10.6,26.0,31.0,106.66666666666669,145.66666666666666,42.06666666666667,819.6666666666666,926.6666666666666,46.86666666666667,-0.5000000000000001,624.6666666666666,717.6666666666666,46.66666666666666,-0.9,8.1,88.3,96.36666666666667,53.73333333333333,46.26666666666667,26.33333333333333,38.0,304.3333333333333,56.7,2.0,1.0,1.0,44.43333333333334,1,1200000.0
