,Player,Season,AGE,Pos_C,Pos_LW,Pos_RW,Pos_D,Pos_G,GP,G,A,PTS,PlusMinus,ATOI,TOI(EV),PIM,PS,EV_A,PP_A,SH_A,GW,S,S_Pct,BLK,HIT,FOW,FOL,FO_Pct,CF,CA,CF_Pct,CF_Pct_rel,FF,FA,FF_Pct,FF_Pct_rel,oiSH_Pct,oiSV_Pct,PDO,oZS_Pct,dZS_Pct,TK,GV,SAtt.,Thru_Pct,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,TYPE,LENGTH,AAV
10,Artem Zub,2021,25,0,0,0,1,0,47.0,3.0,11.0,14.0,4.0,18.383333333333333,,26.0,2.8,3.0,0.0,0.0,1.0,39.0,7.7,70.0,89.0,0.0,0.0,0.0,651.0,677.0,49.0,1.0,496.0,502.0,49.7,1.9,12.1,89.5,101.6,36.9,63.1,8.0,36.0,,45.9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,2,2500000
11,Alexander Barabanov,2021,27,0,1,1,0,0,22.0,3.0,5.0,8.0,1.0,12.316666666666666,,6.0,0.7,2.0,1.0,0.0,1.0,23.0,13.0,14.0,7.0,0.0,0.0,0.0,207.0,226.0,47.8,1.9,158.0,169.0,48.3,1.9,12.1,88.1,100.2,42.0,58.0,9.0,9.0,,54.8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,1,1000000
12,Ryan Lindgren,2021,23,0,0,0,1,0,38.666666666666664,0.6666666666666666,9.333333333333334,10.0,10.0,17.05,14.100000000000001,30.0,2.266666666666667,0.6666666666666666,0.0,0.0,0.0,40.0,1.2,43.0,67.66666666666667,0.0,0.0,0.0,499.3333333333333,533.3333333333334,46.26666666666667,2.0666666666666664,374.6666666666667,396.0,46.800000000000004,1.2333333333333334,8.966666666666667,88.03333333333335,96.93333333333334,56.06666666666666,43.93333333333334,15.666666666666666,17.333333333333332,50.5,63.46666666666667,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,3,3000000
13,Riley Stillman,2021,23,0,0,0,1,0,18.666666666666668,0.3333333333333333,1.6666666666666667,2.0,0.6666666666666666,15.283333333333333,14.008333333333333,10.666666666666666,0.5,0.3333333333333333,0.0,0.0,0.0,23.0,1.1333333333333333,28.666666666666668,38.333333333333336,0.0,0.0,0.0,255.0,281.6666666666667,56.4,9.433333333333334,191.0,210.0,53.03333333333334,6.666666666666667,10.833333333333334,83.76666666666667,94.60000000000001,40.03333333333334,59.96666666666666,6.0,15.0,42.5,49.9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,3,1350000
14,Ryan Hartman,2021,26,1,0,1,0,0,67.66666666666667,9.333333333333334,13.333333333333334,22.666666666666668,1.6666666666666667,13.47777777777778,11.666666666666666,58.666666666666664,1.7666666666666668,8.666666666666666,0.3333333333333333,0.3333333333333333,1.6666666666666667,111.0,8.566666666666668,42.0,68.66666666666667,95.0,120.0,40.36666666666667,738.6666666666666,745.3333333333334,49.36666666666667,0.3666666666666667,552.3333333333334,565.3333333333334,49.23333333333333,-0.3333333333333333,9.233333333333333,91.26666666666667,100.46666666666665,43.699999999999996,56.300000000000004,30.0,27.0,217.0,57.699999999999996,0.6666666666666666,0.0,0.6666666666666666,0.0,,,,,,,,,,,,,,,Standard,3,1700000
15,Ilya Lyubushkin,2021,27,0,0,0,1,0,44.666666666666664,0.3333333333333333,3.0,3.3333333333333335,-6.0,14.538888888888886,13.608333333333334,13.666666666666666,0.8000000000000002,0.3333333333333333,0.0,0.0,0.0,34.666666666666664,0.9333333333333332,62.0,134.66666666666666,0.0,0.0,0.0,554.3333333333334,606.6666666666666,47.6,-1.4666666666666668,416.6666666666667,451.3333333333333,47.9,-1.4333333333333333,6.533333333333334,92.26666666666667,98.83333333333333,48.633333333333326,51.366666666666674,9.0,18.333333333333332,77.0,45.93333333333334,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,1,1350000
16,Adam Lowry,2021,28,1,0,0,0,0,59.666666666666664,8.666666666666666,10.333333333333334,19.0,2.6666666666666665,15.044444444444444,12.391666666666666,23.0,1.4000000000000001,7.666666666666667,0.0,1.0,2.3333333333333335,84.33333333333333,9.933333333333334,33.666666666666664,173.66666666666666,451.0,375.6666666666667,53.96666666666667,634.3333333333334,690.6666666666666,47.36666666666667,-1.7666666666666666,471.3333333333333,516.0,47.199999999999996,-1.3999999999999997,7.933333333333334,92.8,100.8,40.26666666666667,59.73333333333333,29.666666666666668,15.666666666666666,145.0,59.36666666666667,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,5,3250000
17,Conor Sheary,2021,29,0,1,1,0,0,64.66666666666667,12.666666666666666,13.666666666666666,26.333333333333332,-8.0,13.811111111111112,12.383333333333333,12.0,2.2666666666666666,10.666666666666666,2.0,0.0,1.6666666666666667,112.33333333333333,11.733333333333334,25.0,27.0,7.666666666666667,8.333333333333334,36.96666666666667,759.6666666666666,717.3333333333334,51.6,1.8333333333333333,578.0,553.3333333333334,51.300000000000004,1.7666666666666668,8.0,90.26666666666667,98.3,58.70000000000001,41.300000000000004,26.333333333333332,19.0,207.5,60.5,1.0,0.3333333333333333,0.6666666666666666,11.1,,,,,,,,,,,,,,,Standard,2,1500000
18,Scott Laughton,2021,27,1,1,0,0,0,61.333333333333336,11.333333333333334,15.0,26.333333333333332,5.0,14.955555555555556,12.516666666666666,39.333333333333336,2.4,11.0,0.0,0.3333333333333333,1.3333333333333333,97.66666666666667,12.299999999999999,35.333333333333336,132.0,233.66666666666666,212.0,52.36666666666667,654.3333333333334,751.3333333333334,47.1,-5.133333333333333,494.0,549.0,47.79999999999999,-4.166666666666667,10.033333333333333,92.3,102.3,41.36666666666667,58.63333333333333,28.0,26.666666666666668,166.0,63.166666666666664,0.3333333333333333,0.0,0.3333333333333333,0.0,,,,,,,,,,,,,,,Standard,5,3000000
19,Alex Iafallo,2021,27,1,1,0,0,0,69.0,15.0,20.333333333333332,35.333333333333336,-8.0,18.55,14.841666666666665,13.333333333333334,3.0666666666666664,11.0,4.0,0.0,2.3333333333333335,136.0,11.033333333333333,46.666666666666664,54.0,6.666666666666667,11.333333333333334,35.199999999999996,922.0,926.3333333333334,50.133333333333326,0.4666666666666666,690.6666666666666,698.6666666666666,49.93333333333334,0.49999999999999983,9.0,89.83333333333333,98.8,47.73333333333333,52.26666666666667,19.666666666666668,13.0,234.0,62.06666666666666,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,Standard,4,4000000
20,Nikita Gusev,2021,27,0,1,1,0,0,48.5,8.5,18.5,27.0,-13.5,14.524999999999999,12.0,7.0,2.0,6.0,2.5,0.0,1.0,115.0,6.8999999999999995,4.0,8.0,0.5,1.0,16.65,581.0,547.5,53.349999999999994,4.25,446.5,416.0,53.5,4.4,6.2,89.85,96.05000000000001,52.599999999999994,47.400000000000006,16.0,30.5,270.0,60.0,6.0,3.5,2.5,50.0,,,,,,,,,,,,,,,Standard,1,1000000
21,Tanner Pearson,2021,28,0,1,0,0,0,66.66666666666667,16.333333333333332,13.666666666666666,30.0,-11.333333333333334,15.877777777777778,13.091666666666665,26.0,2.566666666666667,13.0,2.6666666666666665,0.6666666666666666,2.0,140.33333333333334,11.366666666666667,36.333333333333336,92.66666666666667,4.666666666666667,12.0,28.166666666666668,829.6666666666666,905.0,47.699999999999996,-0.39999999999999997,611.6666666666666,674.3333333333334,47.43333333333334,-1.2000000000000002,7.766666666666666,91.23333333333333,99.0,44.46666666666667,55.53333333333333,27.0,27.333333333333332,251.5,61.46666666666666,3.0,0.6666666666666666,2.3333333333333335,15.0,,,,,,,,,,,,,,,Standard,3,3250000
22,Mason Marchment,2021,26,0,1,1,0,0,18.5,1.0,4.5,5.5,2.0,11.108333333333334,7.9,9.0,0.25,1.0,0.0,0.0,0.0,26.5,2.0,4.0,38.0,7.0,10.5,69.1,206.0,176.0,43.35,-5.199999999999999,151.5,138.0,41.599999999999994,-7.15,11.65,91.05000000000001,102.7,32.95,67.05,7.0,6.0,6.0,52.8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,1,800000
23,Thatcher Demko,2021,25,0,0,0,0,1,23.666666666666668,0.0,0.3333333333333333,0.3333333333333333,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333333333333334,1.3333333333333333,7.0,83.33333333333333,22.666666666666668,11.0,10.333333333333334,1.3333333333333333,67.33333333333333,758.0,690.6666666666666,0.911,2.9066666666666667,0.3333333333333333,4.566666666666666,1383.3333333333333,13.333333333333334,3.3333333333333335,Standard,5,5000000
24,Matt Roy,2021,26,0,0,0,1,0,46.333333333333336,2.6666666666666665,8.666666666666666,11.333333333333334,5.0,18.166666666666668,16.058333333333334,8.666666666666666,3.0,2.6666666666666665,0.0,0.0,0.3333333333333333,67.66666666666667,4.333333333333333,71.33333333333333,77.0,0.0,0.0,0.0,725.6666666666666,701.3333333333334,48.86666666666667,-1.0,548.6666666666666,529.3333333333334,48.833333333333336,-0.3333333333333332,9.700000000000001,91.59999999999998,101.33333333333333,48.46666666666666,51.53333333333334,5.0,28.333333333333332,159.0,43.333333333333336,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,3,3150000
25,Trevor van Riemsdyk,2021,29,0,0,0,1,0,49.0,1.6666666666666667,6.666666666666667,8.333333333333334,-4.0,15.672222222222222,13.733333333333333,7.333333333333333,1.4000000000000001,1.6666666666666667,0.0,0.0,0.3333333333333333,61.0,2.9666666666666663,49.333333333333336,25.333333333333332,0.0,0.0,0.0,680.6666666666666,586.3333333333334,53.23333333333333,-0.4666666666666666,507.0,445.0,52.73333333333333,-0.7333333333333334,6.633333333333333,91.56666666666666,98.16666666666667,51.76666666666667,48.23333333333333,14.333333333333334,19.666666666666668,158.5,49.4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,2,950000
26,Jordan Binnington,2021,27,0,0,0,0,1,41.333333333333336,0.0,0.6666666666666666,0.6666666666666666,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,3.3333333333333335,8.666666666666666,73.63333333333334,40.333333333333336,24.0,10.666666666666666,5.333333333333333,97.66666666666667,1145.6666666666667,1048.0,0.9163333333333333,2.3666666666666667,2.6666666666666665,7.233333333333333,2424.0,23.0,3.6666666666666665,Standard,6,6000000
27,Jack Roslovic,2021,23,1,0,1,0,0,65.33333333333333,11.0,18.0,29.0,-3.0,13.85,11.333333333333334,10.0,2.466666666666667,7.666666666666667,3.3333333333333335,0.0,0.3333333333333333,92.0,12.200000000000001,21.333333333333332,41.333333333333336,131.0,185.66666666666666,43.300000000000004,730.6666666666666,728.6666666666666,49.86666666666667,2.3333333333333335,543.3333333333334,559.6666666666666,49.166666666666664,1.7333333333333334,8.633333333333335,91.60000000000001,100.2,60.23333333333333,39.766666666666666,22.666666666666668,31.0,165.5,60.46666666666667,0.6666666666666666,0.0,0.6666666666666666,0.0,,,,,,,,,,,,,,,Standard,2,1838362
28,Ben Hutton,2021,27,0,0,0,1,0,57.333333333333336,3.3333333333333335,10.333333333333334,13.666666666666666,-10.333333333333334,19.694444444444443,17.43333333333333,22.666666666666668,2.3666666666666667,3.0,0.3333333333333333,0.0,0.6666666666666666,94.0,3.266666666666667,72.33333333333333,50.0,0.0,0.0,0.0,936.6666666666666,943.3333333333334,49.5,-1.2,700.0,720.6666666666666,49.06666666666666,-1.5333333333333332,6.8,91.09999999999998,97.86666666666667,44.96666666666667,55.03333333333333,15.666666666666666,31.0,239.5,49.699999999999996,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,1,950000
29,Cory Schneider,2021,34,0,0,0,0,1,26.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,4.0,44.4,23.0,6.0,13.0,4.0,70.0,718.0,648.0,0.903,3.06,1.0,3.4,1372.0,10.0,5.0,Standard,1,700000
30,Trevor Lewis,2021,33,0,0,1,0,0,52.0,4.666666666666667,6.666666666666667,11.333333333333334,-3.0,11.927777777777777,11.725,9.0,0.6,4.0,0.0,0.6666666666666666,1.0,82.33333333333333,5.766666666666667,23.0,64.0,37.666666666666664,48.666666666666664,47.56666666666666,482.0,481.6666666666667,49.4,-0.6333333333333332,371.0,362.0,49.9,0.4333333333333333,6.766666666666667,92.3,99.06666666666668,44.93333333333334,55.06666666666666,10.333333333333334,11.333333333333334,142.0,62.300000000000004,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,1,750000
31,Craig Anderson,2021,39,0,0,0,0,1,50.0,0.0,2.0,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,47.0,17.0,27.0,4.0,163.0,1676.0,1513.0,0.903,3.51,2.0,8.1,2785.0,19.0,8.0,35+,1,700000
32,Marcus Foligno,2021,29,0,1,1,0,0,60.0,9.666666666666666,13.666666666666666,23.333333333333332,8.666666666666666,13.838888888888889,11.383333333333333,44.666666666666664,2.3666666666666667,9.333333333333334,0.0,0.3333333333333333,0.6666666666666666,72.33333333333333,16.0,32.0,166.33333333333334,8.0,13.0,34.03333333333334,598.3333333333334,589.0,49.73333333333333,0.16666666666666666,456.6666666666667,431.3333333333333,50.833333333333336,0.6666666666666666,10.533333333333333,91.7,102.26666666666667,43.6,56.4,25.666666666666668,14.666666666666666,143.0,62.86666666666667,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,3,3100000
33,Travis Hamonic,2021,29,0,0,0,1,0,52.333333333333336,4.333333333333333,9.333333333333334,13.666666666666666,5.0,20.477777777777778,17.741666666666667,33.0,3.033333333333333,4.0,0.0,0.3333333333333333,0.3333333333333333,96.66666666666667,4.3,119.33333333333333,43.666666666666664,0.0,0.6666666666666666,0.0,917.0,913.0,49.1,-1.4666666666666666,679.0,684.0,48.86666666666667,-1.1333333333333333,9.0,91.3,100.3,49.166666666666664,50.833333333333336,22.666666666666668,39.0,227.0,48.833333333333336,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,1,1250000
34,Andy Greene,2021,37,0,0,0,1,0,66.66666666666667,2.6666666666666665,12.0,14.666666666666666,0.3333333333333333,19.322222222222223,16.158333333333335,12.666666666666666,3.5,2.6666666666666665,0.0,0.0,0.0,71.33333333333333,3.3666666666666667,154.0,46.0,0.0,0.0,0.0,896.6666666666666,1084.0,45.4,-3.1,689.3333333333334,795.3333333333334,46.53333333333333,-2.5,8.133333333333335,92.23333333333333,100.36666666666667,45.333333333333336,54.666666666666664,20.666666666666668,35.0,165.5,46.199999999999996,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,35+,1,700000
35,Matt Martin,2021,31,0,1,1,0,0,58.666666666666664,5.666666666666667,5.333333333333333,11.0,0.6666666666666666,10.972222222222223,10.5,43.0,0.7333333333333334,5.333333333333333,0.3333333333333333,0.0,1.0,59.666666666666664,9.566666666666666,29.666666666666668,232.66666666666666,4.0,7.333333333333333,35.96666666666667,461.6666666666667,569.3333333333334,44.70000000000001,-3.6333333333333333,339.6666666666667,406.3333333333333,45.26666666666667,-3.4,7.166666666666667,93.76666666666667,100.93333333333334,35.53333333333333,64.46666666666667,11.666666666666666,14.0,101.0,60.86666666666667,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,4,1500000
36,Mike Hoffman,2021,30,0,1,1,0,0,67.66666666666667,27.333333333333332,27.666666666666668,55.0,-9.0,16.57777777777778,13.708333333333332,22.666666666666668,6.0,15.666666666666666,11.666666666666666,0.0,4.0,193.33333333333334,14.266666666666666,20.0,34.666666666666664,8.666666666666666,12.0,49.20000000000001,853.6666666666666,835.6666666666666,50.23333333333333,1.5333333333333332,638.6666666666666,633.6666666666666,49.800000000000004,0.9,9.666666666666666,89.60000000000001,99.23333333333333,59.46666666666666,40.53333333333334,33.333333333333336,56.666666666666664,427.0,56.699999999999996,1.3333333333333333,0.3333333333333333,1.0,11.1,,,,,,,,,,,,,,,Standard,1,4000000
37,Jesper Bratt,2021,21,0,1,1,0,0,52.333333333333336,10.333333333333334,21.333333333333332,31.666666666666668,-3.3333333333333335,15.077777777777778,12.291666666666668,6.666666666666667,2.9666666666666663,9.0,1.3333333333333333,0.0,1.3333333333333333,97.66666666666667,10.5,20.666666666666668,32.0,3.3333333333333335,6.333333333333333,37.833333333333336,618.3333333333334,623.0,50.166666666666664,2.9333333333333336,476.3333333333333,464.6666666666667,50.93333333333334,3.6666666666666665,9.066666666666666,89.86666666666667,98.90000000000002,50.76666666666667,49.23333333333333,17.333333333333332,23.333333333333332,148.0,62.06666666666666,2.0,0.6666666666666666,1.3333333333333333,44.43333333333334,,,,,,,,,,,,,,,Standard,2,2750000
38,Mathew Barzal,2021,23,1,0,0,0,0,68.33333333333333,18.0,37.666666666666664,55.666666666666664,5.0,18.900000000000002,15.966666666666665,46.0,5.733333333333333,15.333333333333334,2.6666666666666665,0.0,2.0,161.33333333333334,11.299999999999999,37.333333333333336,23.0,207.0,285.6666666666667,42.199999999999996,1110.3333333333333,999.6666666666666,52.9,7.733333333333333,828.0,724.6666666666666,53.666666666666664,8.299999999999999,8.866666666666667,90.76666666666665,99.66666666666667,59.9,40.1,54.666666666666664,88.33333333333333,294.0,60.29999999999999,6.666666666666667,2.0,4.666666666666667,30.733333333333334,,,,,,,,,,,,,,,Standard,3,7000000
39,Riley Sheahan,2021,28,1,1,0,0,0,67.0,7.0,8.666666666666666,15.666666666666666,-10.0,13.188888888888888,10.775,10.333333333333334,0.5666666666666667,6.0,0.0,1.0,1.0,74.66666666666667,9.566666666666668,30.666666666666668,38.333333333333336,341.6666666666667,333.3333333333333,50.73333333333333,578.3333333333334,718.0,44.5,-4.066666666666666,449.6666666666667,537.3333333333334,45.43333333333334,-3.3666666666666667,7.566666666666666,90.53333333333335,98.09999999999998,34.76666666666667,65.23333333333333,32.0,19.0,136.5,65.03333333333335,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,1,700000
40,Sami Vatanen,2021,29,0,0,0,1,0,45.333333333333336,3.6666666666666665,11.666666666666666,15.333333333333334,-8.666666666666666,20.166666666666668,16.791666666666668,21.333333333333332,2.3333333333333335,2.3333333333333335,1.3333333333333333,0.0,0.0,85.66666666666667,4.2,68.66666666666667,48.333333333333336,0.0,0.0,0.0,671.3333333333334,698.0,49.36666666666667,-0.13333333333333333,509.0,530.3333333333334,49.300000000000004,-0.4333333333333333,8.366666666666667,90.0,98.36666666666667,49.20000000000001,50.79999999999999,12.666666666666666,27.0,202.0,51.300000000000004,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,1,2000000
41,Anthony Stolarz,2021,27,0,0,0,0,1,13.0,0.0,0.5,0.5,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,1.5,3.0,75.0,9.5,4.0,4.0,1.5,33.5,366.5,333.0,0.9135,2.825,1.0,2.05,666.5,5.0,1.5,Standard,2,950000
42,Luke Kunin,2021,22,1,0,1,0,0,50.0,10.333333333333334,12.0,22.333333333333332,-5.333333333333333,15.111111111111112,13.125,31.666666666666668,1.9333333333333333,10.0,0.0,0.3333333333333333,1.3333333333333333,95.66666666666667,10.866666666666667,36.0,71.66666666666667,104.33333333333333,134.66666666666666,40.6,586.6666666666666,676.3333333333334,46.53333333333333,-5.033333333333333,450.3333333333333,497.0,47.53333333333334,-4.566666666666666,8.933333333333334,90.66666666666667,99.60000000000001,47.26666666666667,52.73333333333333,9.666666666666666,13.0,201.0,56.06666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,,,,,,,,,,,,,,,Standard,2,2300000
43,Oliver Bjorkstrand,2021,26,0,1,1,0,0,60.666666666666664,20.666666666666668,18.0,38.666666666666664,0.3333333333333333,15.96111111111111,13.183333333333334,14.333333333333334,4.633333333333333,18.0,2.6666666666666665,0.0,2.0,155.33333333333334,13.299999999999999,26.666666666666668,42.666666666666664,4.666666666666667,8.333333333333334,37.666666666666664,763.6666666666666,724.0,51.4,2.966666666666667,590.6666666666666,536.0,52.56666666666666,3.2999999999999994,9.566666666666666,90.2,99.76666666666667,54.699999999999996,45.300000000000004,34.0,22.333333333333332,269.0,60.166666666666664,2.3333333333333335,1.0,1.3333333333333333,25.0,,,,,,,,,,,,,,,Standard,5,5400000
