,Player,Season,AGE,GP,PTS,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,LENGTH,AAV
140,Mike Smith,2020,38.0,45.333333333333336,2.333333333333333,9.666666666666666,5.0,4.666666666666667,41.16666666666666,44.0,22.33333333333333,16.666666666666668,4.666666666666667,118.66666666666669,1280.6666666666667,1162.0,0.9053333333333334,2.773333333333333,2.0,6.699999999999999,2582.6666666666665,23.0,9.0,1,1500000.0
150,Thomas Greiss,2020,34.0,33.666666666666664,0.3333333333333333,11.666666666666666,2.333333333333333,9.333333333333334,53.76666666666667,30.666666666666668,17.333333333333332,10.333333333333334,2.6666666666666665,85.0,967.3333333333334,882.3333333333334,0.9106666666666668,2.9466666666666668,2.0,5.566666666666666,1794.0,16.333333333333332,6.333333333333333,2,3600000.0
156,Braden Holtby,2020,30.0,53.66666666666666,1.0,16.333333333333332,4.333333333333333,12.0,76.3,53.0,30.33333333333333,16.333333333333332,5.0,151.66666666666666,1609.3333333333333,1457.6666666666667,0.905,2.973333333333333,1.0,8.166666666666666,3072.6666666666665,28.33333333333333,9.666666666666666,2,4300000.0
161,Corey Crawford,2020,35.0,39.5,2.0,8.0,3.5,4.5,45.85,39.0,15.0,19.0,4.0,108.0,1235.0,1127.0,0.9125,2.85,1.5,7.300000000000001,2276.5,21.0,4.0,2,3900000.0
163,Anton Forsberg,2020,27.0,35.0,1.0,13.0,6.0,7.0,53.8,30.0,10.0,16.0,4.0,85.0,921.0,836.0,0.908,2.97,0.0,4.7,1715.0,14.0,7.0,1,700000.0
186,Keith Kinkaid,2020,30.0,41.0,1.0,12.5,4.0,8.5,69.85,38.0,20.5,14.0,4.5,117.5,1201.0,1083.5,0.902,3.065,2.0,5.55,2300.0,17.0,7.5,2,825000.0
187,Jacob Markstrom,2020,30.0,54.333333333333336,2.333333333333333,27.666666666666668,7.666666666666667,20.0,68.33333333333333,53.333333333333336,24.666666666666668,21.666666666666668,6.666666666666667,145.66666666666666,1687.0,1541.3333333333333,0.914,2.7433333333333336,1.6666666666666667,9.966666666666669,3188.333333333333,29.33333333333333,6.666666666666667,6,6000000.0
189,Anton Khudobin,2020,34.0,34.0,1.6666666666666667,14.333333333333334,2.6666666666666665,11.666666666666666,82.56666666666666,30.666666666666668,16.0,10.333333333333334,5.333333333333333,77.66666666666667,996.6666666666666,919.0,0.922,2.45,1.0,6.833333333333333,1892.6666666666667,19.33333333333333,3.0,3,3333333.0
194,Cam Talbot,2020,32.0,42.66666666666666,0.6666666666666666,6.666666666666667,2.6666666666666665,4.0,47.16666666666666,40.333333333333336,18.0,19.33333333333333,2.333333333333333,119.66666666666669,1271.0,1151.3333333333333,0.9063333333333334,3.016666666666667,1.3333333333333333,6.366666666666667,2357.0,17.333333333333332,7.666666666666667,3,3666667.0
199,Matt Murray,2020,26.0,45.66666666666666,0.6666666666666666,7.0,1.6666666666666667,5.333333333333333,74.10000000000001,44.333333333333336,25.33333333333333,13.666666666666666,4.666666666666667,123.0,1357.3333333333333,1234.3333333333333,0.9083333333333332,2.8266666666666667,2.0,7.366666666666667,2617.0,21.33333333333333,8.0,4,6250000.0
200,Henrik Lundqvist,2020,38.0,48.333333333333336,1.6666666666666667,15.333333333333334,6.333333333333333,9.0,55.56666666666666,46.333333333333336,18.0,20.33333333333333,6.666666666666667,138.66666666666666,1539.3333333333333,1400.6666666666667,0.909,3.0700000000000003,1.0,8.466666666666667,2729.6666666666665,25.0,6.666666666666667,1,1500000.0
201,Malcolm Subban,2020,26.0,21.33333333333333,0.0,6.333333333333333,0.3333333333333333,6.0,88.89999999999999,19.33333333333333,10.0,7.0,2.333333333333333,58.333333333333336,590.6666666666666,532.3333333333334,0.9006666666666666,2.926666666666667,0.3333333333333333,2.7,1197.0,7.666666666666667,4.0,2,850000.0
221,Brian Elliott,2020,35.0,37.0,1.0,14.0,5.0,9.0,59.05,34.5,19.5,9.0,5.5,96.0,1012.0,916.0,0.904,2.765,1.5,5.0,2098.0,17.0,7.0,1,1500000.0
222,Tristan Jarry,2020,25.0,29.5,1.0,7.5,1.5,6.0,62.5,27.0,17.0,9.0,1.5,70.5,836.0,765.5,0.9145,2.6,2.5,5.1,1645.0,16.5,3.5,3,3500000.0
223,Robin Lehner,2020,28.0,45.0,0.3333333333333333,10.333333333333334,5.333333333333333,5.0,48.16666666666666,42.333333333333336,19.33333333333333,16.333333333333332,6.333333333333333,111.66666666666669,1372.6666666666667,1261.0,0.9193333333333332,2.6766666666666663,3.333333333333333,8.833333333333334,2507.6666666666665,23.0,5.333333333333333,5,5000000.0
224,Laurent Brossoit,2020,27.0,20.0,0.0,8.0,3.5,4.5,56.35,17.0,9.5,6.5,1.5,51.5,582.0,530.5,0.91,2.9,0.5,3.4000000000000004,1076.5,9.5,1.5,1,1500000.0
236,Adin Hill,2020,24.0,13.0,0.0,8.0,2.0,6.0,75.0,9.0,2.0,4.0,3.0,28.0,343.0,315.0,0.918,2.62,0.0,2.3,641.0,5.0,0.0,1,800000.0
255,Jaroslav Halak,2020,35.0,41.66666666666666,2.0,15.666666666666666,4.0,11.666666666666666,75.23333333333333,38.333333333333336,20.0,14.333333333333334,5.333333333333333,108.0,1269.0,1161.0,0.9163333333333332,2.64,3.0,7.666666666666667,2388.333333333333,20.666666666666668,5.0,1,2250000.0
257,Elvis Merzlikins,2020,26.0,33.0,0.0,19.0,7.0,12.0,63.2,31.0,13.0,9.0,8.0,71.0,919.0,848.0,0.923,2.35,5.0,6.5,1815.0,17.0,3.0,2,4000000.0
