Season,Player,Age_x,Tm,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2012,Braydon Coburn,27,PHI,D,33,1,4,5,-10,41,0.7,1,0,0,0,4,0,0,38,2.6,746,22:37:00,61,76,0,0,,543,610,47.1,-4.5,392,443,46.9,-5.7,7.4,88.8,96.1,39.3,60.7,22:37:00,18:44:00,12,31,102,37.3,0,0,0,0.0
2012,Andrew Cogliano,25,ANA,C,48,13,10,23,14,6,3.3,11,0,2,1,10,0,0,79,16.5,738,15:22:00,24,40,32,60,34.8,589,545,51.9,4.2,414,393,51.3,1.6,9.5,94.1,103.6,44.9,55.1,15:22:00,13:30:00,13,15,139,56.1,1,0,1,0.0
2012,Carlo Colaiacovo,30,DET,D,6,0,1,1,-4,2,-0.1,0,0,0,0,0,1,0,12,0,113,18:55:00,10,12,0,0,,99,80,55.3,-4.7,72,63,53.3,-8.8,3.7,89.8,93.5,60,40,18:55:00,15:51:00,0,0,27,44.4,0,0,0,0.0
2012,Joe Colborne,23,TOR,C,5,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,4,0,46,09:07:00,0,11,15,14,51.7,35,46,43.2,0.8,31,36,46.3,6.8,4.5,92,96.5,45.5,54.5,09:07:00,08:57:00,2,1,5,80,0,0,0,0.0
2012,Erik Cole,34,TOT,LW,47,9,4,13,-6,20,0.8,8,1,0,2,2,2,0,86,10.5,770,16:24:00,27,101,22,45,32.8,498,576,46.4,-2.9,347,431,44.6,-4.1,9.6,91.3,100.9,42.3,57.7,16:24:00,12:37:00,18,17,170,50.6,0,0,0,0.0
2012,Erik Cole,34,DAL,LW,28,6,1,7,-7,10,0.3,5,1,0,0,0,1,0,45,13.3,473,16:54:00,21,58,15,28,34.9,498,576,46.4,-2.9,347,431,44.6,-4.1,9.6,91.3,100.9,42.3,57.7,16:24:00,12:37:00,18,17,170,50.6,0,0,0,0.0
2012,Erik Cole,34,MTL,LW,19,3,3,6,1,10,0.5,3,0,0,2,2,1,0,41,7.3,297,15:39:00,6,43,7,17,29.2,498,576,46.4,-2.9,347,431,44.6,-4.1,9.6,91.3,100.9,42.3,57.7,16:24:00,12:37:00,18,17,170,50.6,0,0,0,0.0
2012,Ian Cole,23,STL,D,15,0,1,1,-4,10,0.2,0,0,0,0,1,0,0,10,0,266,17:45:00,22,6,0,0,,207,184,52.9,3.5,152,126,54.7,3.3,5.7,88.5,94.2,50.9,49.1,17:45:00,16:43:00,1,5,30,33.3,0,0,0,0.0
2012,Sean Collins,24,CBJ,C,5,0,0,0,-2,6,-0.2,0,0,0,0,0,0,0,0,,62,12:30:00,5,3,1,4,20,45,73,38.1,1.1,29,54,34.9,-5.1,5.6,92.5,98.1,46.2,53.8,12:30:00,12:30:00,0,0,4,0,0,0,0,0.0
2012,Blake Comeau,26,TOT,RW,42,6,6,12,-4,20,1,5,0,1,1,6,0,0,48,12.5,511,12:10:00,12,95,40,46,46.5,409,431,48.7,-2,292,309,48.6,-2.6,8.2,90.2,98.4,50.9,49.1,12:09:00,10:44:00,7,10,95,50.5,0,0,0,0.0
