Season,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2009,Craig Anderson,28,COL,71,71,38,25,7,186,2233,2047,0.917,2.63,7,14.8,4235,41,10,0,3,3,16,52,16,36,69.2
2009,Alex Auld,29,TOT,24,20,9,7,3,64,610,546,0.895,2.96,0,2.5,1300,8,4,0,2,2,2,15,2,13,86.7
2009,Alex Auld,29,DAL,21,19,9,6,3,59,558,499,0.894,3,0,2.2,1181,7,4,0,2,2,2,15,2,13,86.7
2009,Alex Auld,29,NYR,3,1,0,1,0,5,52,47,0.904,2.53,0,0.3,119,1,0,0,0,0,0,15,2,13,86.7
2009,Johan Backlund,28,PHI,1,1,0,1,0,2,24,22,0.917,3,0,0.2,40,1,0,0,0,0,0,0,0,0,0.0
2009,Niklas Backstrom,31,MIN,60,58,26,23,8,158,1632,1474,0.903,2.72,2,8.3,3489,31,13,0,1,1,4,38,14,24,63.2
2009,Jonathan Bernier,21,LAK,3,3,3,0,0,4,94,90,0.957,1.3,1,1.1,185,2,0,0,1,1,0,6,0,6,100.0
2009,Martin Biron,32,NYI,29,26,9,14,4,89,859,770,0.896,3.27,1,3.7,1634,9,3,0,1,1,2,8,3,5,62.5
2009,Brian Boucher,33,PHI,33,26,9,18,3,80,796,716,0.899,2.76,1,3.7,1742,15,7,0,1,1,2,7,4,3,42.9
2009,Martin Brodeur*,37,NJD,77,76,45,25,6,168,2004,1836,0.916,2.24,9,13.2,4499,43,14,0,3,3,6,0,0,0,0.0
2009,Mike Brodeur,26,OTT,3,3,3,0,0,3,87,84,0.966,1,1,1.1,180,3,0,0,0,0,0,0,0,0,0.0
2009,Ilya Bryzgalov,29,PHX,69,68,42,20,6,156,1961,1805,0.92,2.29,8,13.9,4084,43,10,0,1,1,4,63,17,46,73.0
2009,Peter Budaj,27,COL,15,11,5,5,2,32,386,354,0.917,2.64,1,2.6,728,8,1,0,1,1,0,5,1,4,80.0
2009,Scott Clemmensen,32,FLA,23,20,9,8,2,59,668,609,0.912,2.91,1,4,1215,10,3,0,0,0,0,11,1,10,90.9
2009,Matt Climie,26,DAL,1,1,0,1,0,5,38,33,0.868,5,0,0,60,0,0,0,0,0,0,0,0,0,0.0
2009,Ty Conklin,33,STL,26,21,10,10,2,60,764,704,0.921,2.48,4,5.5,1451,13,2,0,1,1,4,10,5,5,50.0
2009,Corey Crawford,25,CHI,1,1,0,1,0,3,35,32,0.914,3.04,0,0.2,59,1,0,0,0,0,0,0,0,0,0.0
2009,John Curry,25,PIT,1,1,0,1,0,5,14,9,0.643,12.25,0,-0.4,24,0,1,0,0,0,0,0,0,0,0.0
2009,Yann Danis,28,NJD,12,6,3,2,1,16,207,191,0.923,2.05,0,1.5,467,3,1,0,0,0,0,3,3,0,0.0
2009,Jeff Deslauriers,25,EDM,48,47,16,28,4,152,1529,1377,0.901,3.26,3,7.3,2798,21,11,0,3,3,8,37,11,26,70.3
2009,Rick DiPietro,28,NYI,8,6,2,5,0,20,201,181,0.9,2.6,1,1,462,3,0,0,1,1,2,8,3,5,62.5
2009,Wade Dubielewicz,31,MIN,3,1,1,1,0,5,34,29,0.853,2.98,0,0,101,0,1,0,0,0,0,2,0,2,100.0
2009,Devan Dubnyk,23,EDM,19,16,4,10,2,64,579,515,0.889,3.57,0,2,1075,5,4,0,0,0,0,11,3,8,72.7
2009,Jeremy Duchesne,23,PHI,1,0,0,0,0,1,4,3,0.75,3.59,0,-0.1,17,0,0,0,0,0,0,0,0,0,0.0
2009,Brian Elliott,24,OTT,55,47,29,18,4,130,1424,1294,0.909,2.57,5,8.1,3038,25,9,0,1,1,0,21,7,14,66.7
2009,Dan Ellis,29,NSH,31,28,15,13,1,77,848,771,0.909,2.69,1,4.9,1715,14,5,0,1,1,4,10,2,8,80.0
2009,Ray Emery,27,PHI,29,29,16,11,1,74,783,709,0.905,2.64,3,4.2,1684,16,6,0,1,1,2,9,2,7,77.8
2009,Jhonas Enroth,21,BUF,1,1,0,1,0,4,37,33,0.892,4.12,0,0.1,58,0,0,0,0,0,0,0,0,0,0.0
2009,Erik Ersberg,27,LAK,11,7,4,3,2,22,234,212,0.906,2.4,0,1.3,551,4,1,0,0,0,0,16,7,9,56.3
2009,Marc-Andre Fleury,25,PIT,67,65,37,21,6,168,1772,1604,0.905,2.65,1,9.4,3798,30,11,0,1,1,10,23,6,17,73.9
2009,Mathieu Garon,32,CBJ,35,27,12,9,6,83,858,775,0.903,2.81,2,4.4,1771,17,7,0,0,0,2,18,8,10,55.6
2009,Jean-Sebastien Giguere,32,TOT,35,32,10,15,7,96,1031,935,0.907,2.85,3,5.7,2023,14,4,0,0,0,2,16,8,8,50.0
2009,Jean-Sebastien Giguere,32,ANA,20,17,4,8,5,58,580,522,0.9,3.14,1,2.7,1108,6,3,0,0,0,2,16,8,8,50.0
2009,Jean-Sebastien Giguere,32,TOR,15,15,6,7,2,38,451,413,0.916,2.49,2,2.9,915,8,1,0,0,0,0,16,8,8,50.0
2009,Thomas Greiss,24,SJS,16,10,7,4,1,35,399,364,0.912,2.68,0,2.4,782,7,0,0,0,0,2,6,0,6,100.0
2009,Jonas Gustavsson,25,TOR,42,39,16,15,9,112,1146,1034,0.902,2.87,1,5.7,2340,14,5,0,2,2,2,7,3,4,57.1
