Player,Season,Age_x,Tm,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
Justin Abdelkader,2009,22,DET,LW,50,3,3,6,-11,35,-0.3,3,0,0,0,3,0,0,79,3.8,530,10:35:00,20,152,148,170,46.5,409,376,52.1,-2.2,303,280,52,-1.3,4.3,90,94.3,66.3,33.7,10:35:00,09:36:00,7,7,141,56,0,0,0,0.0
Craig Adams,2009,32,PIT,RW,82,0,10,10,-5,72,-0.8,0,0,0,0,10,0,0,84,0,910,11:06:00,58,193,243,311,43.9,511,604,45.8,-9.2,376,421,47.2,-8.9,7.2,92,99.2,42.4,57.6,10:57:00,08:11:00,22,12,144,56.3,0,0,0,0.0
Maxim Afinogenov,2009,30,ATL,RW,82,24,37,61,-17,46,5.7,18,6,0,3,25,12,0,181,13.3,1426,17:24:00,21,32,1,2,33.3,1076,1107,49.3,-0.7,785,860,47.7,-2.3,9.9,89.1,99,49.2,50.8,17:23:00,14:12:00,65,63,321,56.4,3,0,3,0.0
Andrew Alberts,2009,28,TOT,D,76,3,9,12,6,87,3.1,3,0,0,0,9,0,0,50,6,1169,15:23:00,88,216,0,1,0,933,885,51.3,-0.7,680,665,50.6,0,10.5,90.5,100.9,46.8,53.2,15:13:00,13:10:00,19,39,129,37.2,0,0,0,0.0
Andrew Alberts,2009,28,CAR,D,62,2,8,10,7,74,2.7,2,0,0,0,8,0,0,38,5.3,935,15:04:00,67,172,0,0,,933,885,51.3,-0.7,680,665,50.6,0,10.5,90.5,100.9,46.8,53.2,15:13:00,13:10:00,19,39,129,37.2,0,0,0,0.0
Andrew Alberts,2009,28,VAN,D,14,1,1,2,-1,13,0.4,1,0,0,0,1,0,0,12,8.3,235,16:45:00,21,44,0,1,0,933,885,51.3,-0.7,680,665,50.6,0,10.5,90.5,100.9,46.8,53.2,15:13:00,13:10:00,19,39,129,37.2,0,0,0,0.0
Daniel Alfredsson,2009,37,OTT,RW,70,20,51,71,8,22,7.9,15,4,1,5,21,27,3,168,11.9,1377,19:40:00,36,41,14,25,35.9,850,878,49.2,-3.9,621,646,49,-5.5,10.2,91.3,101.4,55.2,44.8,19:23:00,13:43:00,76,42,308,52.9,7,2,5,28.6
Bryan Allen,2009,29,FLA,D,74,4,9,13,-8,99,2.6,3,0,1,2,8,0,1,78,5.1,1418,19:10:00,137,120,0,0,,1045,1332,44,-2.8,806,962,45.6,-1.4,7.3,92.7,100,40,60,19:10:00,16:43:00,13,29,165,47.3,0,0,0,0.0
Cody Almond,2009,20,MIN,C,7,1,0,1,-3,9,0,1,0,0,0,0,0,0,6,16.7,54,07:45:00,5,7,18,12,60,37,49,43,-6.8,23,35,39.7,-8.9,5.9,84,89.9,25,75,07:45:00,07:42:00,0,0,8,75,0,0,0,0.0
Karl Alzner,2009,21,WSH,D,21,0,5,5,-2,8,0.2,0,0,0,0,5,0,0,16,0,344,16:24:00,21,15,0,0,,286,294,49.3,-4.4,204,224,47.7,-6.3,9.7,89.9,99.7,42.9,57.1,16:24:00,14:45:00,6,8,38,42.1,0,0,0,0.0
