,Player,Season,Age,Tm,GP,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
20,Jaroslav Halak,2019,34,BOS,31,29,18,6,6,73,905,832,0.919,2.39,3,6.1,1833,18,3,0,2,2,0,18,6,12,66.7
21,Carter Hart,2019,21,PHI,43,40,24,13,3,95,1100,1005,0.914,2.42,1,6.7,2356,25,9,0,0,0,0,18,5,13,72.2
22,Connor Hellebuyck,2019,26,WPG,58,56,31,21,5,140,1796,1656,0.922,2.57,6,12.5,3269,36,6,0,2,2,0,8,4,4,50.0
23,Adin Hill,2019,23,ARI,13,9,2,4,3,28,343,315,0.918,2.62,0,2.3,641,5,0,0,0,0,2,8,2,6,75.0
24,Marcus Hogberg,2019,25,OTT,24,21,5,8,8,70,728,658,0.904,3.12,0,3.7,1345,10,3,0,0,0,0,14,6,8,57.1
25,Braden Holtby,2019,30,WSH,48,47,25,14,6,142,1385,1243,0.897,3.11,0,6,2743,22,11,0,1,1,4,30,9,21,70.0
26,Jimmy Howard,2019,35,DET,27,27,2,23,2,96,817,721,0.882,4.2,0,2.2,1372,7,9,0,0,0,0,2,1,1,50.0
27,Michael Hutchinson,2019,29,TOT,16,12,5,9,1,49,439,390,0.888,3.47,1,1.5,847,4,0,0,0,0,0,2,1,1,50.0
28,Carter Hutton,2019,34,BUF,31,30,12,14,4,94,918,824,0.898,3.18,2,4,1775,14,7,0,1,1,6,2,1,1,50.0
29,Tristan Jarry,2019,24,PIT,33,31,20,12,1,78,985,907,0.921,2.43,3,6.7,1926,19,3,0,0,0,0,12,1,11,91.7
30,Jonas Johansson,2019,24,BUF,6,5,1,3,1,16,151,135,0.894,2.94,0,0.6,327,1,0,0,0,0,0,2,1,1,50.0
31,Martin Jones,2019,30,SJS,41,39,17,21,2,118,1139,1021,0.896,3,2,4.8,2360,15,11,0,1,1,0,10,0,10,100.0
32,Kaapo Kahkonen,2019,23,MIN,5,5,3,1,1,15,172,157,0.913,2.96,0,1,304,3,2,0,0,0,0,2,2,0,0.0
33,Anton Khudobin,2019,33,DAL,30,26,16,8,4,62,882,820,0.93,2.22,0,6.9,1677,19,2,0,3,3,4,8,1,7,87.5
34,Joonas Korpisalo,2019,25,CBJ,37,35,19,12,5,92,1030,938,0.911,2.6,2,5.9,2126,21,5,0,1,1,0,1,1,0,0.0
35,Mikko Koskinen,2019,31,EDM,38,33,18,13,3,97,1175,1078,0.917,2.75,1,7.6,2117,17,5,0,0,0,0,6,0,6,100.0
36,Darcy Kuemper,2019,29,ARI,29,29,16,11,2,65,903,838,0.928,2.22,2,6.9,1753,22,2,0,0,0,6,17,5,12,70.6
37,Robin Lehner,2019,28,TOT,36,34,19,10,5,99,1235,1136,0.92,2.89,1,8.3,2055,19,4,0,0,0,4,10,7,3,30.0
38,Charlie Lindgren,2019,26,MTL,6,6,2,4,0,20,178,158,0.888,3.33,0,0.6,361,1,1,0,0,0,0,3,0,3,100.0
39,Henrik Lundqvist,2019,37,NYR,30,26,10,12,3,84,883,799,0.905,3.16,1,4.5,1597,13,4,0,1,1,2,7,4,3,42.9
40,Jacob Markstrom,2019,30,VAN,43,43,23,16,4,117,1420,1303,0.918,2.75,2,9.2,2552,25,5,0,1,1,4,18,6,12,66.7
41,Curtis McElhinney,2019,36,TBL,18,18,8,7,3,52,551,499,0.906,2.89,1,2.9,1081,8,2,0,0,0,0,3,2,1,33.3
42,Elvis Merzlikins,2019,25,CBJ,33,31,13,9,8,71,919,848,0.923,2.35,5,6.5,1815,17,3,0,0,0,0,19,7,12,63.2
43,Sam Montembeault,2019,23,FLA,14,9,5,5,1,39,356,317,0.89,3.34,0,1.3,701,3,2,0,0,0,0,13,3,10,76.9
44,Petr Mrazek,2019,27,CAR,40,38,21,16,2,104,1091,987,0.905,2.69,3,5.6,2321,19,7,0,0,0,4,6,0,6,100.0
45,Matt Murray,2019,25,PIT,38,38,20,11,5,107,1055,948,0.899,2.87,1,4.7,2238,16,8,0,1,1,2,3,1,2,66.7
46,Anders Nilsson,2019,29,OTT,20,19,9,9,2,58,628,570,0.908,3.18,0,3.4,1093,11,5,0,0,0,0,5,3,2,40.0
47,Carey Price,2019,32,MTL,58,58,27,25,6,160,1755,1595,0.909,2.79,4,9.8,3440,31,11,0,0,0,6,13,2,11,84.6
48,Jonathan Quick,2019,34,LAK,42,42,16,22,4,117,1224,1107,0.904,2.79,1,6.2,2516,21,5,0,1,1,0,15,5,10,66.7
49,Antti Raanta,2019,30,ARI,33,32,15,14,3,80,1014,934,0.921,2.63,2,7,1823,19,3,0,0,0,2,4,2,2,50.0
50,Tuukka Rask,2019,32,BOS,41,41,26,8,6,85,1189,1104,0.929,2.12,5,9.1,2402,28,3,0,2,2,0,11,5,6,54.5
51,James Reimer,2019,31,CAR,25,24,14,6,2,61,712,651,0.914,2.66,3,4.4,1378,15,6,0,0,0,2,13,3,10,76.9
52,Pekka Rinne,2019,37,NSH,36,35,18,14,4,105,1004,899,0.895,3.17,3,4.1,1988,16,11,1,2,3,0,5,2,3,60.0
53,David Rittich,2019,27,CGY,48,48,24,17,6,138,1478,1340,0.907,2.97,2,7.9,2792,24,7,0,1,1,6,21,2,19,90.5
54,Ilya Samsonov,2019,22,WSH,26,22,16,6,2,60,689,629,0.913,2.55,1,4.1,1411,13,2,0,0,0,2,5,3,2,40.0
55,Juuse Saros,2019,24,NSH,40,34,17,12,4,98,1142,1044,0.914,2.7,4,7,2177,21,3,0,0,0,0,24,6,18,75.0
56,Mike Smith,2019,37,EDM,39,37,19,12,6,106,1087,981,0.902,2.95,1,5.3,2157,17,9,0,2,2,21,4,3,1,25.0
57,Alex Stalock,2019,32,MIN,38,36,20,11,4,97,1082,985,0.91,2.67,4,6.2,2177,19,5,0,1,1,4,13,6,7,53.8
58,Malcolm Subban,2019,26,TOT,21,19,9,7,3,60,546,486,0.89,3.17,0,1.9,1134,7,7,0,0,0,0,3,1,2,66.7
59,Cam Talbot,2019,32,CGY,26,22,12,10,1,63,780,717,0.919,2.63,2,5.2,1435,11,2,0,0,0,21,2,2,0,0.0
60,Linus Ullmark,2019,26,BUF,34,34,17,14,3,91,1066,975,0.915,2.69,1,6.6,2027,19,2,0,0,0,4,9,1,8,88.9
61,Semyon Varlamov,2019,31,NYI,45,39,19,14,6,110,1278,1168,0.914,2.62,2,7.8,2517,21,4,0,0,0,0,12,4,8,66.7
62,Andrei Vasilevskiy,2019,25,TBL,52,52,35,14,3,133,1605,1472,0.917,2.56,3,10.4,3122,31,7,0,4,4,4,11,2,9,81.8
