,Player,Season,Age,Tm,Pos,GP,G,A,PTS,PlusMinus,PIM,PS,EV_A,PP_A,SH_A,GW,EV_A,PP_A,SH_A,S,S_Pct,TOI,ATOI,BLK,HIT,FOW,FOL,FO_Pct,CF,CA,CF_Pct,CF_Pct_rel,FF,FA,FF_Pct,FF_Pct_rel,oiSH_Pct,oiSV_Pct,PDO,oZS_Pct,dZS_Pct,TOI/60,TOI(EV),TK,GV,SAtt.,Thru_Pct,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
10,Josh Anderson,2014,20,CBJ,RW,6,0,1,1,-1,2,-0.1,0,0,0,0,1,0,0,10,0.0,81,13:27:00,2,24,0,0,0.0,74,71,51.0,2.2,50,58,46.3,-2.2,7.1,90.5,97.6,46.5,53.5,13:27:00,13:26:00,3,3,19,52.6,0,0,0,0.0
11,Joakim Andersson,2014,25,DET,C,68,3,5,8,-4,22,-0.3,3,0,0,1,5,0,0,74,4.1,791,11:38:00,24,27,192,183,51.2,434,556,43.8,-11.8,325,411,44.2,-9.8,6.0,93.5,99.5,38.8,61.2,11:38:00,09:21:00,8,13,103,71.8,0,0,0,0.0
12,Andy Andreoff,2014,23,LAK,C,18,2,1,3,1,18,0.4,2,0,0,1,1,0,0,14,14.3,154,08:34:00,0,33,32,29,52.5,124,139,47.1,-7.1,90,109,45.2,-7.7,4.8,97.3,102.1,59.4,40.6,08:33:00,08:28:00,7,4,28,50.0,0,0,0,0.0
13,Sven Andrighetto,2014,21,MTL,RW,12,2,1,3,0,0,0.4,2,0,0,0,1,0,0,12,16.7,113,09:25:00,4,5,3,12,20.0,67,81,45.3,1.2,52,63,45.2,0.3,12.5,92.9,105.4,60.4,39.6,09:25:00,07:52:00,1,2,21,57.1,0,0,0,0.0
14,Mike Angelidis,2014,29,TBL,LW,3,0,0,0,0,12,0.0,0,0,0,0,0,0,0,0,0.0,22,07:21:00,0,5,7,12,36.8,16,14,53.3,3.8,10,12,45.5,-1.4,0.0,100.0,100.0,75.0,25.0,07:21:00,07:18:00,0,0,0,0.0,0,0,0,0.0
15,Artem Anisimov,2014,26,CBJ,C,52,7,20,27,-6,8,2.0,7,0,0,2,13,4,3,88,8.0,852,16:23:00,26,33,102,127,44.5,608,586,50.9,3.2,459,449,50.6,3.0,9.0,89.3,98.3,44.7,55.3,16:22:00,12:45:00,24,21,175,50.3,3,0,3,0.0
16,Mark Arcobello,2014,26,TOT,C,77,17,14,31,-10,20,3.3,16,1,0,2,10,3,1,129,13.2,1140,14:48:00,27,111,471,468,50.2,988,907,52.1,2.6,730,693,51.3,2.1,7.1,91.2,98.3,60.2,39.8,14:48:00,13:16:00,39,43,243,53.1,0,0,0,0.0
17,Joel Armia,2014,21,BUF,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,15,14:47:00,0,4,0,0,0.0,4,11,26.7,-0.9,4,9,30.8,0.8,0.0,100.0,100.0,40.0,60.0,14:47:00,14:47:00,0,0,0,0.0,0,0,0,0.0
18,Viktor Arvidsson,2014,21,NSH,LW,6,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,9,0.0,62,10:15:00,5,3,0,0,0.0,50,55,47.6,-4.1,38,36,51.4,-0.5,4.0,96.3,100.3,54.0,46.0,10:15:00,10:15:00,3,3,18,50.0,0,0,0,0.0
19,Carter Ashton,2014,23,TOR,RW,7,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,4,0.0,44,06:13:00,3,6,1,4,20.0,28,43,39.4,-1.8,22,31,41.5,0.9,0.0,88.0,88.0,41.7,58.3,06:13:00,06:09:00,2,1,7,57.1,0,0,0,0.0
20,Cam Atkinson,2014,25,CBJ,RW,78,22,18,40,-2,22,4.5,14,7,1,7,15,3,0,212,10.4,1325,16:59:00,39,55,4,5,44.4,1009,1062,48.7,1.7,758,815,48.2,1.4,7.3,93.0,100.3,50.1,49.9,16:59:00,13:38:00,40,22,337,62.9,7,2,5,28.6
21,Keith Aulie,2014,25,EDM,D,31,0,1,1,-3,66,0.3,0,0,0,0,1,0,0,25,0.0,443,14:18:00,37,59,0,0,0.0,345,447,43.6,-5.3,252,327,43.5,-4.8,10.1,90.2,100.3,44.4,55.6,14:18:00,13:35:00,4,12,59,42.4,0,0,0,0.0
22,David Backes,2014,30,STL,C,80,26,32,58,7,104,7.2,16,10,0,3,26,6,0,183,14.2,1491,18:38:00,87,227,615,507,54.8,1085,1078,50.2,-2.7,836,747,52.8,-0.6,10.3,90.4,100.8,42.3,57.7,18:38:00,14:25:00,38,29,301,60.5,0,0,0,0.0
23,Mikael Backlund,2014,25,CGY,C,52,10,17,27,4,14,2.7,8,0,2,2,16,1,0,103,9.7,923,17:45:00,33,41,432,456,48.6,654,767,46.0,2.3,474,511,48.1,3.4,10.5,91.3,101.8,39.1,60.9,17:45:00,14:24:00,58,42,194,53.6,0,0,0,0.0
24,Nicklas Backstrom,2014,27,WSH,C,82,18,60,78,5,40,8.1,15,3,0,3,30,30,0,153,11.8,1683,20:32:00,52,91,862,747,53.6,1417,1235,53.4,3.2,1044,890,54.0,3.8,8.9,90.8,99.6,55.7,44.3,20:32:00,16:20:00,55,35,282,53.9,10,3,7,30.0
25,Sven Baertschi,2014,22,TOT,LW,18,2,4,6,-3,10,0.5,2,0,0,0,4,0,0,15,13.3,174,09:41:00,7,8,0,0,0.0,130,166,43.9,-1.2,89,114,43.8,-3.9,10.8,87.3,98.1,48.9,51.1,09:41:00,09:25:00,7,5,24,62.5,0,0,0,0.0
26,Casey Bailey,2014,23,TOR,C,6,1,0,1,1,2,0.2,1,0,0,0,0,0,0,9,11.1,54,09:02:00,4,3,0,0,0.0,42,40,51.2,7.1,35,30,53.8,8.4,7.1,95.0,102.1,57.1,42.9,09:02:00,08:55:00,1,1,11,81.8,0,0,0,0.0
27,Josh Bailey,2014,25,NYI,LW,70,15,26,41,3,12,4.3,13,2,0,1,24,2,0,140,10.7,1175,16:47:00,36,66,30,36,45.5,1155,1019,53.1,0.2,836,711,54.0,-0.5,8.9,90.3,99.2,64.4,35.6,16:47:00,14:48:00,53,47,261,53.6,3,1,2,33.3
28,Keith Ballard,2014,32,MIN,D,14,0,1,1,-3,26,0.0,0,0,0,0,1,0,0,5,0.0,169,12:03:00,20,15,0,0,0.0,126,160,44.1,-12.1,91,116,44.0,-13.0,12.3,87.4,99.7,48.4,51.6,12:03:00,11:18:00,2,5,10,50.0,0,0,0,0.0
29,Mark Barberio,2014,24,TBL,D,52,1,6,7,-4,16,0.9,1,0,0,0,6,0,0,53,1.9,873,16:47:00,46,35,0,0,0.0,777,697,52.7,1.2,571,527,52.0,0.9,6.7,91.5,98.2,54.4,45.6,16:47:00,15:56:00,13,20,122,43.4,0,0,0,0.0
30,Aleksander Barkov,2014,19,FLA,C,71,16,20,36,-4,16,3.6,13,3,0,3,16,4,0,123,13.0,1242,17:30:00,35,35,462,540,46.1,954,851,52.9,2.7,705,647,52.1,2.2,7.5,91.4,98.9,49.0,51.0,17:30:00,14:49:00,42,27,199,61.8,4,1,3,25.0
31,Tyson Barrie,2014,23,COL,D,80,12,41,53,5,26,9.4,10,2,0,0,27,14,0,139,8.6,1709,21:22:00,90,80,0,0,0.0,1257,1473,46.0,3.4,920,1057,46.5,2.9,11.2,90.3,101.4,50.8,49.2,21:22:00,18:02:00,40,47,312,44.6,2,0,2,0.0
32,Matt Bartkowski,2014,26,BOS,D,47,0,4,4,-6,37,0.7,0,0,0,0,4,0,0,67,0.0,796,16:56:00,24,88,0,0,0.0,620,614,50.2,-3.1,478,488,49.5,-2.2,6.6,91.9,98.5,49.6,50.4,16:56:00,15:33:00,6,25,143,46.9,0,0,0,0.0
33,Victor Bartley,2014,26,NSH,D,37,0,10,10,1,26,1.6,0,0,0,0,10,0,0,28,0.0,497,13:26:00,53,77,0,0,0.0,435,449,49.2,-3.2,335,330,50.4,-1.8,8.8,91.6,100.5,58.5,41.5,13:26:00,12:50:00,2,9,65,43.1,0,0,0,0.0
34,Kyle Baun,2014,22,CHI,RW,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0.0,38,12:32:00,0,12,0,0,0.0,29,26,52.7,-1.0,19,17,52.8,4.9,0.0,92.3,92.3,71.4,28.6,12:32:00,12:32:00,1,0,8,50.0,0,0,0,0.0
35,Jay Beagle,2014,29,WSH,RW,62,10,10,20,6,20,2.2,10,0,0,2,9,0,1,84,11.9,794,12:49:00,33,73,217,167,56.5,574,597,49.0,-2.6,417,419,49.9,-1.7,9.8,92.1,101.9,44.4,55.6,12:49:00,10:47:00,30,6,126,66.7,1,0,1,0.0
36,Francois Beauchemin,2014,34,ANA,D,64,11,12,23,17,48,6.1,9,2,0,1,10,1,1,110,10.0,1456,22:45:00,107,105,1,0,100.0,1112,1112,50.0,-1.5,835,835,50.0,-2.3,9.9,93.8,103.6,48.4,51.6,22:44:00,18:46:00,18,40,213,51.6,0,0,0,0.0
37,Nathan Beaulieu,2014,22,MTL,D,64,1,8,9,6,45,2.6,1,0,0,0,6,2,0,62,1.6,1005,15:42:00,69,50,0,0,0.0,843,902,48.3,0.2,622,635,49.5,1.0,6.3,94.9,101.2,49.6,50.4,15:42:00,14:42:00,8,47,147,42.2,0,0,0,0.0
38,Taylor Beck,2014,23,NSH,LW,62,8,8,16,-4,18,1.2,6,2,0,3,8,0,0,78,10.3,740,11:56:00,23,61,5,5,50.0,521,601,46.4,-7.5,384,451,46.0,-8.5,6.5,93.2,99.7,29.4,70.6,11:56:00,10:49:00,15,10,143,54.5,0,0,0,0.0
39,Matt Beleskey,2014,26,ANA,LW,65,22,10,32,13,39,5.0,18,4,0,8,10,0,0,145,15.2,941,14:29:00,25,159,8,11,42.1,814,707,53.5,4.0,600,528,53.2,3.1,11.0,92.2,103.3,52.1,47.9,14:29:00,12:31:00,9,32,313,46.3,0,0,0,0.0
40,Pierre-Edouard Bellemare,2014,29,PHI,LW,81,6,6,12,-3,18,0.1,6,0,0,1,6,0,0,113,5.3,1039,12:50:00,61,121,360,395,47.7,705,819,46.3,-4.1,525,573,47.8,-1.7,6.9,92.7,99.6,48.5,51.5,12:50:00,10:41:00,32,19,204,55.4,0,0,0,0.0
41,Brett Bellemore,2014,26,CAR,D,49,2,8,10,1,27,2.9,2,0,0,1,8,0,0,26,7.7,802,16:23:00,54,148,0,0,0.0,602,649,48.1,-3.8,463,472,49.5,-2.5,7.9,92.8,100.7,44.9,55.1,16:23:00,15:08:00,9,28,62,41.9,0,0,0,0.0
42,Jamie Benn,2014,25,DAL,LW,82,35,52,87,1,64,10.7,23,10,2,6,37,13,2,253,13.8,1636,19:57:00,50,120,298,278,51.7,1375,1160,54.2,3.2,1001,882,53.2,1.4,10.9,88.3,99.2,54.6,45.4,19:57:00,14:54:00,76,50,466,54.3,4,1,3,25.0
43,Jordie Benn,2014,27,DAL,D,73,2,14,16,-5,34,2.1,2,0,0,0,11,2,1,70,2.9,1319,18:04:00,121,92,0,1,0.0,1148,985,53.8,2.8,837,707,54.2,3.3,8.2,89.4,97.7,49.2,50.8,18:03:00,15:33:00,16,44,185,37.8,1,0,1,0.0
44,Beau Bennett,2014,23,PIT,RW,49,4,8,12,-1,16,0.8,4,0,0,1,8,0,0,81,4.9,612,12:29:00,13,68,0,2,0.0,527,466,53.1,-0.9,392,325,54.7,1.3,6.8,91.4,98.2,50.3,49.7,12:29:00,11:43:00,9,17,145,55.9,1,0,1,0.0
45,Sam Bennett,2014,18,CGY,C,1,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,1,0.0,16,16:00:00,0,0,2,10,16.7,9,6,60.0,0.0,7,4,63.6,0.0,16.7,50.0,66.7,71.4,28.6,16:00:00,15:06:00,2,0,6,33.3,0,0,0,0.0
46,Andre Benoit,2014,31,BUF,D,59,1,8,9,-19,20,1.0,0,0,1,0,7,1,0,45,2.2,1069,18:08:00,98,38,0,0,0.0,639,1097,36.8,-0.7,475,802,37.2,-2.2,7.4,92.1,99.6,40.9,59.1,18:04:00,15:27:00,10,20,106,42.5,0,0,0,0.0
47,Sean Bergenheim,2014,30,TOT,LW,56,9,10,19,-2,40,1.8,9,0,0,2,8,2,0,108,8.3,735,13:07:00,13,72,2,4,33.3,641,565,53.2,2.0,506,439,53.5,2.3,7.0,91.6,98.6,49.2,50.8,13:07:00,12:29:00,34,10,187,57.8,0,0,0,0.0
48,Patrice Bergeron,2014,29,BOS,C,81,23,32,55,2,44,6.4,18,4,1,4,21,10,1,234,9.8,1469,18:08:00,60,57,1175,764,60.6,1275,890,58.9,9.6,927,673,57.9,9.8,7.1,89.5,96.6,43.8,56.2,18:08:00,13:57:00,48,29,428,54.7,12,3,9,25.0
49,Patrik Berglund,2014,26,STL,C,77,12,15,27,-2,26,2.4,12,0,0,0,14,1,0,145,8.3,1122,14:35:00,26,93,161,168,48.9,931,778,54.5,3.3,716,577,55.4,2.9,7.3,91.0,98.2,46.2,53.8,14:34:00,12:56:00,36,13,230,62.2,0,0,0,0.0
50,Steve Bernier,2014,29,NJD,RW,67,16,16,32,2,28,4.2,12,4,0,2,12,4,0,107,15.0,867,12:56:00,48,126,1,1,50.0,623,692,47.4,1.1,458,509,47.4,1.7,9.8,92.6,102.4,51.2,48.8,12:56:00,11:36:00,17,14,165,67.3,0,0,0,0.0
51,Stu Bickel,2014,28,MIN,D,9,0,1,1,1,46,0.2,0,0,0,0,1,0,0,3,0.0,49,05:26:00,9,10,0,0,0.0,29,50,36.7,-8.6,23,32,41.8,-4.9,10.5,94.7,105.3,48.3,51.7,05:26:00,05:26:00,1,2,5,60.0,0,0,0,0.0
52,Bryan Bickell,2014,28,CHI,LW,80,14,14,28,5,38,3.4,13,1,0,3,12,2,0,113,12.4,966,12:05:00,13,205,0,2,0.0,922,775,54.3,0.5,659,588,52.8,-0.2,6.8,93.8,100.6,70.2,29.8,12:05:00,11:19:00,26,20,195,57.9,1,0,1,0.0
53,Alex Biega,2014,26,VAN,D,7,1,0,1,-2,0,0.1,1,0,0,1,0,0,0,7,14.3,111,15:48:00,8,34,0,0,0.0,73,99,42.4,-6.9,58,78,42.6,-7.8,12.2,88.1,100.3,50.7,49.3,15:48:00,15:19:00,1,3,19,36.8,0,0,0,0.0
54,Danny Biega,2014,23,CAR,D,10,0,2,2,-5,0,0.1,0,0,0,0,2,0,0,7,0.0,161,16:09:00,7,27,0,0,0.0,160,124,56.3,-0.1,123,97,55.9,1.3,5.7,85.9,91.6,57.8,42.2,16:09:00,16:03:00,1,7,25,28.0,0,0,0,0.0
55,Kevin Bieksa,2014,33,VAN,D,60,4,10,14,0,77,3.0,4,0,0,1,8,1,1,99,4.0,1250,20:50:00,93,109,0,0,0.0,978,1057,48.1,-1.9,734,777,48.6,-3.0,9.4,91.1,100.5,49.7,50.3,20:50:00,17:20:00,19,64,206,48.1,0,0,0,0.0
56,Anthony Bitetto,2014,24,NSH,D,7,0,0,0,-1,7,0.0,0,0,0,0,0,0,0,2,0.0,82,11:47:00,3,9,1,0,100.0,71,79,47.3,-5.7,54,61,47.0,-5.3,2.6,94.9,97.4,60.9,39.1,11:47:00,11:43:00,1,3,7,28.6,0,0,0,0.0
57,Nick Bjugstad,2014,22,FLA,C,72,24,19,43,-7,38,5.3,17,7,0,3,14,5,0,207,11.6,1194,16:35:00,29,148,486,508,48.9,917,877,51.1,0.0,701,661,51.5,0.8,7.4,91.4,98.8,52.8,47.2,16:35:00,13:40:00,23,28,325,63.7,14,4,10,28.6
58,Jesse Blacker,2014,23,ANA,D,1,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,0,0.0,6,06:03:00,1,1,0,0,0.0,2,11,15.4,-29.9,2,9,18.2,-26.5,0.0,71.4,71.4,50.0,50.0,06:03:00,06:03:00,0,0,0,0.0,0,0,0,0.0
59,Jonathon Blum,2014,26,MIN,D,4,0,1,1,-3,2,-0.1,0,0,0,0,1,0,0,3,0.0,39,09:52:00,2,1,0,0,0.0,31,29,51.7,-7.7,24,23,51.1,-9.4,5.6,81.0,86.5,50.0,50.0,09:52:00,09:33:00,0,1,4,75.0,0,0,0,0.0
60,Mike Blunden,2014,28,TBL,RW,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,0,0.0,20,09:47:00,0,7,0,0,0.0,12,15,44.4,-13.7,9,12,42.9,-11.4,0.0,87.5,87.5,50.0,50.0,09:47:00,09:47:00,0,0,1,0.0,0,0,0,0.0
61,Troy Bodie,2014,30,TOR,RW,5,0,0,0,0,5,0.0,0,0,0,0,0,0,0,1,0.0,23,04:37:00,0,4,0,0,0.0,24,24,50.0,2.2,16,20,44.4,-2.0,0.0,100.0,100.0,57.1,42.9,04:37:00,04:37:00,0,0,2,50.0,0,0,0,0.0
62,Mikkel Boedker,2014,25,ARI,LW,45,14,14,28,-10,6,3.2,11,3,0,2,5,9,0,79,17.7,787,17:29:00,9,66,0,2,0.0,585,634,48.0,-1.7,415,486,46.1,-3.4,7.9,90.4,98.3,59.4,40.6,17:29:00,14:33:00,24,14,150,52.7,5,1,4,20.0
63,Zach Bogosian,2014,24,TOT,D,62,3,17,20,-6,78,3.5,3,0,0,0,15,2,0,125,2.4,1469,23:41:00,90,189,0,0,0.0,1026,1145,47.3,-1.1,765,864,47.0,-1.5,7.6,92.0,99.6,47.6,52.4,23:39:00,19:32:00,14,38,247,50.6,0,0,0,0.0
64,Alexandre Bolduc,2014,29,ARI,C,3,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,3,0.0,32,10:40:00,1,17,10,9,52.6,24,39,38.1,-11.2,15,28,34.9,-13.2,0.0,95.2,95.2,37.5,62.5,10:40:00,10:40:00,0,0,3,100.0,0,0,0,0.0
65,Jared Boll,2014,28,CBJ,RW,72,1,4,5,-13,109,-0.8,1,0,0,0,4,0,0,28,3.6,524,07:16:00,17,131,0,2,0.0,303,514,37.1,-11.8,223,394,36.1,-12.5,6.6,91.8,98.4,47.5,52.5,07:16:00,07:14:00,5,7,55,50.9,0,0,0,0.0
66,Dave Bolland,2014,28,FLA,C,53,6,17,23,4,48,2.0,5,0,1,0,12,5,0,76,7.9,867,16:21:00,21,89,414,517,44.5,598,622,49.0,-3.5,465,486,48.9,-3.0,9.2,92.0,101.2,43.2,56.8,16:20:00,13:08:00,26,10,128,59.4,5,3,2,60.0
67,Brandon Bollig,2014,28,CGY,LW,62,1,4,5,-9,88,-0.6,1,0,0,0,4,0,0,67,1.5,533,08:36:00,24,139,3,2,60.0,386,539,41.7,-3.4,280,354,44.2,-2.2,5.3,91.9,97.2,39.8,60.2,08:36:00,08:23:00,15,16,114,59.6,0,0,0,0.0
68,Nick Bonino,2014,26,VAN,C,75,15,24,39,7,22,4.2,14,1,0,6,20,4,0,149,10.1,1269,16:55:00,89,31,585,649,47.4,955,927,50.7,1.8,711,666,51.6,1.8,8.7,91.7,100.4,46.5,53.5,16:55:00,12:57:00,52,24,243,60.9,7,3,4,42.9
69,David Booth,2014,30,TOR,LW,59,7,6,13,-8,25,0.8,7,0,0,2,5,0,1,107,6.5,705,11:56:00,8,87,6,7,46.2,510,577,46.9,1.0,380,437,46.5,1.1,5.2,92.3,97.5,43.5,56.5,11:56:00,10:33:00,27,12,181,59.1,0,0,0,0.0
70,Patrick Bordeleau,2014,28,COL,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,7,06:46:00,0,2,0,0,0.0,3,8,27.3,-25.0,2,6,25.0,-26.1,0.0,100.0,100.0,60.0,40.0,06:46:00,06:46:00,0,0,0,0.0,0,0,0,0.0
71,Mark Borowiecki,2014,25,OTT,D,63,1,10,11,15,107,3.3,1,0,0,0,10,0,0,30,3.3,1002,15:55:00,102,233,0,0,0.0,717,843,46.0,-5.5,518,647,44.5,-5.3,10.8,94.6,105.4,42.9,57.1,15:55:00,13:41:00,9,21,77,39.0,0,0,0,0.0
72,Robert Bortuzzo,2014,25,TOT,D,51,3,5,8,-9,93,1.2,3,0,0,0,5,0,0,56,5.4,771,15:07:00,61,157,1,0,100.0,644,576,52.8,-2.5,467,403,53.7,-1.2,5.9,89.9,95.8,52.8,47.2,15:07:00,13:59:00,3,9,124,45.2,0,0,0,0.0
73,Reid Boucher,2014,21,NJD,LW,11,1,0,1,-4,0,-0.1,1,0,0,0,0,0,0,20,5.0,123,11:08:00,5,9,0,0,0.0,113,100,53.1,5.4,83,81,50.6,4.1,5.9,89.6,95.4,60.9,39.1,11:08:00,11:03:00,7,1,37,54.1,1,0,1,0.0
74,Eric Boulton,2014,38,NYI,LW,10,2,0,2,-1,30,0.3,2,0,0,0,0,0,0,9,22.2,72,07:12:00,4,10,0,0,0.0,58,76,43.3,-11.1,48,61,44.0,-10.6,6.7,92.3,99.0,80.0,20.0,07:12:00,07:10:00,1,1,13,69.2,0,0,0,0.0
75,Lance Bouma,2014,24,CGY,C,78,16,18,34,10,54,4.1,16,0,0,4,16,1,1,104,15.4,1093,14:01:00,82,264,29,45,39.2,753,1046,41.9,-4.5,562,698,44.6,-2.5,10.9,92.2,103.1,34.6,65.4,14:01:00,12:05:00,22,25,178,58.4,0,0,0,0.0
76,Michael Bournival,2014,22,MTL,LW,29,3,2,5,3,4,0.7,3,0,0,1,2,0,0,27,11.1,229,07:53:00,10,26,4,1,80.0,191,205,48.2,1.2,130,142,47.8,-0.3,10.7,91.8,102.5,41.2,58.8,07:53:00,07:40:00,6,7,46,58.7,0,0,0,0.0
77,Gabriel Bourque,2014,24,NSH,LW,69,3,10,13,-13,10,-0.2,3,0,0,0,10,0,0,76,3.9,829,12:01:00,44,141,3,3,50.0,580,635,47.7,-5.8,434,461,48.5,-5.0,4.8,91.4,96.2,28.3,71.7,12:01:00,10:34:00,27,14,126,60.3,0,0,0,0.0
78,Rene Bourque,2014,33,TOT,RW,51,6,8,14,-15,22,0.5,4,2,0,1,7,1,0,85,7.1,644,12:38:00,11,71,4,6,40.0,548,602,47.7,-3.6,403,452,47.1,-3.8,7.1,90.1,97.2,48.8,51.2,12:38:00,11:40:00,6,13,166,51.2,0,0,0,0.0
79,Ryan Bourque,2014,24,NYR,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,12,11:49:00,0,0,0,0,0.0,13,4,76.5,25.1,7,4,63.6,18.0,0.0,50.0,50.0,50.0,50.0,11:49:00,11:25:00,1,0,3,33.3,0,0,0,0.0
80,Jay Bouwmeester,2014,31,STL,D,72,2,11,13,7,24,3.7,2,0,0,0,7,4,0,92,2.2,1632,22:40:00,99,42,0,0,0.0,1208,1208,50.0,-4.1,937,893,51.2,-3.9,8.6,92.4,101.0,47.8,52.2,22:40:00,18:36:00,14,18,199,46.2,0,0,0,0.0
81,Drayson Bowman,2014,25,MTL,LW,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,20,06:31:00,0,3,0,0,0.0,11,22,33.3,-16.7,9,17,34.6,-14.3,20.0,90.0,110.0,46.2,53.8,06:31:00,06:31:00,0,0,1,0.0,0,0,0,0.0
82,Johnny Boychuk,2014,31,NYI,D,72,9,26,35,15,14,7.1,4,5,0,1,15,10,1,192,4.7,1561,21:41:00,149,171,2,1,66.7,1359,1105,55.2,2.7,1003,763,56.8,3.7,8.3,91.5,99.8,54.5,45.5,21:41:00,16:46:00,24,48,388,49.5,0,0,0,0.0
83,Zach Boychuk,2014,25,CAR,LW,31,3,3,6,0,4,0.6,3,0,0,0,3,0,0,35,8.6,329,10:38:00,9,40,0,0,0.0,292,306,48.8,-1.9,220,221,49.9,-0.5,7.1,92.8,99.9,50.5,49.5,10:38:00,10:09:00,9,3,57,61.4,1,0,1,0.0
84,Brad Boyes,2014,32,FLA,RW,78,14,24,38,11,20,4.3,9,5,0,4,20,4,0,151,9.3,1221,15:39:00,38,60,97,76,56.1,931,871,51.7,0.7,710,647,52.3,1.9,8.9,92.2,101.1,50.4,49.6,15:39:00,13:32:00,41,31,261,57.9,7,2,5,28.6
