,Player,Season,Age,Tm,Pos,GP,G,A,PTS,PlusMinus,PIM,PS,EV_A,PP_A,SH_A,GW,EV_A,PP_A,SH_A,S,S_Pct,TOI,ATOI,BLK,HIT,FOW,FOL,FO_Pct,CF,CA,CF_Pct,CF_Pct_rel,FF,FA,FF_Pct,FF_Pct_rel,oiSH_Pct,oiSV_Pct,PDO,oZS_Pct,dZS_Pct,TOI/60,TOI(EV),TK,GV,SAtt.,Thru_Pct,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
0,Justin Abdelkader,2014,27,DET,LW,71,23,21,44,3,72,5.6,15,8,0,5,15,6,0,154,14.9,1272,17:55:00,28,153,7,8,46.7,909,704,56.4,4.0,668,540,55.3,4.1,9.7,90.5,100.2,63.6,36.4,17:55:00,14:10:00,16,29,237,65.0,0,0,0,0.0
1,Will Acton,2014,27,EDM,C,3,0,0,0,-2,5,-0.1,0,0,0,0,0,0,0,2,0.0,32,10:43:00,3,3,4,4,50.0,21,26,44.7,-9.8,16,14,53.3,1.9,11.1,70.0,81.1,10.5,89.5,10:43:00,09:21:00,2,0,3,66.7,0,0,0,0.0
2,Luke Adam,2014,24,CBJ,C,3,0,0,0,0,4,0.0,0,0,0,0,0,0,0,0,0.0,19,06:27:00,0,2,0,0,0.0,11,9,55.0,8.7,5,8,38.5,-8.0,0.0,100.0,100.0,30.0,70.0,06:27:00,06:21:00,0,0,1,0.0,0,0,0,0.0
3,Craig Adams,2014,37,PIT,RW,70,1,6,7,-1,44,-0.3,1,0,0,1,5,0,1,51,2.0,682,09:45:00,29,183,17,23,42.5,363,396,47.8,-6.3,268,292,47.9,-6.6,5.6,93.7,99.2,50.0,50.0,09:45:00,07:10:00,6,7,76,67.1,0,0,0,0.0
4,Andrew Agozzino,2014,24,COL,LW,1,0,1,1,1,0,0.1,0,0,0,0,1,0,0,1,0.0,10,09:45:00,0,1,0,2,0.0,8,14,36.4,-11.8,7,9,43.8,-4.4,20.0,100.0,120.0,50.0,50.0,09:45:00,09:45:00,1,0,2,50.0,0,0,0,0.0
5,Jason Akeson,2014,24,PHI,RW,13,0,0,0,-1,8,-0.2,0,0,0,0,0,0,0,9,0.0,105,08:03:00,4,11,1,1,50.0,71,114,38.4,-9.5,53,82,39.3,-9.1,2.6,96.9,99.4,50.0,50.0,08:03:00,07:49:00,1,3,20,45.0,0,0,0,0.0
6,Bryan Allen,2014,34,TOT,D,11,0,2,2,-2,6,0.2,0,0,0,0,2,0,0,6,0.0,173,15:43:00,15,20,0,0,0.0,157,137,53.4,-2.2,109,103,51.4,-2.5,7.7,90.3,98.0,45.2,54.8,15:43:00,13:46:00,0,8,30,20.0,0,0,0,0.0
7,Conor Allen,2014,25,NYR,D,4,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,2,0.0,49,12:12:00,0,6,0,0,0.0,49,36,57.6,11.1,31,27,53.4,5.8,4.3,90.5,94.8,67.7,32.3,12:12:00,11:57:00,0,3,4,50.0,0,0,0,0.0
8,Mark Alt,2014,23,PHI,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,0.0,9,09:25:00,0,1,0,0,0.0,12,5,70.6,40.5,7,4,63.6,40.0,0.0,75.0,75.0,50.0,50.0,09:25:00,09:25:00,0,0,6,0.0,0,0,0,0.0
9,Karl Alzner,2014,26,WSH,D,82,5,16,21,14,20,5.4,5,0,0,0,16,0,0,72,6.9,1593,19:26:00,165,120,0,0,0.0,1239,1204,50.7,-0.9,883,862,50.6,-1.4,8.7,93.2,101.9,49.5,50.5,19:26:00,17:06:00,15,35,171,42.7,1,0,1,0.0
