,Player,Season,Age,Tm,GP,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
0,Jake Allen,2016,26,STL,61,60,33,20,5,138,1620,1482,0.915,2.42,4,9.8,3418,33,11,0,1,1,4,15,4,11,73.3
1,Frederik Andersen,2016,27,TOR,66,66,33,16,14,169,2052,1883,0.918,2.67,4,13.1,3799,38,11,0,1,1,16,23,11,12,52.2
2,Craig Anderson,2016,35,OTT,40,40,25,11,4,92,1247,1155,0.926,2.28,5,9.2,2421,25,4,0,1,1,0,24,5,19,79.2
3,Jonathan Bernier,2016,28,ANA,39,33,21,7,4,83,982,899,0.915,2.5,2,6,1993,19,4,0,0,0,4,33,11,22,66.7
4,Ben Bishop,2016,30,TOT,39,37,18,15,5,94,1040,946,0.91,2.54,1,5.7,2223,19,6,0,0,0,10,28,8,20,71.4
5,Sergei Bobrovsky,2016,28,CBJ,63,63,41,17,5,127,1854,1727,0.931,2.06,7,14.9,3707,41,5,0,0,0,8,5,2,3,60.0
6,Peter Budaj,2016,34,TOT,60,55,30,21,3,120,1414,1294,0.915,2.18,7,8.6,3308,32,7,0,1,1,0,13,7,6,46.2
7,Mike Condon,2016,26,TOT,41,38,19,14,6,96,1122,1026,0.914,2.48,5,6.8,2324,19,7,0,0,0,4,13,3,10,76.9
8,Jared Coreau,2016,25,DET,14,14,5,4,3,41,362,321,0.887,3.46,2,1,712,5,6,0,0,0,0,3,1,2,66.7
9,Corey Crawford,2016,32,CHI,55,55,32,18,4,138,1691,1553,0.918,2.55,2,11,3247,29,7,0,1,1,2,14,2,12,85.7
10,Scott Darling,2016,28,CHI,32,27,18,5,5,67,877,810,0.924,2.38,2,6.2,1689,17,1,0,0,0,0,3,1,2,66.7
11,Louis Domingue,2016,24,ARI,31,26,11,15,1,82,888,806,0.908,3.08,0,4.6,1599,12,4,0,0,0,0,15,1,14,93.3
12,Devan Dubnyk,2016,30,MIN,65,63,40,19,5,141,1842,1701,0.923,2.25,5,13.1,3758,39,7,0,0,0,10,20,7,13,65.0
13,Brian Elliott,2016,31,CGY,49,45,26,18,3,121,1338,1217,0.91,2.55,2,7.3,2844,26,4,0,0,0,4,12,2,10,83.3
14,Jhonas Enroth,2016,28,TOR,6,4,0,3,1,18,141,123,0.872,3.94,0,0.2,274,0,0,0,0,0,0,3,1,2,66.7
15,Marc-Andre Fleury,2016,32,PIT,38,34,18,10,7,107,1181,1074,0.909,3.02,1,6.4,2125,16,5,0,0,0,6,15,7,8,53.3
16,John Gibson,2016,23,ANA,52,49,25,16,9,109,1437,1328,0.924,2.22,6,10.3,2950,28,7,0,1,1,4,9,2,7,77.8
17,Thomas Greiss,2016,31,NYI,51,49,26,18,5,126,1453,1327,0.913,2.69,3,8.6,2813,30,11,0,1,1,0,19,8,11,57.9
18,Philipp Grubauer,2016,25,WSH,24,19,13,6,2,43,585,542,0.926,2.04,3,4.4,1265,13,1,0,0,0,0,2,0,2,100.0
19,Jaroslav Halak,2016,31,NYI,28,26,12,9,5,75,885,810,0.915,2.8,2,5.4,1605,14,3,0,1,1,0,8,3,5,62.5
20,Connor Hellebuyck,2016,23,WPG,56,53,26,19,4,146,1572,1426,0.907,2.89,4,8.1,3034,25,9,0,0,0,0,16,4,12,75.0
21,Braden Holtby,2016,27,WSH,63,63,42,13,6,127,1690,1563,0.925,2.07,9,12.3,3680,39,8,0,0,0,0,22,11,11,50.0
22,Jimmy Howard,2016,32,DET,26,24,10,11,1,49,675,626,0.927,2.1,1,5.1,1397,16,4,0,0,0,2,6,1,5,83.3
23,Carter Hutton,2016,31,STL,30,21,13,8,2,58,663,605,0.913,2.39,4,3.8,1459,11,3,0,1,1,4,4,1,3,75.0
24,Chad Johnson,2016,30,CGY,36,36,18,15,1,87,969,882,0.91,2.59,3,5.4,2013,18,7,0,0,0,0,10,2,8,80.0
25,Martin Jones,2016,27,SJS,65,65,35,23,6,152,1725,1573,0.912,2.4,2,9.9,3800,39,8,0,0,0,0,9,2,7,77.8
26,Anton Khudobin,2016,30,BOS,16,14,7,6,1,39,405,366,0.904,2.64,0,1.9,885,5,2,0,1,1,2,3,1,2,66.7
27,Keith Kinkaid,2016,27,NJD,26,23,8,13,3,65,778,713,0.916,2.64,1,4.9,1476,12,4,0,1,1,0,5,1,4,80.0
28,Eddie Lack,2016,29,CAR,20,18,8,7,3,48,492,444,0.902,2.64,1,2.3,1090,9,3,0,0,0,0,3,1,2,66.7
29,Robin Lehner,2016,25,BUF,59,58,23,26,8,152,1910,1758,0.92,2.68,2,12.9,3405,32,6,0,1,1,6,8,8,0,0.0
30,Kari Lehtonen,2016,33,DAL,59,52,22,25,7,151,1546,1395,0.902,2.85,3,7.1,3177,27,12,0,1,1,4,11,5,6,54.5
31,Henrik Lundqvist,2016,34,NYR,57,55,31,20,4,148,1650,1502,0.91,2.74,2,9.1,3240,32,8,0,1,1,0,18,8,10,55.6
32,Roberto Luongo,2016,37,FLA,40,39,17,15,6,104,1217,1113,0.915,2.68,1,7.4,2327,21,1,0,1,1,4,22,8,14,63.6
33,Jacob Markstrom,2016,27,VAN,26,23,10,11,3,62,692,630,0.91,2.63,0,3.8,1417,12,2,0,0,0,2,9,1,8,88.9
34,Steve Mason,2016,28,PHI,58,54,26,21,8,143,1556,1413,0.908,2.66,3,8.2,3225,26,11,0,1,1,0,36,8,28,77.8
35,Curtis McElhinney,2016,33,TOT,21,15,8,8,2,51,616,565,0.917,2.7,1,3.9,1135,9,0,0,0,0,0,5,1,4,80.0
36,Ryan Miller,2016,36,VAN,54,54,18,29,6,150,1737,1587,0.914,2.8,3,10.3,3212,26,7,0,1,1,22,10,2,8,80.0
37,Al Montoya,2016,31,MTL,19,18,8,6,4,50,569,519,0.912,2.67,2,3.3,1125,12,2,0,2,2,2,6,3,3,50.0
38,Petr Mrazek,2016,24,DET,50,44,18,21,9,145,1462,1317,0.901,3.04,1,6.5,2858,19,9,0,0,0,2,30,4,26,86.7
39,Matt Murray,2016,22,PIT,49,47,32,10,4,111,1450,1339,0.923,2.41,4,10.3,2766,26,4,0,2,2,0,9,3,6,66.7
40,Michal Neuvirth,2016,28,PHI,28,24,11,11,1,64,586,522,0.891,2.82,0,1.9,1364,10,4,0,0,0,2,6,0,6,100.0
41,Anders Nilsson,2016,26,BUF,26,23,10,10,4,66,857,791,0.923,2.67,1,6,1484,11,2,0,0,0,0,18,6,12,66.7
42,Calvin Pickard,2016,24,COL,50,48,15,31,2,140,1461,1321,0.904,2.98,2,7.1,2820,21,11,0,2,2,2,4,1,3,75.0
43,Carey Price,2016,29,MTL,62,62,37,20,5,138,1794,1656,0.923,2.23,3,12.6,3708,38,8,0,1,1,4,11,3,8,72.7
44,Jonathan Quick,2016,31,LAK,17,17,8,5,2,35,421,386,0.917,2.26,2,2.7,931,11,2,0,0,0,2,3,0,3,100.0
45,Antti Raanta,2016,27,NYR,30,26,16,8,2,61,782,721,0.922,2.26,4,5.4,1617,18,1,0,1,1,0,2,1,1,50.0
46,Tuukka Rask,2016,29,BOS,65,63,37,20,5,137,1610,1473,0.915,2.23,8,9.8,3680,31,14,0,2,2,0,24,6,18,75.0
47,James Reimer,2016,28,FLA,43,39,18,16,5,98,1222,1124,0.92,2.53,3,8.1,2325,19,4,0,0,0,2,14,4,10,71.4
48,Pekka Rinne,2016,34,NSH,61,61,31,19,9,144,1757,1613,0.918,2.42,3,11.3,3568,34,7,0,0,0,4,15,4,11,73.3
49,Juuse Saros,2016,21,NSH,21,19,10,8,3,47,614,567,0.923,2.35,1,4.4,1200,13,1,0,1,1,0,2,2,0,0.0
50,Cory Schneider,2016,30,NJD,60,59,20,27,11,163,1781,1618,0.908,2.82,2,9.5,3473,27,7,0,0,0,0,11,3,8,72.7
