,Player,Season,Age,Tm,Pos,GP,G,A,PTS,PlusMinus,PIM,PS,EV_A,PP_A,SH_A,GW,EV_A,PP_A,SH_A,S,S_Pct,TOI,ATOI,BLK,HIT,FOW,FOL,FO_Pct,CF,CA,CF_Pct,CF_Pct_rel,FF,FA,FF_Pct,FF_Pct_rel,oiSH_Pct,oiSV_Pct,PDO,oZS_Pct,dZS_Pct,TOI/60,TOI(EV),TK,GV,SAtt.,Thru_Pct,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
18,Josh Archibald,2019,27,EDM,RW,62,12,9,21,-8,12,1.8,10,0,2,3,8,0,1,64,18.8,820,13:14:00,44,165,0,2,0.0,535,674,44.3,-4.1,406,476,46.0,-2.5,8.9,89.5,98.4,43.0,57.0,13:14:00,10:38:00,24,11,119,53.8,0.0,0.0,0.0,0.0
19,Joel Armia,2019,26,MTL,RW,58,16,14,30,2,28,3.2,10,3,3,2,12,1,1,155,10.3,999,17:14:00,25,146,4,7,36.4,790,747,51.4,-4.8,587,575,50.5,-5.5,9.0,90.3,99.2,52.9,47.1,17:14:00,13:30:00,47,27,265,58.5,2.0,0.0,2.0,0.0
20,Viktor Arvidsson,2019,26,NSH,LW,57,15,13,28,-4,26,2.6,11,4,0,1,9,4,0,127,11.8,924,16:12:00,24,27,11,8,57.9,750,748,50.1,-0.7,558,569,49.5,-2.5,8.2,92.0,100.1,54.5,45.5,16:12:00,13:09:00,15,24,263,48.3,0.0,0.0,0.0,0.0
21,Rasmus Asplund,2019,22,BUF,F,29,1,2,3,-4,6,-0.3,1,0,0,0,1,0,1,36,2.8,314,10:50:00,7,20,49,65,43.0,203,219,48.1,-2.5,161,181,47.1,-3.1,6.1,91.4,97.5,36.5,63.5,10:50:00,0.375,5,7,44,81.8,0.0,0.0,0.0,0.0
22,Zach Aston-Reese,2019,25,PIT,C,57,6,7,13,6,28,0.8,5,0,1,0,7,0,0,98,6.1,822,14:26:00,30,136,7,16,30.4,584,565,50.8,0.2,436,418,51.1,-0.3,7.3,93.0,100.3,30.9,69.1,14:26:00,12:16:00,20,21,157,62.4,0.0,0.0,0.0,0.0
23,Andreas Athanasiou,2019,25,TOT,C,55,11,15,26,-46,30,0.8,8,3,0,2,11,4,0,129,8.5,871,15:51:00,24,36,43,60,41.7,592,706,45.6,-0.1,479,547,46.7,1.1,6.8,84.0,90.7,52.1,47.9,15:51:00,13:48:00,15,31,208,62.0,1.0,0.0,1.0,0.0
24,Cam Atkinson,2019,30,CBJ,RW,44,12,14,26,2,6,2.9,9,3,0,2,9,5,0,148,8.1,785,17:51:00,21,18,27,30,47.4,599,600,50.0,0.3,464,440,51.3,-0.2,7.3,92.6,99.9,51.2,48.8,17:51:00,13:49:00,26,21,220,67.3,1.0,0.0,1.0,0.0
25,Nicolas Aube-Kubel,2019,23,PHI,RW,36,7,8,15,1,19,1.6,5,2,0,1,7,1,0,48,14.6,406,11:17:00,16,82,1,2,33.3,319,324,49.6,-1.6,242,219,52.5,1.0,10.2,90.4,100.6,47.6,52.4,11:17:00,10:12:00,13,9,88,54.5,0.0,0.0,0.0,0.0
26,David Backes,2019,35,TOT,C,22,1,5,6,-1,22,0.4,0,1,0,1,5,0,0,34,2.9,207,09:24:00,8,38,27,44,38.0,191,178,51.8,0.2,151,131,53.5,1.9,7.2,90.4,97.6,54.8,45.2,09:24:00,08:59:00,5,9,50,68.0,0.0,0.0,0.0,0.0
27,Mikael Backlund,2019,30,CGY,C,70,16,29,45,3,26,4.4,10,3,3,3,22,7,0,157,10.2,1256,17:57:00,11,44,368,410,47.3,1062,1013,51.2,1.1,791,784,50.2,0.8,9.8,90.5,100.2,50.9,49.1,17:56:00,14:43:00,64,55,285,55.1,0.0,0.0,0.0,0.0
28,Nicklas Backstrom,2019,32,WSH,C,61,12,42,54,-1,14,4.6,10,2,0,0,26,16,0,132,9.1,1160,19:01:00,45,30,516,532,49.2,1017,861,54.2,2.6,763,638,54.5,3.0,11.3,87.5,98.8,52.5,47.5,19:00:00,14:56:00,34,42,220,60.0,5.0,3.0,2.0,60.0
29,Sven Baertschi,2019,27,VAN,LW,6,0,2,2,-2,4,0.0,0,0,0,0,0,2,0,7,0.0,71,11:49:00,0,5,0,0,0.0,72,41,63.7,11.8,49,32,60.5,9.8,0.0,92.0,92.0,55.9,44.1,11:49:00,10:13:00,1,1,15,46.7,0.0,0.0,0.0,0.0
30,Josh Bailey,2019,30,NYI,C,68,14,29,43,-12,10,3.5,11,2,1,2,22,7,0,94,14.9,1149,16:54:00,48,20,128,129,49.8,821,954,46.3,-0.6,598,705,45.9,-1.5,9.7,89.0,98.7,50.9,49.1,16:53:00,13:24:00,38,54,161,58.4,3.0,1.0,2.0,33.3
31,Justin Bailey,2019,24,VAN,RW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,11,05:20:00,0,4,0,0,0.0,8,17,32.0,-4.8,5,12,29.4,-6.6,0.0,100.0,100.0,22.2,77.8,05:20:00,05:20:00,0,1,1,100.0,0.0,0.0,0.0,0.0
32,Rudolfs Balcers,2019,22,OTT,LW,15,1,2,3,-2,0,0.0,1,0,0,1,2,0,0,23,4.3,182,12:08:00,7,19,0,2,0.0,164,146,52.9,3.4,119,108,52.4,2.6,7.8,90.4,98.2,55.0,45.0,12:08:00,10:08:00,7,5,42,54.8,0.0,0.0,0.0,0.0
33,Ivan Barbashev,2019,24,STL,C,69,11,15,26,3,23,2.4,9,0,2,2,14,0,1,75,14.7,928,13:27:00,33,144,149,179,45.4,662,752,46.8,-4.9,501,567,46.9,-4.6,8.2,93.0,101.2,39.6,60.4,13:27:00,11:34:00,33,31,133,57.1,0.0,0.0,0.0,0.0
34,Riley Barber,2019,25,MTL,RW,9,0,0,0,-1,2,-0.2,0,0,0,0,0,0,0,6,0.0,74,08:15:00,1,15,1,0,100.0,72,68,51.4,-4.2,55,48,53.4,-2.8,0.0,96.9,96.9,48.8,51.2,08:15:00,08:15:00,0,2,11,54.5,0.0,0.0,0.0,0.0
35,Mark Barberio,2019,29,COL,D,21,0,2,2,3,16,0.6,0,0,0,0,2,0,0,29,0.0,296,14:06:00,19,13,0,0,0.0,268,267,50.1,-0.9,190,197,49.1,-1.6,8.7,93.5,102.2,35.7,64.3,14:06:00,12:46:00,6,13,46,63.0,0.0,0.0,0.0,0.0
36,Cole Bardreau,2019,26,NYI,F,10,1,1,2,-2,6,0.1,1,0,0,1,1,0,0,10,10.0,89,08:52:00,1,21,21,29,42.0,51,78,39.5,-6.3,40,53,43.0,-4.2,8.0,85.3,93.3,53.7,46.3,08:52:00,08:19:00,4,4,15,66.7,0.0,0.0,0.0,0.0
37,Aleksander Barkov,2019,24,FLA,C,66,20,42,62,2,18,5.9,13,7,0,2,28,13,1,172,11.6,1321,20:01:00,35,21,653,550,54.3,1024,926,52.5,3.6,791,726,52.1,2.5,9.9,89.8,99.7,57.5,42.5,20:01:00,15:19:00,51,52,267,64.4,4.0,0.0,4.0,0.0
38,Tyson Barrie,2019,28,TOR,D,70,5,34,39,-7,16,4.5,4,1,0,0,23,11,0,169,3.0,1531,21:53:00,76,47,0,0,0.0,1466,1259,53.8,3.1,1078,991,52.1,1.4,8.9,90.2,99.1,58.2,41.8,21:53:00,18:58:00,16,62,361,46.8,1.0,0.0,1.0,0.0
39,Mathew Barzal,2019,22,NYI,C,68,19,41,60,5,44,6.0,15,4,0,2,33,8,0,171,11.1,1363,20:03:00,43,22,228,320,41.6,1257,1175,51.7,7.8,929,847,52.3,8.3,8.8,91.8,100.6,57.8,42.2,20:01:00,17:05:00,70,103,295,58.0,6.0,3.0,3.0,50.0
40,Drake Batherson,2019,21,OTT,C,23,3,7,10,-12,13,0.3,2,1,0,0,2,5,0,32,9.4,358,15:34:00,11,51,4,3,57.1,263,276,48.8,1.1,189,212,47.1,-0.8,4.5,88.8,93.3,54.5,45.5,15:34:00,13:19:00,5,5,65,49.2,2.0,0.0,2.0,0.0
41,Jay Beagle,2019,34,VAN,RW,55,2,6,8,-9,38,-0.5,1,0,1,1,5,0,1,49,4.1,691,12:34:00,42,69,401,277,59.1,379,637,37.3,-13.4,300,450,40.0,-11.3,5.6,92.7,98.3,23.0,77.0,12:34:00,09:29:00,14,7,73,67.1,0.0,0.0,0.0,0.0
