Season,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2013,Ben Scrivens,27,LAK,19,15,7,5,4,32,464,432,0.931,1.97,3,3.8,975,10,0,0,1,1,0,15,6,9,60.0
2013,Mike Smith,31,PHX,62,61,27,21,10,159,1871,1712,0.915,2.64,3,11.6,3610,35,5,1,3,4,14,35,14,21,60.0
2013,Alex Stalock,26,SJS,24,18,12,5,2,39,571,532,0.932,1.87,2,4.7,1252,12,1,0,0,0,2,13,1,12,92.3
2013,Cam Talbot,26,NYR,21,19,12,6,1,33,560,527,0.941,1.64,3,5.2,1211,16,0,0,0,0,0,3,1,2,66.7
2013,Tim Thomas,39,TOT,48,45,18,24,4,128,1390,1262,0.908,2.88,0,7.4,2663,25,7,0,1,1,4,33,8,25,75.8
2013,Tim Thomas,39,FLA,40,40,16,20,3,110,1206,1096,0.909,2.87,0,6.6,2299,23,6,0,1,1,4,33,8,25,75.8
2013,Tim Thomas,39,DAL,8,5,2,4,1,18,184,166,0.902,2.97,0,0.9,364,2,1,0,0,0,0,33,8,25,75.8
2013,Dustin Tokarski,24,MTL,3,2,2,0,0,5,93,88,0.946,1.84,1,0.9,163,2,0,0,0,0,0,6,2,4,66.7
2013,Semyon Varlamov,25,COL,63,60,41,14,6,146,2013,1867,0.927,2.41,2,15.5,3640,44,4,0,3,3,2,23,7,16,69.6
2013,Cam Ward,29,CAR,30,28,10,12,6,84,824,740,0.898,3.06,0,3.4,1645,11,6,0,1,1,2,8,3,5,62.5
2013,Jeff Zatkoff,26,PIT,20,18,12,6,2,51,582,531,0.912,2.61,1,3.4,1171,9,3,0,1,1,0,4,2,2,50.0
