Player,Season,Age_x,Tm,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
Spencer Abbott,2016,28,CHI,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,08:34:00,0,0,0,0,,11,7,61.1,-6.7,6,6,50,-17.2,0,100,100,100,0,08:34:00,08:34:00,1,0,2,50,0,0,0,0.0
Justin Abdelkader,2016,29,DET,LW,64,7,14,21,-20,50,0.7,2,5,0,1,11,2,1,104,6.7,1066,16:40:00,27,144,5,12,29.4,685,790,46.4,-2.1,523,593,46.9,-1.4,5.3,91.1,96.4,46.3,53.7,16:39:00,13:07:00,15,18,160,65,1,1,0,100.0
Pontus Aberg,2016,23,NSH,LW,15,1,1,2,-2,4,-0.1,1,0,0,0,1,0,0,12,8.3,185,12:20:00,2,9,1,0,100,138,159,46.5,-6.2,104,117,47.1,-4.9,6.6,92.1,98.7,48.3,51.7,12:20:00,12:05:00,5,2,24,50,0,0,0,0.0
Noel Acciari,2016,25,BOS,C,29,2,3,5,3,16,0.5,2,0,0,0,3,0,0,24,8.3,301,10:22:00,5,80,11,18,37.9,230,246,48.3,-6,170,188,47.5,-7.7,7.8,95.8,103.6,40.9,59.1,10:14:00,10:01:00,10,4,43,55.8,0,0,0,0.0
Kenny Agostino,2016,24,STL,LW,7,1,2,3,0,2,0.3,1,0,0,0,1,1,0,17,5.9,89,12:47:00,3,9,0,0,,86,64,57.3,12.8,69,47,59.5,10.5,5.8,90.9,96.7,60.4,39.6,12:47:00,11:30:00,1,4,26,65.4,0,0,0,0.0
Sebastian Aho,2016,19,CAR,RW,82,24,25,49,-1,26,5.9,17,6,1,4,13,11,1,214,11.2,1377,16:47:00,14,51,17,18,48.6,1126,990,53.2,2.7,842,774,52.1,2.4,7.6,91.2,98.8,54.7,45.3,16:47:00,14:15:00,40,57,362,59.1,5,1,4,20.0
Sebastian Aho,2016,19,CAR,RW,82,24,25,49,-1,26,5.9,17,6,1,4,13,11,1,214,11.2,1377,16:47:00,14,51,17,18,48.6,1126,990,53.2,2.7,842,774,52.1,2.4,7.6,91.2,98.8,54.7,45.3,16:47:00,14:15:00,40,57,362,59.1,0,0,0,0.0
Karl Alzner,2016,28,WSH,D,82,3,10,13,23,28,4.6,3,0,0,0,10,0,0,81,3.7,1623,19:47:00,162,105,0,0,,1135,1318,46.3,-7.5,852,982,46.5,-6.7,10.3,93.9,104.2,45.9,54.1,19:48:00,16:42:00,17,52,162,50,0,0,0,0.0
Josh Anderson,2016,22,CBJ,RW,78,17,12,29,12,89,4,17,0,0,3,12,0,0,119,14.3,938,12:01:00,40,147,8,21,27.6,779,882,46.9,-4.1,590,657,47.3,-3.9,9.5,93.8,103.2,45.8,54.2,12:01:00,11:44:00,25,16,193,61.7,1,1,0,100.0
Rasmus Andersson,2016,20,CGY,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,19,18:33:00,2,4,0,0,,15,15,50,-2.2,6,9,40,-10,0,80,80,60,40,18:33:00,16:40:00,0,0,1,0,0,0,0,0.0
Andy Andreoff,2016,25,LAK,LW,36,0,2,2,-2,70,-0.4,0,0,0,0,2,0,0,38,0,381,10:36:00,7,70,41,28,59.4,358,304,54.1,-1.1,253,224,53,-2.3,4,93.8,97.8,58.5,41.5,10:36:00,10:21:00,5,10,81,46.9,0,0,0,0.0
Sven Andrighetto,2016,23,TOT,RW,46,7,17,24,1,12,2.5,5,2,0,0,15,2,0,68,10.3,643,13:58:00,22,40,7,3,70,550,513,51.7,-2.1,398,372,51.7,-0.7,8.1,92.1,100.2,53.2,46.8,13:58:00,12:44:00,19,9,130,52.3,0,0,0,0.0
Sven Andrighetto,2016,23,MTL,RW,27,2,6,8,1,4,0.6,2,0,0,0,5,1,0,31,6.5,310,11:29:00,12,27,0,0,,550,513,51.7,-2.1,398,372,51.7,-0.7,8.1,92.1,100.2,53.2,46.8,13:58:00,12:44:00,19,9,130,52.3,0,0,0,0.0
