Season,Player,Age_x,Tm_x,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Age_y,Tm_y,Pos_y,GP_y,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2010,Mathieu Darche,34,MTL,LW,59,12,14,26,7,10,3.4,10,2,0,1,9,5,0,90,13.3,665,11:16:00,30,73,7,14,33.3,34,MTL,LW,59,618,511,54.7,3.8,445,341,56.6,4.6,8.4,92.8,101.2,54.3,45.7,11:16:00,09:54:00,15,10,154,58.4,0,0,0,0.0
2010,Pavel Datsyuk,32,DET,C,56,23,36,59,11,15,7.3,16,6,1,5,24,12,0,137,16.8,1082,19:19:00,20,54,429,356,54.6,32,DET,C,56,894,686,56.6,2.3,685,550,55.5,1.6,10.2,90.8,101.1,47.9,52.1,19:19:00,15:29:00,71,38,257,53.3,4,2,2,50.0
2010,Nigel Dawes,25,TOT,LW,13,0,1,1,-6,0,-0.4,0,0,0,0,1,0,0,12,0,128,09:49:00,3,19,0,0,,25,TOT,LW,13,104,133,43.9,1.9,81,99,45,2.5,3.3,87.7,91,47.6,52.4,09:49:00,09:31:00,6,3,20,60,3,2,1,66.7
2010,Nigel Dawes,25,ATL,LW,9,0,1,1,-6,0,-0.3,0,0,0,0,1,0,0,9,0,101,11:11:00,2,11,0,0,,25,TOT,LW,13,104,133,43.9,1.9,81,99,45,2.5,3.3,87.7,91,47.6,52.4,09:49:00,09:31:00,6,3,20,60,3,2,1,66.7
2010,Nigel Dawes,25,MTL,LW,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,06:44:00,1,8,0,0,,25,TOT,LW,13,104,133,43.9,1.9,81,99,45,2.5,3.3,87.7,91,47.6,52.4,09:49:00,09:31:00,6,3,20,60,3,2,1,66.7
2010,Michael Del Zotto,20,NYR,D,47,2,9,11,-5,20,2.1,0,2,0,0,4,5,0,58,3.4,916,19:29:00,72,92,0,0,,20,NYR,D,47,698,694,50.1,1.7,519,488,51.5,2,8.3,89.8,98.1,53,47,19:29:00,15:05:00,16,24,152,38.2,0,0,0,0.0
2010,Stefan Della Rovere,20,STL,LW,7,0,0,0,0,11,-0.1,0,0,0,0,0,0,0,4,0,43,06:05:00,2,10,3,1,75,20,STL,LW,7,33,40,45.2,-13,24,25,49,-7.4,0,100,100,66.7,33.3,06:05:00,06:05:00,0,1,8,50,0,0,0,0.0
2010,Jason Demers,22,SJS,D,75,2,22,24,19,28,5.7,2,0,0,0,16,6,0,105,1.9,1462,19:30:00,72,87,0,0,,22,SJS,D,75,1236,965,56.2,3.2,929,717,56.4,3.6,7.9,93.9,101.8,48.3,51.7,19:30:00,15:43:00,30,49,245,42.9,0,0,0,0.0
2010,Guillaume Desbiens,25,VAN,D,12,0,0,0,-3,10,-0.2,0,0,0,0,0,0,0,4,0,88,07:21:00,4,22,1,0,100,25,VAN,D,12,57,91,38.5,-14.6,43,66,39.4,-13.8,0,94.3,94.3,42.3,57.7,07:21:00,06:41:00,1,0,12,33.3,0,0,0,0.0
2010,David Desharnais,24,MTL,C,43,8,14,22,-3,12,2.3,4,4,0,0,10,4,0,55,14.5,553,12:52:00,19,16,221,224,49.7,24,MTL,C,43,421,404,51,1,311,289,51.8,1.3,7.7,90.7,98.4,47.2,52.8,12:52:00,10:05:00,10,6,82,67.1,2,1,1,50.0
2010,Andrew Desjardins,24,SJS,C,17,1,2,3,-1,4,0.2,1,0,0,0,2,0,0,12,8.3,121,07:08:00,5,34,31,25,55.4,24,SJS,C,17,114,109,51.1,-3.2,92,78,54.1,-1.2,7.5,88.5,95.9,59.6,40.4,07:08:00,06:50:00,6,1,23,52.2,0,0,0,0.0
2010,Justin Dibenedetto,22,NYI,LW,8,0,1,1,-2,2,-0.1,0,0,0,0,1,0,0,6,0,73,09:04:00,3,13,0,0,,22,NYI,LW,8,48,68,41.4,-10.2,39,48,44.8,-8.7,6.9,86.7,93.6,45.5,54.5,09:04:00,08:43:00,0,1,10,60,0,0,0,0.0
2010,Shane Doan,34,PHX,RW,72,20,40,60,5,67,6.3,9,11,0,6,30,10,0,221,9,1389,19:17:00,28,172,73,86,45.9,34,PHX,RW,72,1095,991,52.5,2,828,765,52,3.1,9.6,91.5,101.1,49.9,50.1,19:17:00,15:01:00,41,36,401,54.9,3,1,2,33.3
2010,Jamie Doornbosch,20,NYI,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0,5,05:21:00,0,1,0,0,,20,NYI,D,1,4,7,36.4,-15.1,3,7,30,-20.9,0,85.7,85.7,60,40,05:21:00,04:33:00,2,0,2,50,0,0,0,0.0
2010,Derek Dorsett,24,CBJ,RW,76,4,13,17,-15,184,-0.2,4,0,0,0,10,0,3,112,3.6,1004,13:13:00,37,195,19,32,37.3,24,CBJ,RW,76,671,728,48,-4.3,503,556,47.5,-5.5,5.4,90.8,96.2,41.1,58.9,13:13:00,11:33:00,25,7,195,57.4,0,0,0,0.0
2010,Drew Doughty,21,LAK,D,76,11,29,40,13,68,9.6,6,5,0,3,19,10,0,139,7.9,1949,1900-01-01 01:39:00,101,137,0,0,,21,LAK,D,76,1478,1246,54.3,1.9,1076,949,53.1,1,9.9,91.1,101.1,53.5,46.5,1900-01-01 01:39:00,19:26:00,22,77,341,40.8,1,0,1,0.0
2010,Jake Dowell,25,CHI,C,79,6,15,21,5,63,1.4,6,0,0,0,12,0,3,74,8.1,933,11:49:00,43,107,319,333,48.9,25,CHI,C,79,748,717,51.1,-3.9,548,518,51.4,-3.7,7.2,92.4,99.6,42.4,57.6,11:49:00,10:17:00,32,18,107,69.2,0,0,0,0.0
2010,Steve Downie,23,TBL,RW,57,10,22,32,8,171,3.5,8,2,0,1,19,3,0,83,12,828,14:31:00,21,94,43,53,44.8,23,TBL,RW,57,698,623,52.8,2.3,516,449,53.5,1.5,10.8,90.6,101.4,49.7,50.3,14:31:00,12:14:00,30,25,140,59.3,1,0,1,0.0
2010,Kris Draper,39,DET,C,47,6,5,11,1,12,0.9,6,0,0,1,5,0,0,57,10.5,491,10:27:00,11,45,95,73,56.5,39,DET,C,47,448,388,53.6,-2.3,359,314,53.3,-2,8.3,90.3,98.6,47.7,52.3,10:27:00,09:33:00,16,8,89,64,0,0,0,0.0
2010,Nick Drazenovic,24,STL,C,3,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,2,0,27,08:59:00,1,7,6,5,54.5,24,STL,C,3,16,23,41,-3.2,13,20,39.4,-8.5,0,75,75,58.8,41.2,08:59:00,07:56:00,0,1,5,40,0,0,0,0.0
2010,Davis Drewiske,26,LAK,D,38,0,5,5,-1,19,1.3,0,0,0,0,5,0,0,27,0,545,14:21:00,61,23,0,0,,26,LAK,D,38,379,390,49.3,-2.5,274,280,49.5,-1.7,8.5,91.4,99.9,51.1,48.9,14:21:00,12:21:00,6,12,70,38.6,0,0,0,0.0
