,Player,Season,Age,Tm,GP,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
0,Craig Anderson,2008,27,FLA,31,27,15,7,5,74,977,903,0.924,2.71,3,7.6,1636,16,6,0,1,1,2,11,7,4,36.4
1,Alex Auld,2008,28,OTT,43,38,16,18,7,101,1141,1040,0.911,2.47,1,7.2,2449,22,4,0,0,0,2,25,9,16,64.0
2,Niklas Backstrom,2008,30,MIN,71,71,37,24,8,159,2059,1900,0.923,2.33,8,15.6,4088,47,9,0,0,0,6,21,5,16,76.2
3,Martin Biron,2008,31,PHI,55,53,29,19,5,146,1718,1572,0.915,2.76,2,11.5,3177,29,7,0,4,4,0,17,5,12,70.6
4,Ben Bishop,2008,22,STL,6,3,1,1,1,12,112,100,0.893,2.94,0,0.5,245,1,0,0,0,0,0,4,2,2,50.0
5,Brian Boucher,2008,32,SJS,22,20,12,6,3,47,563,516,0.917,2.18,2,3.9,1291,10,1,0,0,0,2,6,2,4,66.7
6,Martin Brodeur*,2008,36,NJD,31,30,19,9,3,73,870,797,0.916,2.42,5,5.9,1814,20,5,0,0,0,4,0,0,0,0.0
7,Ilya Bryzgalov,2008,28,PHX,65,62,26,31,6,187,1994,1807,0.906,2.98,3,11.4,3760,33,13,0,2,2,4,20,10,10,50.0
8,Peter Budaj,2008,26,COL,56,55,20,29,5,154,1531,1377,0.899,2.86,2,7.6,3232,27,14,0,1,1,0,35,13,22,62.9
9,Scott Clemmensen,2008,31,NJD,40,39,25,13,1,94,1138,1044,0.917,2.39,2,7.9,2356,22,5,0,0,0,2,12,3,9,75.0
10,Matt Climie,2008,25,DAL,3,3,2,1,0,9,85,76,0.894,2.92,0,0.4,185,1,1,0,0,0,0,2,2,0,0.0
11,Ty Conklin,2008,32,DET,40,36,25,11,2,94,1033,939,0.909,2.51,6,6.2,2246,18,6,0,0,0,4,13,4,9,69.2
12,John Curry,2008,24,PIT,3,2,2,1,0,6,69,63,0.913,2.4,0,0.4,150,1,0,0,0,0,0,0,0,0,0.0
13,Yann Danis,2008,27,NYI,31,29,10,17,3,84,933,849,0.91,2.86,2,5.7,1760,18,7,0,0,0,0,5,3,2,40.0
14,Marc Denis,2008,31,MTL,1,0,0,0,0,1,7,6,0.857,3,0,0,20,0,0,0,0,0,0,0,0,0,0.0
15,Jeff Deslauriers,2008,24,EDM,10,7,4,3,0,30,302,272,0.901,3.34,0,1.5,540,4,2,0,1,1,0,3,0,3,100.0
16,Rick DiPietro,2008,27,NYI,5,5,1,3,0,15,139,124,0.892,3.52,0,0.6,256,2,3,0,2,2,2,0,0,0,0.0
17,Wade Dubielewicz,2008,30,CBJ,3,2,1,2,0,10,77,67,0.87,3.56,0,0.1,169,0,0,0,0,0,0,0,0,0,0.0
18,Brian Elliott,2008,23,OTT,31,30,16,8,3,77,786,709,0.902,2.77,1,4.1,1667,15,7,0,0,0,0,16,6,10,62.5
19,Dan Ellis,2008,28,NSH,35,33,11,19,4,96,963,867,0.9,2.93,3,4.9,1965,16,8,0,0,0,2,11,6,5,45.5
20,Erik Ersberg,2008,26,LAK,28,25,8,11,5,65,651,586,0.9,2.64,0,3.3,1477,11,4,0,0,0,2,20,8,12,60.0
21,Manny Fernandez,2008,34,BOS,28,27,16,8,3,71,791,720,0.91,2.59,1,4.9,1644,15,4,0,0,0,2,9,4,5,55.6
22,Marc-Andre Fleury,2008,24,PIT,62,61,35,18,7,162,1850,1688,0.912,2.67,4,11.9,3641,31,7,0,1,1,8,22,6,16,72.7
23,Mathieu Garon,2008,31,TOT,19,16,8,9,0,53,502,449,0.894,3.12,0,2.2,1021,7,6,0,0,0,0,3,1,2,66.7
24,Martin Gerber,2008,34,TOT,26,26,10,14,1,78,799,721,0.902,3.03,1,4.2,1545,13,5,0,1,1,16,0,0,0,0.0
25,Jean-Sebastien Giguere,2008,31,ANA,46,44,19,18,6,127,1274,1147,0.9,3.1,2,6.4,2458,20,10,0,0,0,4,12,4,8,66.7
26,Jaroslav Halak,2008,23,MTL,34,33,18,14,1,92,1077,985,0.915,2.86,1,7.2,1931,18,2,0,0,0,0,7,2,5,71.4
27,Josh Harding,2008,24,MIN,19,11,3,9,1,32,453,421,0.929,2.21,0,3.8,870,5,0,0,0,0,2,2,1,1,50.0
28,Johan Hedberg,2008,35,ATL,33,26,13,12,3,100,875,775,0.886,3.49,0,3,1717,9,6,0,0,0,2,13,1,12,92.3
29,Riku Helenius,2008,20,TBL,1,0,0,0,0,0,2,2,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0.0
30,Jonas Hiller,2008,26,ANA,46,38,23,15,1,99,1217,1118,0.919,2.39,4,8.6,2486,23,6,0,0,0,0,31,5,26,83.9
31,Chris Holt,2008,23,STL,1,0,0,0,0,0,3,3,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0.0
32,Jimmy Howard,2008,24,DET,1,1,0,1,0,4,28,24,0.857,4.1,0,0,59,0,0,0,0,0,0,0,0,0,0.0
33,Cristobal Huet,2008,33,CHI,41,40,20,15,4,99,1087,988,0.909,2.53,3,6.5,2351,25,8,0,0,0,2,12,5,7,58.3
34,Brent Johnson,2008,31,WSH,21,19,12,6,2,53,579,526,0.908,2.81,0,3.5,1131,11,2,0,1,1,4,2,1,1,50.0
35,Curtis Joseph,2008,41,TOR,21,11,5,9,1,50,383,333,0.869,3.57,0,0.6,841,2,5,0,0,0,0,11,3,8,72.7
36,Nikolai Khabibulin,2008,36,CHI,42,39,25,8,7,96,1192,1096,0.919,2.33,3,8.6,2467,24,3,0,2,2,8,19,9,10,52.6
37,Miikka Kiprusoff,2008,32,CGY,76,76,45,24,5,209,2155,1946,0.903,2.84,4,11.5,4418,38,11,0,3,3,2,14,3,11,78.6
38,Olaf Kolzig,2008,38,TBL,8,8,2,4,1,25,245,220,0.898,3.66,0,1.2,410,3,2,0,0,0,0,0,0,0,0.0
39,Brent Krahn,2008,26,DAL,1,0,0,0,0,3,9,6,0.667,9,0,-0.2,20,0,0,0,0,0,0,0,0,0,0.0
40,Jason LaBarbera,2008,29,TOT,28,24,8,10,6,67,674,607,0.901,2.78,2,3.4,1446,13,7,0,0,0,2,16,11,5,31.3
41,Dan LaCosta,2008,22,CBJ,3,2,2,0,0,4,80,76,0.95,1.54,1,0.8,156,2,0,0,0,0,0,0,0,0,0.0
42,Patrick Lalime,2008,34,BUF,24,21,5,13,3,67,669,602,0.9,3.1,0,3.3,1297,11,6,0,0,0,0,10,4,6,60.0
43,Pascal Leclaire,2008,26,CBJ,12,12,4,6,1,43,324,281,0.867,3.83,0,0.4,674,3,3,0,1,1,0,3,2,1,33.3
44,Manny Legace,2008,35,STL,29,28,13,9,2,77,669,592,0.885,3.18,0,2.2,1452,11,8,0,0,0,0,13,4,9,69.2
45,Kari Lehtonen,2008,25,ATL,46,45,19,22,3,134,1498,1364,0.911,3.06,3,9.3,2624,27,7,0,1,1,6,22,5,17,77.3
46,Michael Leighton,2008,27,CAR,19,14,6,7,2,50,507,457,0.901,2.92,0,2.6,1029,7,1,0,0,0,4,5,3,2,40.0
47,Henrik Lundqvist,2008,26,NYR,70,70,38,25,7,168,2007,1839,0.916,2.43,3,13.7,4153,46,9,0,2,2,0,40,10,30,75.0
48,Roberto Luongo,2008,29,VAN,54,53,33,13,7,124,1542,1418,0.92,2.34,9,11.1,3181,32,7,0,1,1,4,29,8,21,72.4
49,Joey MacDonald,2008,28,NYI,49,46,14,26,6,157,1584,1427,0.901,3.37,1,8.1,2792,21,6,0,1,1,6,15,6,9,60.0
50,Peter Mannino,2008,24,NYI,3,2,1,1,0,10,87,77,0.885,4.52,0,0.3,133,1,0,0,0,0,0,0,0,0,0.0
51,Chris Mason,2008,32,STL,57,51,27,21,7,129,1544,1415,0.916,2.41,6,10.6,3215,31,8,0,1,1,0,18,7,11,61.1
52,Steve Mason,2008,20,CBJ,61,61,33,20,7,140,1658,1518,0.916,2.29,10,11.2,3664,34,10,0,0,0,2,31,9,22,71.0
53,Curtis McElhinney,2008,25,CGY,14,5,1,6,1,31,280,249,0.889,3.59,0,1.1,518,2,2,0,0,0,2,0,0,0,0.0
54,Mike McKenna,2008,25,TBL,15,14,4,8,1,46,406,360,0.887,3.56,1,1.4,776,4,6,0,1,1,0,0,0,0,0.0
55,Ryan Miller,2008,28,BUF,59,58,34,18,6,145,1773,1628,0.918,2.53,5,12.5,3443,38,7,0,0,0,4,40,9,31,77.5
56,Al Montoya,2008,23,PHX,5,4,3,1,0,9,120,111,0.925,2.08,1,0.9,259,3,1,0,0,0,0,0,0,0,0.0
57,Evgeni Nabokov,2008,33,SJS,62,62,41,12,8,150,1663,1513,0.91,2.44,7,10.2,3686,38,12,0,1,1,12,31,11,20,64.5
58,Michal Neuvirth,2008,20,WSH,5,3,2,1,0,11,102,91,0.892,3,0,0.4,220,1,1,0,0,0,0,0,0,0,0.0
59,Antti Niemi,2008,25,CHI,3,2,1,1,1,8,59,51,0.864,3.4,0,0.1,141,1,1,0,0,0,0,0,0,0,0.0
60,Antero Niittymaki,2008,28,PHI,32,29,15,8,6,83,947,864,0.912,2.76,1,6.1,1805,14,6,0,1,1,2,18,6,12,66.7
61,Fredrik Norrena,2008,35,CBJ,8,5,1,3,2,17,133,116,0.872,3.16,0,0.3,323,1,1,0,0,0,0,2,1,1,50.0
62,Chris Osgood,2008,36,DET,46,44,26,9,8,137,1208,1071,0.887,3.09,2,4.3,2663,19,10,0,2,2,8,21,6,15,71.4
63,Ondrej Pavelec,2008,21,ATL,12,11,3,7,0,36,301,265,0.88,3.6,0,0.9,599,3,4,0,0,0,0,0,0,0,0.0
64,Justin Pogge,2008,22,TOR,7,6,1,4,1,27,173,146,0.844,4.36,0,-0.2,372,1,3,0,0,0,0,2,2,0,0.0
65,Carey Price,2008,21,MTL,52,49,23,16,10,143,1513,1370,0.905,2.83,1,8.5,3036,30,8,0,1,1,4,35,13,22,62.9
66,Jonathan Quick,2008,23,LAK,44,41,21,18,2,103,1200,1097,0.914,2.48,4,7.9,2495,23,6,0,1,1,0,14,4,10,71.4
67,Karri Ramo,2008,22,TBL,24,20,4,10,7,80,756,676,0.894,3.66,0,3.3,1312,10,3,0,1,1,2,13,5,8,61.5
68,Tuukka Rask,2008,21,BOS,1,1,1,0,0,0,35,35,1,0,1,0.6,60,1,0,0,0,0,0,0,0,0,0.0
69,Andrew Raycroft,2008,28,COL,31,27,12,16,0,90,836,746,0.892,3.14,0,3.5,1722,12,4,0,0,0,2,8,1,7,87.5
70,Pekka Rinne,2008,26,NSH,52,49,29,15,4,119,1435,1316,0.917,2.38,7,9.9,2999,28,8,0,1,1,6,24,5,19,79.2
71,Dwayne Roloson,2008,39,EDM,63,62,28,24,9,166,1953,1787,0.915,2.77,1,13.1,3597,36,9,0,1,1,10,24,5,19,79.2
72,Dany Sabourin,2008,28,PIT,19,16,6,8,2,47,463,416,0.898,2.85,0,2.2,989,8,3,0,0,0,2,19,5,14,73.7
73,Curtis Sanford,2008,29,VAN,19,15,7,8,0,42,448,406,0.906,2.59,1,2.6,973,7,3,0,0,0,2,0,0,0,0.0
74,Cory Schneider,2008,22,VAN,8,5,2,4,1,20,162,142,0.877,3.38,0,0.4,355,1,1,0,0,0,0,3,3,0,0.0
75,Marek Schwarz,2008,22,STL,2,0,0,0,0,0,5,5,1,0,0,0.1,15,0,0,0,0,0,0,0,0,0,0.0
76,Mike Smith,2008,26,TBL,41,40,14,18,9,108,1282,1174,0.916,2.62,2,8.7,2471,25,4,0,1,1,23,27,15,12,44.4
77,Tobias Stephan,2008,25,DAL,10,5,1,3,1,27,208,181,0.87,3.7,0,0.4,438,1,3,0,1,1,0,0,0,0,0.0
78,Mikael Tellqvist,2008,29,TOT,21,16,9,6,1,47,533,486,0.912,2.74,0,3.4,1028,9,2,0,0,0,0,8,1,7,87.5
79,Jose Theodore,2008,32,WSH,57,55,32,17,5,157,1572,1415,0.9,2.87,2,7.9,3287,26,12,0,3,3,6,22,6,16,72.7
80,Tim Thomas,2008,34,BOS,54,53,36,11,7,114,1694,1580,0.933,2.1,5,14.7,3259,39,3,0,1,1,6,28,9,19,67.9
81,Josh Tordjman,2008,24,PHX,2,2,0,2,0,8,62,54,0.871,4.08,0,0.1,118,0,0,0,0,0,0,0,0,0,0.0
82,Vesa Toskala,2008,31,TOR,53,52,22,17,11,166,1518,1352,0.891,3.26,1,6,3056,23,13,0,0,0,2,29,14,15,51.7
83,Marty Turco,2008,33,DAL,74,74,33,31,10,203,1993,1790,0.898,2.81,3,9.6,4327,38,22,0,5,5,18,43,16,27,62.8
84,Steve Valiquette,2008,31,NYR,15,12,5,5,2,39,421,382,0.907,2.84,1,2.5,823,7,1,0,1,1,2,12,3,9,75.0
85,Semyon Varlamov,2008,20,WSH,6,5,4,0,1,13,159,146,0.918,2.37,0,1.1,329,4,1,0,0,0,2,0,0,0,0.0
86,Tomas Vokoun,2008,32,FLA,59,55,26,23,6,138,1855,1717,0.926,2.49,6,14.6,3324,33,4,0,1,1,2,19,6,13,68.4
87,Cam Ward,2008,24,CAR,68,68,39,23,5,160,1901,1741,0.916,2.44,6,12.9,3928,43,10,0,1,1,4,19,7,12,63.2
88,Kevin Weekes,2008,33,NJD,16,13,7,5,0,32,399,367,0.92,2.42,0,2.9,795,8,1,0,0,0,0,6,2,4,66.7
