Season,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2015,Jake Allen,25,STL,47,44,26,15,3,101,1260,1159,0.92,2.35,6,8.2,2583,26,6,0,0,0,0,29,6,23,79.3
2015,Frederik Andersen,26,ANA,43,37,22,9,7,88,1086,998,0.919,2.3,3,7,2298,24,5,0,1,1,2,12,6,6,50.0
2015,Craig Anderson,34,OTT,60,60,31,23,5,161,1915,1754,0.916,2.78,4,11.6,3477,31,8,0,2,2,0,25,9,16,64.0
2015,Jonathan Bernier,27,TOR,38,36,12,21,3,103,1114,1011,0.908,2.88,3,5.6,2147,19,8,0,0,0,2,8,3,5,62.5
2015,Jean-Francois Berube,24,NYI,7,6,3,2,1,18,210,192,0.914,2.71,0,1.2,399,4,1,0,0,0,0,3,1,2,66.7
2015,Ben Bishop,29,TBL,61,60,35,21,4,123,1672,1549,0.926,2.06,6,12.2,3585,37,4,0,1,1,4,11,5,6,54.5
2015,Sergei Bobrovsky,27,CBJ,37,37,15,19,1,97,1049,952,0.908,2.75,1,5.3,2116,18,8,0,2,2,2,9,2,7,77.8
2015,Laurent Brossoit,22,EDM,5,5,0,4,1,18,142,124,0.873,3.61,0,0.1,300,1,2,0,0,0,0,2,2,0,0.0
2015,Mike Condon,25,MTL,55,51,21,25,6,141,1458,1317,0.903,2.71,1,6.6,3123,24,9,0,0,0,0,26,8,18,69.2
2015,Corey Crawford,31,CHI,58,58,35,18,5,131,1718,1587,0.924,2.37,7,12,3323,40,9,0,1,1,2,9,3,6,66.7
2015,Scott Darling,27,CHI,29,24,12,8,4,67,784,717,0.915,2.58,1,4.6,1560,13,5,0,0,0,0,2,1,1,50.0
2015,Louis Domingue,23,ARI,39,36,15,18,5,101,1142,1041,0.912,2.75,2,6.3,2206,20,5,0,1,1,0,6,2,4,66.7
2015,Devan Dubnyk,29,MIN,67,66,32,26,6,150,1829,1679,0.918,2.33,5,11.5,3861,34,5,0,0,0,8,14,4,10,71.4
2015,Brian Elliott,30,STL,42,38,23,8,6,78,1113,1035,0.93,2.07,4,8.6,2261,26,6,0,0,0,2,20,7,13,65.0
2015,Marc-Andre Fleury,31,PIT,58,58,35,17,6,132,1665,1533,0.921,2.29,5,11,3463,33,5,0,1,1,2,17,4,13,76.5
