Season,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2010,Craig Anderson,29,TOT,51,49,24,20,4,135,1546,1411,0.913,2.83,2,9.2,2865,29,10,0,1,1,4,15,1,14,93.3
2010,Craig Anderson,29,COL,33,31,13,15,3,99,957,858,0.897,3.28,0,3.9,1810,15,9,0,1,1,4,15,1,14,93.3
2010,Craig Anderson,29,OTT,18,18,11,5,1,36,589,553,0.939,2.05,2,5.3,1055,14,1,0,0,0,0,15,1,14,93.3
2010,Alex Auld,30,MTL,16,12,6,2,2,33,383,350,0.914,2.64,0,2.3,749,6,2,0,1,1,2,4,1,3,75.0
2010,Richard Bachman,23,DAL,1,0,0,0,0,0,4,4,1,0,0,0.1,10,0,0,0,0,0,0,0,0,0,0.0
2010,Niklas Backstrom,32,MIN,51,50,22,23,5,132,1566,1434,0.916,2.66,3,9.8,2978,29,9,0,1,1,2,17,8,9,52.9
2010,Jonathan Bernier,22,LAK,25,22,11,8,3,57,652,595,0.913,2.48,3,3.9,1378,14,5,0,0,0,0,5,3,2,40.0
2010,Martin Biron,33,NYR,17,15,8,6,0,33,426,393,0.923,2.13,0,3,928,10,1,0,0,0,0,7,2,5,71.4
2010,Ben Bishop,24,STL,7,5,3,4,0,17,168,151,0.899,2.77,1,0.7,369,2,3,0,0,0,0,4,2,2,50.0
2010,Sergei Bobrovsky,22,PHI,54,52,28,13,8,130,1527,1397,0.915,2.59,0,9.4,3017,34,6,0,2,2,2,17,9,8,47.1
2010,Brian Boucher,34,PHI,34,29,18,10,4,76,902,826,0.916,2.42,0,5.7,1885,17,3,0,0,0,0,20,8,12,60.0
2010,Martin Brodeur*,38,NJD,56,54,23,26,3,127,1313,1186,0.903,2.45,6,6.3,3116,28,9,0,2,2,2,0,0,0,0.0
2010,Mike Brodeur,27,OTT,4,1,0,1,0,7,42,35,0.833,4.34,0,-0.1,97,0,1,0,0,0,0,0,0,0,0.0
2010,Ilya Bryzgalov,30,PHX,68,67,36,20,10,168,2125,1957,0.921,2.48,7,14.7,4060,40,6,0,0,0,2,32,11,21,65.6
2010,Peter Budaj,28,COL,45,39,15,21,4,130,1234,1104,0.895,3.2,1,4.7,2439,13,7,0,1,1,6,14,1,13,92.9
2010,Scott Clemmensen,33,FLA,31,25,8,11,7,74,833,759,0.911,2.62,1,4.8,1696,10,4,0,1,1,2,23,12,11,47.8
2010,Matt Climie,27,PHX,1,0,0,0,0,1,16,15,0.938,1.85,0,0.1,32,0,0,0,0,0,0,0,0,0,0.0
2010,Ty Conklin,34,STL,25,20,8,8,4,69,582,513,0.881,3.22,2,1.3,1285,6,7,0,0,0,4,7,6,1,14.3
2010,Corey Crawford,26,CHI,57,55,33,18,6,128,1545,1417,0.917,2.3,4,10,3337,34,6,0,1,1,2,19,3,16,84.2
2010,Mark Dekanich,24,NSH,1,0,0,0,0,3,25,22,0.88,3.6,0,0.1,50,0,0,0,0,0,0,0,0,0,0.0
2010,Cedrick Desjardins,25,TBL,2,2,2,0,0,2,63,61,0.968,1,0,0.8,120,2,0,0,0,0,0,0,0,0,0.0
2010,Rick DiPietro,29,NYI,26,25,8,14,4,88,773,685,0.886,3.44,1,2.2,1533,9,7,0,1,1,25,9,3,6,66.7
2010,Devan Dubnyk,24,EDM,35,33,12,13,8,93,1103,1010,0.916,2.71,2,6.9,2061,18,6,0,0,0,2,19,10,9,47.4
2010,Brian Elliott,25,TOT,55,51,15,27,9,166,1551,1385,0.893,3.34,3,5.6,2983,17,15,0,0,0,0,18,7,11,61.1
2010,Brian Elliott,25,OTT,43,39,13,19,8,122,1147,1025,0.894,3.19,3,4.2,2293,14,12,0,0,0,0,18,7,11,61.1
2010,Brian Elliott,25,COL,12,12,2,8,1,44,404,360,0.891,3.83,0,1.4,690,3,3,0,0,0,0,18,7,11,61.1
2010,Dan Ellis,30,TOT,44,37,21,10,7,111,1089,978,0.898,2.77,2,4.6,2408,16,10,0,1,1,0,24,6,18,75.0
2010,Dan Ellis,30,TBL,31,26,13,7,6,82,741,659,0.889,2.93,2,2.4,1679,10,8,0,1,1,0,24,6,18,75.0
2010,Dan Ellis,30,ANA,13,11,8,3,1,29,348,319,0.917,2.39,0,2.2,729,6,2,0,0,0,0,24,6,18,75.0
2010,Ray Emery,28,ANA,10,9,7,2,0,20,272,252,0.926,2.28,0,2.1,527,5,0,0,0,0,0,0,0,0,0.0
2010,Jhonas Enroth,22,BUF,14,13,9,2,2,35,377,342,0.907,2.73,1,2,769,7,2,0,0,0,0,19,5,14,73.7
2010,Marc-Andre Fleury,26,PIT,65,62,36,20,5,143,1742,1599,0.918,2.32,3,11.4,3695,37,10,0,1,1,10,38,6,32,84.2
2010,Mathieu Garon,33,CBJ,36,29,10,14,6,88,887,799,0.901,2.72,3,4,1938,10,5,0,1,1,2,12,4,8,66.7
2010,Martin Gerber,36,EDM,3,3,3,0,0,4,95,91,0.958,1.3,0,1.1,185,3,0,0,1,1,0,4,1,3,75.0
2010,Jean-Sebastien Giguere,33,TOR,33,26,11,11,4,78,777,699,0.9,2.87,0,3.4,1633,13,3,0,0,0,4,15,7,8,53.3
2010,Jonas Gustavsson,26,TOR,23,21,6,13,2,68,620,552,0.89,3.28,0,2.1,1242,6,4,0,0,0,0,10,4,6,60.0
2010,Jaroslav Halak,25,STL,57,57,27,21,7,136,1518,1382,0.91,2.48,7,8.6,3294,32,7,0,0,0,6,29,10,19,65.5
2010,Johan Hedberg,37,NJD,34,27,15,12,2,68,777,709,0.912,2.38,3,4.6,1717,17,4,0,1,1,4,11,3,8,72.7
2010,Jonas Hiller,28,ANA,49,46,26,16,3,114,1493,1379,0.924,2.56,5,10.8,2672,26,5,0,1,1,0,26,4,22,84.6
2010,Braden Holtby,21,WSH,14,12,10,2,2,22,332,310,0.934,1.79,2,2.8,736,8,2,0,1,1,0,7,3,4,57.1
2010,Jimmy Howard,26,DET,63,63,37,17,5,168,1830,1662,0.908,2.79,2,9.9,3615,30,8,0,1,1,4,17,2,15,88.2
2010,Brent Johnson,33,PIT,23,20,13,5,3,47,604,557,0.922,2.17,1,4.3,1297,15,4,0,1,1,24,11,1,10,90.9
2010,Chad Johnson,24,NYR,1,0,0,0,0,2,11,9,0.818,6,0,-0.1,20,0,0,0,0,0,0,0,0,0,0.0
2010,Henrik Karlsson,27,CGY,17,11,4,5,6,36,391,355,0.908,2.58,0,2.1,838,6,3,0,0,0,0,11,5,6,54.5
2010,Nikolai Khabibulin,38,EDM,47,46,10,32,4,153,1389,1236,0.89,3.4,2,4.5,2701,15,12,0,0,0,12,18,4,14,77.8
2010,Anton Khudobin,24,MIN,4,3,2,1,0,5,86,81,0.942,1.59,1,0.8,189,2,1,0,0,0,0,0,0,0,0.0
2010,Miikka Kiprusoff,34,CGY,71,71,37,24,6,182,1935,1753,0.906,2.63,6,10,4156,39,14,0,1,1,2,41,12,29,70.7
2010,Mikko Koskinen,22,NYI,4,4,2,1,0,15,118,103,0.873,4.33,0,0.1,208,2,2,0,0,0,0,4,0,4,100.0
2010,Jason LaBarbera,31,PHX,17,15,7,6,3,48,529,481,0.909,3.26,2,2.9,883,10,3,0,0,0,2,5,2,3,60.0
2010,Patrick Lalime,36,BUF,7,4,0,5,0,18,163,145,0.89,2.96,0,0.5,365,0,1,0,1,1,0,0,0,0,0.0
2010,Nathan Lawson,27,NYI,10,7,1,4,2,26,243,217,0.893,4.06,0,0.9,384,3,2,0,0,0,0,6,4,2,33.3
2010,Pascal Leclaire,28,OTT,14,13,4,7,1,36,391,355,0.908,2.83,0,2.1,763,8,1,0,0,0,0,0,0,0,0.0
2010,Robin Lehner,19,OTT,8,5,1,4,0,20,178,158,0.888,3.52,0,0.5,341,1,2,0,0,0,2,0,0,0,0.0
2010,Kari Lehtonen,27,DAL,69,68,34,24,11,175,2043,1868,0.914,2.55,3,12.5,4119,38,8,0,6,6,6,33,14,19,57.6
2010,Michael Leighton,29,PHI,1,1,1,0,0,4,36,32,0.889,4.01,0,0.1,60,0,0,0,0,0,0,0,0,0,0.0
2010,David LeNeveu,27,CBJ,1,0,0,0,0,2,12,10,0.833,6,0,0,20,0,0,0,0,0,0,0,0,0,0.0
2010,Anders Lindback,22,NSH,22,18,11,5,2,49,576,527,0.915,2.6,2,3.6,1131,12,2,0,0,0,0,0,0,0,0.0
2010,Henrik Lundqvist,28,NYR,68,67,36,27,5,152,1965,1813,0.923,2.28,11,14,4007,36,9,0,4,4,6,46,7,39,84.8
2010,Roberto Luongo,31,VAN,60,60,38,15,7,126,1753,1627,0.928,2.11,4,13.6,3590,40,4,0,3,3,2,26,12,14,53.8
2010,Joey MacDonald,30,DET,15,9,5,5,3,31,372,341,0.917,2.58,1,2.4,721,3,2,0,0,0,0,9,2,7,77.8
2010,Peter Mannino,26,ATL,2,0,0,0,0,5,36,31,0.861,4.12,0,0,73,0,0,0,0,0,0,0,0,0,0.0
