,Player,Season,Age,Tm,GP,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
0,Sami Aittokallio,2012,20,COL,1,1,0,0,0,2,25,23,0.92,2.43,0,0.2,49,1,0,0,0,0,0,0,0,0,0.0
1,Jake Allen,2012,22,STL,15,13,9,4,0,33,346,313,0.905,2.46,1,1.8,804,6,4,0,0,0,0,2,0,2,100.0
2,Craig Anderson,2012,31,OTT,24,24,12,9,2,40,677,637,0.941,1.69,3,6.5,1421,17,1,0,0,0,0,3,3,0,0.0
3,Richard Bachman,2012,25,DAL,13,8,6,5,0,33,288,255,0.885,3.25,0,0.9,609,4,3,0,0,0,0,0,0,0,0.0
4,Niklas Backstrom,2012,34,MIN,42,41,24,15,3,98,1072,974,0.909,2.48,2,6.2,2368,18,8,0,0,0,2,15,8,7,46.7
5,Jonathan Bernier,2012,24,LAK,14,12,9,3,1,24,306,282,0.922,1.87,1,2.2,768,8,1,0,1,1,0,3,3,0,0.0
6,Martin Biron,2012,35,NYR,6,5,2,2,1,13,156,143,0.917,2.32,0,1,336,2,1,0,0,0,0,2,2,0,0.0
7,Ben Bishop,2012,26,TOT,22,21,11,9,1,56,701,645,0.92,2.67,2,5,1260,14,3,0,0,0,2,22,5,17,77.3
8,Sergei Bobrovsky,2012,24,CBJ,38,37,21,11,6,74,1084,1010,0.932,2,4,9.2,2219,26,4,0,0,0,0,26,7,19,73.1
9,Brian Boucher,2012,36,PHI,4,1,0,2,0,6,55,49,0.891,2.5,0,0.2,144,0,0,0,0,0,0,0,0,0,0.0
10,Martin Brodeur*,2012,40,NJD,29,29,13,9,7,65,654,589,0.901,2.22,2,3.1,1757,15,6,1,2,3,0,0,0,0,0.0
11,Ilya Bryzgalov,2012,32,PHI,40,40,19,17,3,107,1066,959,0.9,2.79,1,5,2298,20,10,0,3,3,0,9,5,4,44.4
12,Peter Budaj,2012,30,MTL,13,10,8,1,1,25,273,248,0.908,2.28,1,1.6,656,6,2,0,0,0,0,9,2,7,77.8
13,Scott Clemmensen,2012,35,FLA,19,11,3,7,2,53,421,368,0.874,3.67,0,0.7,866,3,4,0,0,0,0,0,0,0,0.0
14,Corey Crawford,2012,28,CHI,30,28,19,5,5,57,769,712,0.926,1.94,3,6,1761,19,1,0,0,0,4,34,14,20,58.8
15,Yann Danis,2012,31,EDM,3,0,1,0,0,7,59,52,0.881,3.81,0,0.1,110,0,0,0,0,0,0,0,0,0,0.0
16,Cedrick Desjardins,2012,27,TBL,3,2,0,3,0,8,73,65,0.89,3,0,0.3,160,0,0,0,0,0,0,0,0,0,0.0
17,Rick DiPietro,2012,31,NYI,3,3,0,3,0,12,83,71,0.855,4.1,0,-0.1,176,0,1,0,0,0,0,0,0,0,0.0
18,Devan Dubnyk,2012,26,EDM,38,37,14,16,6,90,1132,1042,0.92,2.57,2,8.1,2101,20,5,0,0,0,0,11,6,5,45.5
19,Brian Elliott,2012,27,STL,24,20,14,8,1,49,526,477,0.907,2.28,3,2.9,1292,12,6,0,0,0,0,19,7,12,63.2
20,Dan Ellis,2012,32,CAR,19,16,6,8,2,52,555,503,0.906,3.13,1,3,997,8,4,0,2,2,0,5,2,3,60.0
21,Ray Emery,2012,30,CHI,21,19,17,1,0,36,460,424,0.922,1.94,3,3.4,1116,12,1,0,0,0,0,6,1,5,83.3
22,Jhonas Enroth,2012,24,BUF,12,9,4,4,1,27,332,305,0.919,2.6,1,2.3,623,7,1,0,0,0,0,2,2,0,0.0
23,Viktor Fasth,2012,30,ANA,25,23,15,6,2,52,661,609,0.921,2.18,4,4.8,1428,14,3,0,0,0,0,20,7,13,65.0
24,Marc-Andre Fleury,2012,28,PIT,33,31,23,8,0,74,881,807,0.916,2.39,1,5.9,1858,15,5,0,2,2,2,8,2,6,75.0
25,Jeff Frazee,2012,25,NJD,1,0,0,0,0,0,3,3,1,0,0,0.1,19,0,0,0,0,0,0,0,0,0,0.0
26,Mathieu Garon,2012,35,TBL,18,16,5,9,2,44,427,383,0.897,2.9,0,1.9,910,6,4,0,0,0,0,4,1,3,75.0
27,Jean-Sebastien Giguere,2012,35,COL,18,14,5,4,4,43,469,426,0.908,2.84,0,2.7,908,4,1,0,0,0,4,5,3,2,40.0
28,Thomas Greiss,2012,27,SJS,6,5,1,4,0,13,153,140,0.915,2.53,1,1,308,3,1,0,0,0,0,0,0,0,0.0
29,Philipp Grubauer,2012,21,WSH,2,1,0,1,0,5,59,54,0.915,3.57,0,0.4,84,0,0,0,0,0,0,0,0,0,0.0
30,Jonas Gustavsson,2012,28,DET,7,4,2,2,1,17,140,123,0.879,2.92,0,0.3,349,2,1,0,1,1,2,3,0,3,100.0
31,Matt Hackett,2012,22,MIN,1,1,0,1,0,5,33,28,0.848,5.07,0,0,59,0,1,0,0,0,0,0,0,0,0.0
32,Jaroslav Halak,2012,27,STL,16,15,6,5,1,29,286,257,0.899,2.14,3,1.3,813,7,4,0,1,1,0,0,0,0,0.0
33,Josh Harding,2012,28,MIN,5,3,1,1,0,10,73,63,0.863,3.24,1,0,185,1,2,0,0,0,0,0,0,0,0.0
34,Johan Hedberg,2012,39,NJD,19,19,6,10,3,51,435,384,0.883,2.76,1,1.2,1108,9,6,0,1,1,4,16,6,10,62.5
35,Jonas Hiller,2012,30,ANA,26,25,15,6,4,59,675,616,0.913,2.36,1,4.2,1498,14,2,0,1,1,2,10,3,7,70.0
36,Braden Holtby,2012,23,WSH,36,35,23,12,1,90,1123,1033,0.92,2.58,4,8,2089,20,5,0,2,2,2,9,1,8,88.9
37,Jimmy Howard,2012,28,DET,42,42,21,13,7,87,1129,1042,0.923,2.13,5,8.4,2446,26,7,0,1,1,0,19,8,11,57.9
38,Carter Hutton,2012,27,CHI,1,1,0,1,0,3,28,25,0.893,3.06,0,0.1,59,0,0,0,0,0,0,0,0,0,0.0
39,Leland Irving,2012,24,CGY,6,5,2,1,1,15,128,113,0.883,3.33,0,0.3,270,1,2,0,1,1,0,2,2,0,0.0
40,Chad Johnson,2012,26,PHX,4,4,2,0,2,5,108,103,0.954,1.22,1,1.2,247,3,0,0,0,0,0,3,1,2,66.7
41,Nikolai Khabibulin,2012,40,EDM,12,11,4,6,1,29,376,347,0.923,2.55,1,2.8,684,6,1,0,0,0,0,2,0,2,100.0
42,Anton Khudobin,2012,26,BOS,14,14,9,4,1,31,388,357,0.92,2.32,1,2.8,803,8,3,0,0,0,4,3,1,2,66.7
43,Keith Kinkaid,2012,23,NJD,1,0,0,0,0,1,13,12,0.923,2.33,0,0.1,26,0,0,0,0,0,0,0,0,0,0.0
44,Miikka Kiprusoff,2012,36,CGY,24,24,8,14,2,77,650,573,0.882,3.44,0,1.6,1344,10,9,0,1,1,0,7,3,4,57.1
45,Darcy Kuemper,2012,22,MIN,6,3,1,2,0,10,119,109,0.916,2.08,0,0.8,288,2,0,0,0,0,0,0,0,0,0.0
46,Jason LaBarbera,2012,33,PHX,15,10,4,6,2,32,418,386,0.923,2.64,0,3.1,726,5,0,0,0,0,0,3,1,2,66.7
47,Robin Lehner,2012,21,OTT,12,12,5,3,4,27,424,397,0.936,2.2,0,3.8,735,10,0,0,0,0,0,10,6,4,40.0
48,Kari Lehtonen,2012,29,DAL,36,35,15,14,3,88,1050,962,0.916,2.66,1,7,1986,21,5,0,2,2,0,10,3,7,70.0
49,Michael Leighton,2012,31,PHI,1,1,0,1,0,5,26,21,0.808,5.07,0,-0.2,59,0,1,0,0,0,0,0,0,0,0.0
50,Anders Lindback,2012,24,TBL,24,21,10,10,1,63,642,579,0.902,2.9,0,3.2,1304,11,3,0,1,1,0,2,1,1,50.0
51,Henrik Lundqvist,2012,30,NYR,43,43,24,16,3,88,1190,1102,0.926,2.05,2,9.3,2575,29,1,0,1,1,0,25,6,19,76.0
52,Roberto Luongo,2012,33,VAN,20,18,9,6,3,51,551,500,0.907,2.56,2,3.1,1197,11,3,0,0,0,0,14,5,9,64.3
