,Player,Season,Age,Tm,GP,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
53,Joey MacDonald,2012,32,CGY,21,17,8,9,1,55,562,507,0.902,2.87,0,2.8,1148,7,3,0,0,0,0,0,0,0,0.0
54,Jacob Markstrom,2012,23,FLA,23,23,8,14,1,68,685,617,0.901,3.22,0,3.3,1266,9,6,0,0,0,0,7,1,6,85.7
55,Chris Mason,2012,36,NSH,11,6,1,7,1,29,229,200,0.873,3.73,0,0.4,467,3,2,0,0,0,0,0,0,0,0.0
56,Steve Mason,2012,24,TOT,20,17,7,8,1,47,561,514,0.916,2.59,0,3.7,1090,7,1,0,1,1,0,0,0,0,0.0
57,Ryan Miller,2012,32,BUF,40,39,17,17,5,108,1270,1162,0.915,2.81,0,8.3,2302,21,4,0,0,0,2,31,8,23,74.2
58,Al Montoya,2012,27,WPG,7,5,3,1,0,17,168,151,0.899,2.9,1,0.8,351,2,2,0,0,0,0,0,0,0,0.0
59,Petr Mrazek,2012,20,DET,2,2,1,1,0,4,51,47,0.922,2.01,0,0.4,119,1,0,0,0,0,0,0,0,0,0.0
60,Evgeni Nabokov,2012,37,NYI,41,41,23,11,7,103,1139,1036,0.91,2.5,3,6.7,2475,20,5,0,4,4,6,19,6,13,68.4
61,Michal Neuvirth,2012,24,WSH,13,12,4,5,2,33,367,334,0.91,2.74,0,2.2,723,7,2,0,0,0,0,0,0,0,0.0
62,Antti Niemi,2012,29,SJS,43,43,24,12,6,93,1220,1127,0.924,2.16,4,9.2,2581,29,3,0,1,1,2,33,9,24,72.7
63,Cristopher Nilstorp,2012,28,DAL,5,5,1,3,1,15,146,131,0.897,3.09,0,0.6,291,2,2,0,0,0,0,0,0,0,0.0
64,Ondrej Pavelec,2012,25,WPG,44,43,21,20,3,119,1251,1132,0.905,2.8,0,6.6,2553,19,8,0,0,0,2,21,6,15,71.4
65,Justin Peters,2012,26,CAR,19,16,4,11,1,55,506,451,0.891,3.46,1,1.9,954,6,3,0,0,0,0,0,0,0,0.0
66,Kevin Poulin,2012,22,NYI,5,4,1,3,0,13,122,109,0.893,3.03,0,0.5,258,2,1,0,0,0,0,0,0,0,0.0
67,Carey Price,2012,25,MTL,39,38,21,13,4,97,1018,921,0.905,2.59,3,5.4,2249,21,8,0,0,0,0,11,3,8,72.7
68,Jonathan Quick,2012,27,LAK,37,36,18,13,4,87,889,802,0.902,2.45,1,4.4,2134,20,9,0,0,0,2,19,9,10,52.6
69,Tuukka Rask,2012,25,BOS,36,34,19,10,5,70,980,910,0.929,2,5,8,2104,25,4,0,1,1,0,26,7,19,73.1
70,James Reimer,2012,24,TOR,33,31,19,8,5,76,995,919,0.924,2.46,4,7.5,1856,17,2,0,1,1,0,24,9,15,62.5
71,Pekka Rinne,2012,30,NSH,43,42,15,16,8,99,1101,1002,0.91,2.43,5,6.5,2444,22,10,0,1,1,8,32,14,18,56.3
72,Jussi Rynnas,2012,25,TOR,1,0,0,0,0,0,6,6,1,0,0,0.1,10,0,0,0,0,0,0,0,0,0,0.0
73,Cory Schneider,2012,26,VAN,30,30,17,9,4,61,835,774,0.927,2.11,5,6.6,1733,21,4,0,1,1,0,21,7,14,66.7
74,Ben Scrivens,2012,26,TOR,20,17,7,9,0,46,542,496,0.915,2.69,2,3.5,1025,10,3,0,0,0,6,0,0,0,0.0
75,Mike Smith,2012,30,PHX,34,34,15,12,5,84,938,854,0.91,2.58,5,5.6,1956,17,7,0,0,0,0,23,10,13,56.5
76,Alex Stalock,2012,25,SJS,2,0,0,0,1,2,13,11,0.846,2.87,0,0,42,0,0,0,0,0,0,0,0,0,0.0
77,Daniel Taylor,2012,26,CGY,2,2,1,1,0,6,68,62,0.912,3,0,0.4,120,1,0,0,0,0,0,0,0,0,0.0
78,Jose Theodore,2012,36,FLA,15,14,4,6,3,42,391,349,0.893,3.29,0,1.5,766,5,5,0,0,0,2,4,2,2,50.0
79,Semyon Varlamov,2012,24,COL,35,33,11,21,3,98,1007,909,0.903,3.02,3,5.1,1950,12,7,0,1,1,0,6,2,4,66.7
80,Tomas Vokoun,2012,36,PIT,20,17,13,4,0,42,519,477,0.919,2.45,3,3.6,1029,9,5,0,2,2,2,0,0,0,0.0
81,Cam Ward,2012,28,CAR,17,16,9,6,1,44,477,433,0.908,2.84,0,2.7,929,8,3,0,0,0,0,0,0,0,0.0
