,Player,Season,Age,Tm,GP,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
31,Keith Kinkaid,2018,29,NJD,41,38,15,18,6,129,1188,1059,0.891,3.36,3,4.3,2302,15,11,0,0,0,0,8,2,6,75.0
32,Joonas Korpisalo,2018,24,CBJ,27,21,10,7,3,67,651,584,0.897,2.95,0,2.7,1361,8,4,0,0,0,0,5,3,2,40.0
33,Mikko Koskinen,2018,30,EDM,55,51,25,21,6,146,1551,1405,0.906,2.93,4,8,2992,24,8,0,2,2,2,18,6,12,66.7
34,Darcy Kuemper,2018,28,ARI,55,55,27,20,8,126,1676,1550,0.925,2.33,5,12,3251,36,6,0,2,2,14,19,7,12,63.2
35,Robin Lehner,2018,27,NYI,46,43,25,13,5,93,1323,1230,0.93,2.13,6,10.2,2616,26,4,0,1,1,0,11,5,6,54.5
36,Charlie Lindgren,2018,25,MTL,1,1,1,0,0,5,49,44,0.898,4.62,0,0.2,65,0,0,0,0,0,0,4,1,3,75.0
37,Henrik Lundqvist,2018,36,NYR,52,52,18,23,10,158,1699,1541,0.907,3.07,0,9,3089,30,7,0,3,3,0,18,6,12,66.7
38,Roberto Luongo,2018,39,FLA,43,40,18,16,5,122,1205,1083,0.899,3.12,1,5.3,2347,20,7,0,1,1,0,8,7,1,12.5
39,Jacob Markstrom,2018,29,VAN,60,60,28,23,9,166,1896,1730,0.912,2.77,1,11.1,3599,34,7,0,3,3,2,46,9,37,80.4
40,Ryan Miller,2018,38,ANA,20,17,8,7,2,51,578,527,0.912,2.76,1,3.3,1109,10,2,0,0,0,0,3,1,2,66.7
41,Sam Montembeault,2018,22,FLA,11,10,4,3,2,30,282,252,0.894,3.04,0,1.1,591,5,3,0,1,1,0,4,1,3,75.0
42,Petr Mrazek,2018,26,CAR,40,40,23,14,3,95,1104,1009,0.914,2.39,4,6.6,2387,23,4,0,1,1,6,6,0,6,100.0
43,Matt Murray,2018,24,PIT,50,50,29,14,6,129,1594,1465,0.919,2.69,4,10.4,2880,29,10,0,0,0,4,9,2,7,77.8
44,Michal Neuvirth,2018,30,PHI,7,6,1,4,1,26,184,158,0.859,4.27,0,0,366,1,4,0,0,0,0,4,0,4,100.0
45,Antti Niemi,2018,35,MTL,17,17,8,6,2,61,539,478,0.887,3.78,0,1.7,969,4,5,0,1,1,0,7,0,7,100.0
46,Eddie Pasquale,2018,28,TBL,3,3,2,1,0,12,102,90,0.882,3.96,0,0.3,182,1,1,0,0,0,0,3,1,2,66.7
47,Calvin Petersen,2018,24,LAK,11,10,5,4,1,27,355,328,0.924,2.61,1,2.5,622,6,1,0,0,0,0,2,0,2,100.0
48,Calvin Pickard,2018,26,TOT,17,12,4,6,2,48,384,336,0.875,3.86,1,0.7,747,4,4,0,0,0,2,2,1,1,50.0
49,Jonathan Quick,2018,33,LAK,46,46,16,23,7,149,1329,1180,0.888,3.38,2,4.3,2648,19,11,0,2,2,6,19,6,13,68.4
50,Antti Raanta,2018,29,ARI,12,12,5,6,0,33,351,318,0.906,2.88,0,1.8,687,6,1,0,1,1,0,3,0,3,100.0
51,Tuukka Rask,2018,31,BOS,46,45,27,13,5,109,1245,1136,0.912,2.48,4,7.3,2635,24,5,0,2,2,4,10,2,8,80.0
52,James Reimer,2018,30,FLA,36,29,13,12,5,93,929,836,0.9,3.09,0,4.2,1805,10,6,0,0,0,0,11,5,6,54.5
53,Pekka Rinne,2018,36,NSH,56,55,30,19,4,130,1581,1451,0.918,2.42,4,10.1,3220,30,7,0,0,0,4,14,4,10,71.4
54,David Rittich,2018,26,CGY,45,42,27,9,5,109,1228,1119,0.911,2.61,1,7,2503,26,8,0,0,0,4,10,3,7,70.0
55,Juuse Saros,2018,23,NSH,31,27,17,10,2,74,870,796,0.915,2.62,3,5.3,1696,14,6,0,0,0,0,10,2,8,80.0
56,Cory Schneider,2018,32,NJD,26,23,6,13,4,70,718,648,0.903,3.06,1,3.4,1372,10,5,0,0,0,0,9,5,4,44.4
57,Mike Smith,2018,36,CGY,42,40,23,16,2,109,1069,960,0.898,2.72,2,4.6,2400,20,9,0,3,3,2,7,4,3,42.9
58,Alex Stalock,2018,31,MIN,21,16,6,8,3,53,525,472,0.899,2.99,0,2.3,1065,9,1,0,2,2,4,7,2,5,71.4
59,Anthony Stolarz,2018,25,TOT,18,12,4,5,3,50,503,453,0.901,3.45,1,2.3,869,5,2,0,0,0,0,6,3,3,50.0
60,Malcolm Subban,2018,25,VEG,21,20,8,10,2,60,612,552,0.902,2.93,1,2.9,1227,8,3,0,0,0,4,3,0,3,100.0
61,Cam Talbot,2018,31,TOT,35,32,11,17,3,108,997,889,0.892,3.4,1,3.6,1906,9,10,0,1,1,0,5,1,4,80.0
62,Linus Ullmark,2018,25,BUF,37,34,15,14,5,109,1146,1037,0.905,3.11,2,5.8,2102,18,6,0,1,1,0,10,1,9,90.0
63,Semyon Varlamov,2018,30,COL,49,49,20,19,9,136,1496,1360,0.909,2.87,2,8.2,2839,25,9,0,0,0,2,9,3,6,66.7
64,Andrei Vasilevskiy,2018,24,TBL,53,53,39,10,4,128,1713,1585,0.925,2.4,6,12.4,3204,34,7,0,3,3,6,14,3,11,78.6
65,Cam Ward,2018,34,CHI,33,29,16,12,4,115,1113,998,0.897,3.67,0,4.6,1882,15,5,0,1,1,4,5,0,5,100.0
