,Player,Season,Age,Tm,GP,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
0,Jake Allen,2018,28,STL,46,45,19,17,8,121,1277,1156,0.905,2.83,3,6.5,2568,25,11,0,0,0,0,8,5,3,37.5
1,Frederik Andersen,2018,29,TOR,60,60,36,16,7,162,1958,1796,0.917,2.77,1,12.5,3510,38,7,0,1,1,2,9,3,6,66.7
2,Craig Anderson,2018,37,OTT,50,47,17,27,4,163,1676,1513,0.903,3.51,2,8.1,2785,19,8,0,2,2,0,2,2,0,0.0
3,Jonathan Bernier,2018,30,DET,35,30,9,18,5,98,1025,927,0.904,3.16,1,5.1,1860,13,5,0,0,0,0,6,1,5,83.3
4,Jordan Binnington,2018,25,STL,32,30,24,5,1,59,807,748,0.927,1.89,5,6,1876,20,1,0,0,0,0,11,1,10,90.9
5,Mackenzie Blackwood,2018,22,NJD,23,21,10,10,0,55,669,614,0.918,2.61,2,4.3,1264,14,4,0,0,0,0,13,2,11,84.6
6,Sergei Bobrovsky,2018,30,CBJ,62,61,37,24,1,153,1756,1603,0.913,2.58,9,10.4,3557,31,13,0,0,0,2,5,0,5,100.0
7,Laurent Brossoit,2018,25,WPG,21,19,13,6,2,49,652,603,0.925,2.52,1,4.7,1165,12,2,0,0,0,0,7,3,4,57.1
8,Jack Campbell,2018,27,LAK,31,25,10,14,1,61,845,784,0.928,2.3,2,6.3,1593,16,3,0,1,1,0,4,3,1,25.0
9,Pheonix Copley,2018,27,WSH,27,24,16,7,3,74,776,702,0.905,2.9,1,3.9,1529,14,4,0,1,1,0,12,5,7,58.3
10,Corey Crawford,2018,34,CHI,39,39,14,18,5,108,1176,1068,0.908,2.93,2,6.3,2213,17,5,0,4,4,0,4,3,1,25.0
11,Scott Darling,2018,30,CAR,8,8,2,4,2,27,233,206,0.884,3.34,0,0.7,486,2,3,0,0,0,0,8,3,5,62.5
12,Aaron Dell,2018,29,SJS,25,20,10,8,4,70,613,543,0.886,3.17,2,1.9,1323,6,6,0,0,0,0,5,2,3,60.0
13,Thatcher Demko,2018,23,VAN,9,8,4,3,1,25,288,263,0.913,2.81,0,1.7,534,6,2,0,1,1,0,6,2,4,66.7
14,Casey DeSmith,2018,27,PIT,36,30,15,11,5,89,1060,971,0.916,2.75,3,6.6,1944,18,2,0,0,0,2,7,3,4,57.1
15,Louis Domingue,2018,26,TBL,26,26,21,5,0,75,812,737,0.908,2.88,0,4.3,1561,14,2,0,1,1,4,7,1,6,85.7
16,Devan Dubnyk,2018,32,MIN,67,66,31,28,6,163,1877,1714,0.913,2.54,2,11.1,3855,38,13,0,2,2,2,10,3,7,70.0
17,Marc-Andre Fleury,2018,34,VEG,61,61,35,21,5,152,1745,1593,0.913,2.51,8,10.3,3635,34,7,0,2,2,4,16,3,13,81.3
18,Alexandar Georgiev,2018,22,NYR,33,30,14,13,4,91,1057,966,0.914,2.91,2,6.3,1874,15,3,0,2,2,2,20,7,13,65.0
19,John Gibson,2018,25,ANA,58,57,26,22,8,153,1838,1685,0.917,2.84,2,11.6,3233,34,8,0,0,0,2,13,4,9,69.2
20,Thomas Greiss,2018,33,NYI,43,39,23,14,2,87,1185,1098,0.927,2.28,5,8.7,2294,25,7,0,1,1,4,23,2,21,91.3
21,Philipp Grubauer,2018,27,COL,37,33,18,9,5,89,1071,982,0.917,2.64,3,6.8,2021,20,5,0,0,0,0,6,1,5,83.3
22,Jaroslav Halak,2018,33,BOS,40,37,22,11,4,90,1158,1068,0.922,2.34,5,8,2308,22,4,0,4,4,0,15,4,11,73.3
23,Carter Hart,2018,20,PHI,31,30,16,13,1,81,976,895,0.917,2.83,0,6.2,1717,14,4,0,0,0,0,5,0,5,100.0
24,Connor Hellebuyck,2018,25,WPG,63,62,34,23,3,179,2051,1872,0.913,2.9,2,12.1,3704,28,6,0,3,3,4,6,1,5,83.3
25,Braden Holtby,2018,29,WSH,59,58,32,19,5,160,1795,1635,0.911,2.82,3,10.2,3407,33,9,0,2,2,2,10,3,7,70.0
26,Jimmy Howard,2018,34,DET,55,52,23,22,5,156,1709,1553,0.909,3.07,0,9.3,3053,30,6,0,1,1,2,21,6,15,71.4
27,Michael Hutchinson,2018,28,TOT,9,8,3,4,2,27,239,212,0.887,3.27,1,0.8,496,2,2,0,0,0,0,7,4,3,42.9
28,Carter Hutton,2018,33,BUF,50,48,18,25,5,142,1541,1399,0.908,3,0,8.3,2840,25,5,0,1,1,2,23,11,12,52.2
29,Martin Jones,2018,29,SJS,62,62,36,19,5,176,1699,1523,0.896,2.94,3,7,3597,27,14,0,1,1,2,3,1,2,66.7
30,Anton Khudobin,2018,32,DAL,41,37,16,17,5,95,1232,1137,0.923,2.57,2,8.6,2220,23,3,0,0,0,2,17,3,14,82.4
