,Player,Season,Age,Tm,Pos,GP,G,A,PTS,PlusMinus,PIM,PS,EV_A,PP_A,SH_A,GW,EV_A,PP_A,SH_A,S,S_Pct,TOI,ATOI,BLK,HIT,FOW,FOL,FO_Pct,CF,CA,CF_Pct,CF_Pct_rel,FF,FA,FF_Pct,FF_Pct_rel,oiSH_Pct,oiSV_Pct,PDO,oZS_Pct,dZS_Pct,TOI/60,TOI(EV),TK,GV,SAtt.,Thru_Pct,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
0,Justin Abdelkader,2008,21,DET,LW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,19,09:18:00,0,3,4,3,57.1,22,9,71.0,14.6,16,8,66.7,16.7,0.0,100.0,100.0,66.7,33.3,09:18:00,09:18:00,0,1,7,28.6,0,0,0,0.0
1,Craig Adams,2008,31,TOT,RW,45,2,5,7,-3,22,0.1,1,1,0,0,5,0,0,47,4.3,391,08:41:00,20,67,8,13,38.1,306,274,52.8,-3.2,238,198,54.6,-1.4,3.8,93.1,96.9,56.5,43.5,08:41:00,07:43:00,7,3,81,58.0,0,0,0,0.0
2,Maxim Afinogenov,2008,29,BUF,RW,48,6,14,20,-7,20,1.4,6,0,0,0,7,7,0,93,6.5,605,12:36:00,11,20,0,3,0.0,501,454,52.5,2.4,363,340,51.6,1.1,7.0,90.0,97.0,52.3,47.7,12:36:00,10:08:00,15,36,172,54.1,0,0,0,0.0
3,Andrew Alberts,2008,27,PHI,D,79,1,12,13,6,61,2.7,1,0,0,0,11,0,1,46,2.2,1248,15:48:00,133,157,0,0,0.0,921,998,48.0,-1.8,697,723,49.1,-2.0,9.3,91.5,100.7,49.8,50.2,15:47:00,13:09:00,27,59,122,37.7,0,0,0,0.0
4,Daniel Alfredsson,2008,36,OTT,RW,79,24,50,74,7,24,8.1,15,8,1,3,27,20,3,204,11.8,1649,20:53:00,33,57,4,13,23.5,1122,1000,52.9,3.3,835,745,52.8,2.4,9.8,90.1,99.9,52.5,47.5,20:47:00,14:17:00,72,56,350,58.3,9,5,4,55.6
5,Bryan Allen,2008,28,FLA,D,2,0,1,1,2,0,0.3,0,0,0,0,1,0,0,5,0.0,54,1900-01-01 03:11:00,7,5,0,0,0.0,44,33,57.1,2.6,34,23,59.6,6.5,11.5,94.1,105.7,38.1,61.9,1900-01-01 03:11:00,21:36:00,0,0,7,71.4,0,0,0,0.0
6,Karl Alzner,2008,20,WSH,D,30,1,4,5,-1,2,0.9,1,0,0,0,4,0,0,31,3.2,583,19:25:00,54,23,0,0,0.0,515,407,55.9,1.4,372,283,56.8,1.9,8.0,89.0,97.0,52.1,47.9,19:25:00,15:55:00,10,36,65,47.7,0,0,0,0.0
7,Artem Anisimov,2008,20,NYR,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,9,09:27:00,0,0,2,3,40.0,4,4,50.0,-20.9,4,4,50.0,-16.7,0.0,100.0,100.0,66.7,33.3,09:27:00,09:27:00,1,0,1,100.0,0,0,0,0.0
8,Nik Antropov,2008,28,TOT,RW,81,28,31,59,-14,30,5.9,20,8,0,4,21,9,1,224,12.5,1392,17:11:00,37,112,80,117,40.6,1120,979,53.4,1.1,833,723,53.5,0.8,9.4,87.5,96.8,56.0,44.0,16:56:00,13:01:00,34,40,374,59.4,3,1,2,33.3
9,Colby Armstrong,2008,26,ATL,RW,82,22,18,40,5,75,4.3,19,3,0,2,17,1,0,141,15.6,1243,15:09:00,23,88,8,20,28.6,916,903,50.4,2.5,677,682,49.8,1.2,9.5,92.5,102.0,39.7,60.3,15:09:00,12:31:00,34,21,212,66.5,1,0,1,0.0
10,Derek Armstrong,2008,35,LAK,C,56,5,4,9,-11,63,0.4,4,1,0,1,4,0,0,42,11.9,475,08:29:00,11,85,115,125,47.9,386,384,50.1,-1.0,284,294,49.1,-2.3,5.3,90.2,95.6,58.5,41.5,08:29:00,08:21:00,7,9,65,64.6,0,0,0,0.0
11,Riley Armstrong,2008,24,SJS,RW,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,1,0.0,15,07:26:00,1,1,0,0,0.0,7,10,41.2,-21.0,3,7,30.0,-31.4,0.0,85.7,85.7,66.7,33.3,07:26:00,06:57:00,0,1,2,50.0,0,0,0,0.0
12,Tyler Arnason,2008,29,COL,C,71,5,17,22,-16,14,0.8,3,2,0,1,16,1,0,108,4.6,945,13:19:00,15,6,332,389,46.0,758,826,47.9,-1.0,568,591,49.0,-0.5,7.1,89.7,96.9,53.0,47.0,13:18:00,12:18:00,58,40,192,56.3,0,0,0,0.0
13,Jason Arnott,2008,34,NSH,C,65,33,24,57,2,49,7.5,24,9,0,5,16,8,0,196,16.8,1229,18:55:00,18,34,525,512,50.6,901,923,49.4,0.3,693,722,49.0,-1.1,11.9,89.7,101.6,52.3,47.7,18:55:00,14:23:00,51,29,328,59.8,1,1,0,100.0
14,Evgeny Artyukhin,2008,25,TBL,RW,73,6,10,16,1,151,0.9,5,1,0,0,9,1,0,100,6.0,779,10:40:00,16,249,0,2,0.0,576,689,45.5,-3.6,445,532,45.5,-3.1,8.3,93.7,102.0,50.9,49.1,10:40:00,10:07:00,18,27,159,62.9,3,1,2,33.3
15,Arron Asham,2008,30,PHI,RW,78,8,12,20,0,155,1.7,8,0,0,1,12,0,0,74,10.8,682,08:45:00,10,143,7,8,46.7,553,594,48.2,-1.1,430,440,49.4,-1.0,9.5,90.9,100.3,53.6,46.4,08:45:00,08:31:00,12,11,110,67.3,0,0,0,0.0
16,Adrian Aucoin,2008,35,CGY,D,81,10,24,34,-8,46,5.4,7,3,0,3,14,9,1,126,7.9,1806,22:18:00,55,61,0,0,0.0,1196,925,56.4,-0.1,907,758,54.5,0.3,8.3,90.4,98.8,52.3,47.7,22:01:00,14:55:00,28,29,293,43.0,0,0,0,0.0
17,Keith Aucoin,2008,30,WSH,C,12,2,4,6,5,4,0.8,1,1,0,0,4,0,0,15,13.3,124,10:19:00,2,4,33,50,39.8,132,91,59.2,5.2,92,70,56.8,0.4,10.4,95.9,106.4,61.3,38.7,10:19:00,09:40:00,7,3,22,68.2,0,0,0,0.0
18,Sean Avery,2008,28,TOT,LW,41,8,14,22,6,111,2.3,6,2,0,0,11,3,0,99,8.1,646,15:45:00,7,89,9,9,50.0,570,481,54.2,4.2,419,361,53.7,2.6,9.0,91.5,100.5,58.9,41.1,15:45:00,13:22:00,13,16,182,54.4,0,0,0,0.0
19,P.J. Axelsson,2008,33,BOS,LW,75,6,24,30,-1,16,1.4,4,2,0,0,15,9,0,87,6.9,1217,16:14:00,31,55,16,30,34.8,720,793,47.6,-3.0,544,609,47.2,-3.3,8.1,93.3,101.5,46.0,54.0,0.6666666666666666,11:46:00,41,20,161,53.4,5,2,3,40.0
20,Anton Babchuk,2008,24,CAR,D,72,16,19,35,13,16,7.9,7,9,0,4,13,6,0,127,12.6,1301,18:04:00,115,22,0,0,0.0,1080,943,53.4,0.8,806,670,54.6,2.5,7.8,92.7,100.5,55.7,44.3,18:04:00,14:12:00,22,20,278,45.7,0,0,0,0.0
21,David Backes,2008,24,STL,RW,82,31,23,54,-3,165,6.6,23,6,2,1,17,5,1,208,14.9,1451,17:41:00,52,204,212,265,44.4,934,920,50.4,1.6,739,668,52.5,2.7,9.6,88.3,97.9,45.0,55.0,17:41:00,13:00:00,45,20,325,64.0,1,0,1,0.0
22,Mikael Backlund,2008,19,CGY,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,11,10:44:00,0,0,2,5,28.6,10,5,66.7,10.8,8,5,61.5,4.6,0.0,100.0,100.0,60.0,40.0,10:44:00,08:35:00,1,0,3,33.3,0,0,0,0.0
23,Christian Backman,2008,28,CBJ,D,56,2,5,7,5,32,2.2,1,1,0,1,4,1,0,54,3.7,877,15:39:00,53,40,0,1,0.0,685,514,57.1,6.2,512,391,56.7,4.8,7.1,93.1,100.1,62.3,37.7,15:38:00,12:48:00,11,13,136,39.7,0,0,0,0.0
24,Nicklas Backstrom,2008,21,WSH,C,82,22,66,88,16,46,9.2,8,14,0,1,38,28,0,174,12.6,1635,19:57:00,46,52,570,601,48.7,1474,1132,56.6,2.4,1050,846,55.4,0.4,9.9,91.8,101.7,60.0,40.0,19:57:00,15:09:00,77,62,312,55.8,3,1,2,33.3
25,Josh Bailey,2008,19,NYI,C,68,7,18,25,-14,16,1.0,4,3,0,0,10,8,0,74,9.5,1053,15:29:00,43,47,332,475,41.1,717,874,45.1,-5.1,506,621,44.9,-5.1,8.4,91.0,99.4,52.6,47.4,15:29:00,12:15:00,36,42,131,56.5,2,0,2,0.0
26,Keith Ballard,2008,26,FLA,D,82,6,28,34,14,72,6.9,5,1,0,1,23,4,1,106,5.7,1835,22:23:00,136,172,0,1,0.0,1305,1369,48.8,0.9,980,1057,48.1,1.5,9.7,93.0,102.7,47.7,52.3,22:23:00,17:34:00,25,71,235,45.1,0,0,0,0.0
