Season,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2011,Craig Anderson,30,OTT,63,60,33,22,6,165,1917,1752,0.914,2.83,3,11.7,3492,34,9,0,4,4,4,25,7,18,72.0
2011,Alex Auld,31,OTT,14,8,2,4,2,36,310,274,0.884,3.35,0,0.8,645,2,2,0,0,0,0,4,3,1,25.0
2011,Richard Bachman,24,DAL,18,15,8,5,1,43,477,434,0.91,2.77,1,2.7,933,9,2,0,1,1,0,3,1,2,66.7
2011,Niklas Backstrom,33,MIN,46,45,19,18,7,105,1299,1194,0.919,2.43,4,8.8,2590,24,8,0,2,2,2,32,15,17,53.1
2011,Jonathan Bernier,23,LAK,16,13,5,6,2,35,383,348,0.909,2.36,1,2.1,890,6,1,0,0,0,0,2,2,0,0.0
2011,Martin Biron,34,NYR,21,20,12,6,2,50,519,469,0.904,2.46,2,2.5,1220,7,4,0,3,3,0,7,3,4,57.1
2011,Ben Bishop,25,OTT,10,9,3,3,2,22,243,221,0.909,2.48,0,1.4,532,5,1,0,0,0,2,6,3,3,50.0
2011,Sergei Bobrovsky,23,PHI,29,25,14,10,2,78,769,691,0.899,3.02,0,3.3,1550,11,5,0,0,0,0,8,4,4,50.0
2011,Brian Boucher,35,CAR,10,8,1,6,1,31,260,229,0.881,3.4,0,0.6,546,2,2,0,0,0,0,0,0,0,0.0
2011,Martin Brodeur*,39,NJD,59,59,31,21,4,136,1472,1336,0.908,2.41,3,7.9,3392,29,11,0,4,4,2,0,0,0,0.0
2011,Ilya Bryzgalov,31,PHI,59,57,33,16,7,141,1554,1413,0.909,2.48,6,8.6,3415,32,14,0,2,2,4,25,13,12,48.0
2011,Peter Budaj,29,MTL,17,17,5,7,5,44,508,464,0.913,2.55,0,3.1,1037,8,0,0,3,3,2,15,7,8,53.3
2011,Sebastien Caron,31,TBL,3,2,1,1,0,7,57,50,0.877,3.12,0,0.1,135,1,1,0,0,0,0,0,0,0,0.0
2011,Scott Clemmensen,34,FLA,30,25,14,6,6,67,773,706,0.913,2.57,1,4.7,1566,16,5,0,1,1,0,20,7,13,65.0
2011,Ty Conklin,35,DET,15,13,5,6,1,44,378,334,0.884,3.28,1,0.9,805,5,4,0,1,1,0,3,0,3,100.0
2011,Corey Crawford,27,CHI,57,55,30,17,7,146,1507,1361,0.903,2.72,0,7.3,3218,27,13,0,0,0,0,32,6,26,81.3
2011,Yann Danis,30,EDM,1,0,0,0,0,2,12,10,0.833,3.7,0,0,32,0,0,0,0,0,0,0,0,0,0.0
2011,Jeff Deslauriers,27,ANA,4,4,3,1,0,11,113,102,0.903,2.74,0,0.5,241,2,0,0,0,0,0,0,0,0,0.0
2011,Rick DiPietro,30,NYI,8,6,3,2,3,22,177,155,0.876,3.73,0,0.3,354,1,2,0,2,2,0,3,1,2,66.7
2011,Devan Dubnyk,25,EDM,47,42,20,20,3,118,1380,1262,0.914,2.67,2,8.5,2653,23,6,0,1,1,0,27,7,20,74.1
2011,Brian Elliott,26,STL,38,36,23,10,4,58,972,914,0.94,1.56,9,9,2235,28,1,0,0,0,0,14,5,9,64.3
2011,Dan Ellis,31,ANA,10,5,1,5,0,19,214,195,0.911,2.72,0,1.2,419,1,1,0,1,1,0,0,0,0,0.0
2011,Ray Emery,29,CHI,34,27,15,9,4,83,834,751,0.9,2.81,0,3.8,1774,12,5,0,1,1,2,13,5,8,61.5
2011,Jhonas Enroth,23,BUF,26,22,8,11,4,63,756,693,0.917,2.7,1,4.9,1399,15,4,0,0,0,2,22,8,14,63.6
2011,Marc-Andre Fleury,27,PIT,67,64,42,17,4,153,1768,1615,0.913,2.36,3,10.7,3896,36,7,0,2,2,4,39,9,30,76.9
2011,Brian Foster,24,FLA,1,0,0,0,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0.0
2011,Mathieu Garon,34,TBL,48,44,23,16,4,118,1191,1073,0.901,2.85,1,5.4,2484,20,7,0,2,2,0,6,1,5,83.3
2011,Jean-Sebastien Giguere,34,COL,32,30,15,11,3,69,850,781,0.919,2.28,2,5.7,1820,19,4,0,0,0,2,7,5,2,28.6
2011,Thomas Greiss,26,SJS,19,14,9,7,1,40,472,432,0.915,2.3,0,3,1043,7,2,0,0,0,2,7,2,5,71.4
2011,Jonas Gustavsson,27,TOR,42,36,17,17,4,112,1147,1035,0.902,2.92,4,5.4,2301,14,2,0,1,1,4,11,4,7,63.6
2011,Matt Hackett,21,MIN,12,7,3,6,0,22,282,260,0.922,2.38,0,2,556,3,2,0,0,0,0,5,2,3,60.0
2011,Jaroslav Halak,26,STL,46,46,26,12,7,90,1211,1121,0.926,1.97,6,9.1,2747,29,5,0,0,0,0,32,9,23,71.9
2011,Josh Harding,27,MIN,34,30,13,12,4,81,981,900,0.917,2.62,2,6.4,1855,18,4,0,0,0,0,23,5,18,78.3
2011,Johan Hedberg,38,NJD,27,23,17,7,2,59,718,659,0.918,2.22,4,4.7,1591,12,1,0,0,0,2,20,7,13,65.0
2011,Jonas Hiller,29,ANA,73,72,29,30,12,182,2021,1839,0.91,2.57,4,11.4,4253,39,14,0,1,1,0,40,17,23,57.5
2011,Braden Holtby,22,WSH,7,6,4,2,1,15,192,177,0.922,2.5,1,1.4,361,3,1,0,0,0,0,4,2,2,50.0
2011,Jimmy Howard,27,DET,57,57,35,17,4,119,1496,1377,0.92,2.12,6,10.3,3360,35,8,0,1,1,6,27,5,22,81.5
2011,Shawn Hunwick,24,CBJ,1,0,0,0,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
2011,Leland Irving,23,CGY,7,7,1,3,3,21,239,218,0.912,3.19,0,1.4,394,5,1,0,0,0,0,4,2,2,50.0
2011,Brent Johnson,34,PIT,16,14,6,7,2,42,359,317,0.883,3.11,0,0.9,811,4,5,0,1,1,0,3,2,1,33.3
2011,Henrik Karlsson,28,CGY,9,7,1,4,2,24,239,215,0.9,3.17,0,1.1,454,2,1,0,0,0,0,0,0,0,0.0
2011,Nikolai Khabibulin,39,EDM,40,40,12,20,7,100,1114,1014,0.91,2.65,2,6.3,2261,20,6,0,0,0,0,20,12,8,40.0
2011,Anton Khudobin,25,BOS,1,1,1,0,0,1,45,44,0.978,1,0,0.6,60,1,0,0,0,0,0,0,0,0,0.0
2011,Miikka Kiprusoff,35,CGY,70,68,35,22,11,162,2040,1878,0.921,2.35,4,14.1,4128,40,6,0,0,0,0,40,15,25,62.5
2011,Jason LaBarbera,32,PHX,19,14,3,9,3,43,486,443,0.912,2.54,0,2.8,1015,8,1,0,0,0,2,11,7,4,36.4
2011,Robin Lehner,20,OTT,5,5,3,2,0,10,154,144,0.935,2.01,1,1.3,299,4,0,0,0,0,0,0,0,0,0.0
2011,Kari Lehtonen,28,DAL,59,59,32,22,4,136,1739,1603,0.922,2.33,4,12.3,3497,36,7,0,3,3,0,39,9,30,76.9
2011,Anders Lindback,23,NSH,16,10,5,8,0,32,364,332,0.912,2.42,0,2.1,792,5,2,0,1,1,0,3,0,3,100.0
2011,Henrik Lundqvist,29,NYR,62,62,39,18,5,123,1753,1630,0.93,1.97,8,14.1,3754,40,3,0,2,2,4,25,7,18,72.0
2011,Roberto Luongo,32,VAN,55,54,31,14,8,127,1577,1450,0.919,2.41,5,10.7,3162,32,7,0,1,1,4,42,17,25,59.5
2011,Joey MacDonald,31,DET,14,12,8,5,1,29,330,301,0.912,2.16,0,1.9,806,5,1,0,0,0,0,9,3,6,66.7
2011,Drew MacIntyre,28,BUF,2,0,0,0,0,1,18,17,0.944,1.38,0,0.2,43,0,0,0,0,0,0,0,0,0,0.0
2011,Peter Mannino,27,WPG,1,0,0,0,0,0,4,4,1,0,0,0.1,20,0,0,0,0,0,0,0,0,0,0.0
2011,Jacob Markstrom,22,FLA,7,6,2,4,1,17,222,205,0.923,2.66,0,1.6,383,3,0,0,0,0,0,3,1,2,66.7
2011,Chris Mason,35,WPG,20,15,8,7,1,43,422,379,0.898,2.59,2,1.8,995,6,3,0,0,0,0,8,3,5,62.5
2011,Steve Mason,23,CBJ,46,45,16,26,3,143,1355,1212,0.894,3.39,1,5.1,2534,19,15,0,2,2,2,10,4,6,60.0
2011,Curtis McElhinney,28,PHX,2,1,1,0,0,2,36,34,0.944,1.67,0,0.4,72,1,0,0,0,0,0,0,0,0,0.0
2011,Ryan Miller,31,BUF,61,60,31,21,7,150,1788,1638,0.916,2.54,6,11.4,3536,33,7,0,0,0,0,34,11,23,67.6
2011,Al Montoya,26,NYI,31,26,9,11,5,89,832,743,0.893,3.11,0,3,1720,13,8,0,0,0,2,13,5,8,61.5
2011,Mike Murphy,23,CAR,2,0,0,1,0,0,9,9,1,0,0,0.1,36,0,0,0,0,0,0,0,0,0,0.0
2011,Evgeni Nabokov,36,NYI,42,41,19,18,3,101,1172,1071,0.914,2.55,2,7.2,2378,23,8,0,0,0,6,18,4,14,77.8
2011,Michal Neuvirth,23,WSH,38,30,13,13,5,95,976,881,0.903,2.82,3,4.7,2020,15,4,0,1,1,2,17,7,10,58.8
