Season,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2020,Jordan Binnington,27,STL,42,41,18,14,8,108,1200,1092,0.91,2.65,0,7.3,2448,21,5,0,1,1,2,15,6,9,60.0
2020,Mackenzie Blackwood,24,NJD,35,35,14,17,4,106,1081,975,0.902,3.04,1,5.7,2091,18,10,0,0,0,0,11,6,5,45.5
2020,Sergei Bobrovsky,32,FLA,31,30,19,8,2,88,935,847,0.906,2.91,0,5.3,1816,16,4,0,0,0,0,10,4,6,60.0
2020,Jack Campbell,29,TOR,22,22,17,3,2,46,585,539,0.921,2.15,2,4.3,1284,13,2,0,0,0,0,3,0,3,100.0
2020,Thatcher Demko,25,VAN,35,35,16,18,1,99,1164,1065,0.915,2.85,1,7.8,2087,19,3,0,0,0,0,7,0,7,100.0
2020,Casey DeSmith,29,PIT,20,17,11,7,0,48,543,495,0.912,2.54,2,3.4,1132,9,2,0,1,1,0,7,0,7,100.0
2020,Chris Driedger,26,FLA,23,23,14,6,3,47,640,593,0.927,2.07,3,5.1,1362,15,3,0,2,2,0,4,1,3,75.0
2020,Devan Dubnyk,34,TOT,22,18,6,11,2,63,602,539,0.895,3.2,1,2.7,1183,8,4,0,0,0,2,3,2,1,33.3
2020,Devan Dubnyk,34,SJS,17,13,3,9,2,47,462,415,0.898,3.18,1,2.2,888,6,3,0,0,0,2,3,2,1,33.3
2020,Devan Dubnyk,34,COL,5,5,3,2,0,16,140,124,0.886,3.26,0,0.5,295,2,1,0,0,0,0,3,2,1,33.3
2020,Brian Elliott,35,PHI,30,26,15,9,2,82,738,656,0.889,3.06,2,2.8,1608,12,8,0,1,1,0,8,2,6,75.0
2020,Alexandar Georgiev,24,NYR,19,18,8,7,2,44,465,421,0.905,2.71,2,2.6,974,9,3,0,1,1,0,3,1,2,66.7
2020,John Gibson,27,ANA,35,35,9,19,7,101,1042,941,0.903,2.98,3,5.6,2031,15,7,0,0,0,2,3,2,1,33.3
2020,Thomas Greiss,35,DET,34,29,8,15,8,79,894,815,0.912,2.7,2,5.6,1755,17,4,0,0,0,2,25,10,15,60.0
2020,Filip Gustavsson,22,OTT,9,7,5,1,2,17,254,237,0.933,2.16,0,2.2,472,6,0,0,0,0,0,4,1,3,75.0
2020,Jaroslav Halak,35,BOS,19,17,9,6,4,46,482,436,0.905,2.53,2,2.7,1090,9,3,0,0,0,0,5,2,3,60.0
