Player,Season,Age_x,Tm,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
Aleksander Barkov,2013,18,FLA,C,54,8,16,24,-3,10,1.9,5,3,0,1,13,3,0,87,9.2,923,17:06:00,27,16,400,419,48.8,735,683,51.8,1.7,563,529,51.6,0.5,8.5,90.5,98.9,52.3,47.7,17:04:00,14:07:00,30,17,134,64.9,10,2,8,20.0
Tyson Barrie,2013,22,COL,D,64,13,25,38,17,20,7.6,9,4,0,5,19,6,0,101,12.9,1187,18:33:00,57,50,0,0,,985,949,50.9,3.9,729,718,50.4,2.9,10.9,92.2,103.1,56.4,43.6,18:33:00,15:35:00,26,27,207,48.8,2,1,1,50.0
Matt Bartkowski,2013,25,BOS,D,64,0,18,18,22,30,4.3,0,0,0,0,18,0,0,91,0,1250,19:32:00,56,155,0,0,,1093,975,52.9,-3,813,766,51.5,-3.4,9.2,93.8,103,53.5,46.5,19:32:00,17:37:00,11,28,208,43.8,0,0,0,0.0
Victor Bartley,2013,25,NSH,D,50,1,5,6,0,23,1.5,1,0,0,0,5,0,0,21,4.8,768,15:22:00,79,81,0,0,,524,646,44.8,-4.2,395,492,44.5,-5.8,8.2,93,101.1,46.3,53.7,15:22:00,13:47:00,14,7,50,42,0,0,0,0.0
Cody Bass,2013,27,CBJ,C,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,3,02:43:00,0,0,0,0,,1,3,25,-53.7,0,3,0,-76,,100,,50,50,02:43:00,02:43:00,0,0,0,,0,0,0,0.0
Jay Beagle,2013,28,WSH,C,62,4,5,9,-9,28,-0.1,4,0,0,0,5,0,0,60,6.7,697,11:15:00,32,93,296,277,51.7,483,599,44.6,-3.6,367,428,46.2,-1.2,4.5,93.4,97.9,48.3,51.7,11:15:00,10:15:00,18,7,105,57.1,1,0,1,0.0
Francois Beauchemin,2013,33,ANA,D,70,4,13,17,26,39,4.7,3,1,0,1,11,1,1,100,4,1617,23:06:00,171,112,0,0,,1238,1254,49.7,-2,948,926,50.6,-0.5,11.6,90.6,102.2,49.6,50.4,23:06:00,0.75,17,51,225,44.4,0,0,0,0.0
Nathan Beaulieu,2013,21,MTL,D,17,0,2,2,6,8,1,0,0,0,0,2,0,0,15,0,225,13:14:00,20,7,0,0,,188,219,46.2,0.1,135,150,47.4,2.3,9.7,97.4,107.1,50.7,49.3,13:14:00,12:04:00,1,13,43,34.9,0,0,0,0.0
Taylor Beck,2013,22,NSH,RW,7,0,0,0,-2,6,-0.2,0,0,0,0,0,0,0,9,0,90,12:50:00,5,4,0,0,,67,54,55.4,5.4,52,32,61.9,11.9,0,91.3,91.3,69.6,30.4,12:50:00,11:52:00,0,2,15,60,1,0,1,0.0
Matt Beleskey,2013,25,ANA,LW,55,9,15,24,8,64,2.7,9,0,0,2,10,4,1,112,8,684,12:26:00,24,132,8,10,44.4,568,583,49.3,-2,420,439,48.9,-2.9,8.8,93.6,102.4,52.8,47.2,12:26:00,10:37:00,14,13,208,53.8,1,0,1,0.0
Brett Bellemore,2013,25,CAR,D,64,2,6,8,-1,45,2.2,2,0,0,0,6,0,0,54,3.7,1118,17:28:00,98,169,0,0,,880,960,47.8,-3.5,664,702,48.6,-0.8,5.3,93.6,98.9,43.5,56.5,17:28:00,15:23:00,21,39,106,50.9,0,0,0,0.0
Anton Belov,2013,27,EDM,D,57,1,6,7,-12,34,0.9,1,0,0,0,4,2,0,54,1.9,951,16:41:00,75,103,0,0,,723,812,47.1,2.2,543,596,47.7,3.6,7.7,90.2,97.9,48.4,51.6,16:41:00,14:53:00,7,46,132,40.9,0,0,0,0.0
Jamie Benn,2013,24,DAL,C,81,34,45,79,21,64,10.9,28,5,1,3,29,14,2,279,12.2,1551,19:09:00,59,116,402,359,52.8,1266,1162,52.1,1.5,970,865,52.9,2.2,11.3,91.3,102.5,56,44,18:55:00,14:35:00,69,67,510,54.3,11,2,9,18.2
Jordie Benn,2013,26,DAL,D,78,3,17,20,16,30,4.9,2,1,0,0,15,1,1,91,3.3,1494,19:09:00,121,117,1,0,100,1238,1223,50.3,-1.7,918,887,50.9,-1.4,8,93.6,101.6,48.8,51.2,18:55:00,16:39:00,25,38,212,42.5,3,1,2,33.3
Beau Bennett,2013,22,PIT,RW,21,3,4,7,-2,0,0.6,3,0,0,1,4,0,0,27,11.1,291,13:51:00,7,32,2,0,100,252,193,56.6,7.8,181,153,54.2,3.7,6.9,89.5,96.3,59.9,40.1,13:51:00,12:33:00,2,4,52,51.9,2,1,1,50.0
Andre Benoit,2013,30,COL,D,79,7,21,28,2,26,4.7,6,1,0,2,13,7,1,113,6.2,1597,20:13:00,119,58,0,0,,1126,1263,47.1,-2.4,824,954,46.3,-3.7,8.9,92.2,101.1,48.1,51.9,20:12:00,15:56:00,20,32,235,48.1,0,0,0,0.0
Sean Bergenheim,2013,29,FLA,LW,62,16,13,29,-16,40,2.7,13,3,0,3,12,1,0,190,8.4,1023,16:30:00,18,111,2,2,50,874,714,55,2.5,699,565,55.3,3,6.9,87.8,94.7,50.4,49.6,16:30:00,13:45:00,27,16,309,61.2,0,0,0,0.0
Patrice Bergeron,2013,28,BOS,C,80,30,32,62,38,43,9.2,22,7,1,7,25,4,3,243,12.3,1439,17:59:00,57,52,1015,717,58.6,1238,797,60.8,8.2,937,612,60.5,8.2,10.1,93.1,103.2,45.3,54.7,17:59:00,14:02:00,49,28,430,56.5,7,3,4,42.9
Patrik Berglund,2013,25,STL,C,78,14,18,32,10,38,3.5,12,2,0,2,16,2,0,144,9.7,1261,16:10:00,30,88,373,410,47.6,986,825,54.4,-0.7,721,624,53.6,-1.9,8.9,93.4,102.3,55.5,44.5,16:10:00,13:06:00,42,12,245,58.8,1,0,1,0.0
Steve Bernier,2013,28,NJD,RW,78,3,9,12,-15,33,-0.3,3,0,0,1,8,1,0,104,2.9,971,12:27:00,23,118,6,12,33.3,717,629,53.3,-1.2,535,467,53.4,-0.6,4.9,90.1,95,50.1,49.9,12:27:00,11:30:00,22,13,161,64.6,0,0,0,0.0
Todd Bertuzzi,2013,38,DET,RW,59,9,7,16,-17,40,0.6,3,6,0,0,6,1,0,100,9,865,14:39:00,14,72,9,9,50,575,578,49.9,-3.7,437,459,48.8,-4.8,8.2,88.1,96.3,54.9,45.1,14:39:00,11:47:00,13,27,153,65.4,7,1,6,14.3
Bryan Bickell,2013,27,CHI,LW,59,11,4,15,-6,28,1.3,11,0,0,2,4,0,0,93,11.8,670,11:21:00,10,105,1,1,50,639,467,57.8,0.5,472,355,57.1,-0.3,6.6,89,95.6,69.6,30.4,11:21:00,10:51:00,10,8,179,52,1,0,1,0.0
Kevin Bieksa,2013,32,VAN,D,76,4,20,24,-8,104,4.7,3,1,0,1,13,7,0,167,2.4,1731,22:46:00,130,144,1,0,100,1437,1357,51.4,-1.3,1042,995,51.2,-1.6,7,91.2,98.2,49.3,50.7,22:46:00,18:37:00,32,55,338,49.4,0,0,0,0.0
Chad Billins,2013,24,CGY,D,10,0,3,3,-3,0,0.2,0,0,0,0,3,0,0,3,0,122,12:13:00,9,0,0,0,,89,110,44.7,3.2,64,83,43.5,3.7,10.5,87.3,97.8,72.7,27.3,12:13:00,11:00:00,2,2,16,18.8,0,0,0,0.0
Paul Bissonnette,2013,28,PHX,LW,39,2,6,8,6,53,1.1,2,0,0,0,6,0,0,25,8,185,04:45:00,4,51,1,2,33.3,171,155,52.5,-0.4,134,110,54.9,2.8,9.8,94.6,104.4,56.5,43.5,04:45:00,04:45:00,6,3,38,65.8,0,0,0,0.0
Nick Bjugstad,2013,21,FLA,C,76,16,22,38,-14,16,3.5,15,0,1,4,18,3,1,185,8.6,1233,16:13:00,23,117,549,574,48.9,988,970,50.5,-1.6,759,738,50.7,-1,7.9,89.5,97.4,52.8,47.2,16:13:00,13:34:00,37,28,301,61.5,5,2,3,40.0
Jonathon Blum,2013,25,MIN,D,15,0,1,1,-1,0,0.2,0,0,0,0,1,0,0,11,0,175,11:40:00,13,10,0,0,,143,126,53.2,2.7,105,86,55,5.7,2.6,94.4,97,59.8,40.2,11:40:00,11:13:00,1,2,25,44,0,0,0,0.0
Mike Blunden,2013,27,MTL,RW,7,0,0,0,-2,5,-0.2,0,0,0,0,0,0,0,2,0,43,06:08:00,3,16,0,0,,19,57,25,-22.7,12,41,22.6,-24,11.1,89.7,100.8,41.7,58.3,06:08:00,05:57:00,0,0,4,50,0,0,0,0.0
Troy Bodie,2013,29,TOR,RW,47,3,7,10,6,26,1,3,0,0,0,7,0,0,50,6,405,08:37:00,19,64,2,5,28.6,319,419,43.2,-1.7,252,297,45.9,2.3,8,95.9,103.9,43.8,56.2,08:38:00,08:36:00,6,7,83,60.2,0,0,0,0.0
Mikkel Boedker,2013,24,PHX,LW,82,19,32,51,-9,20,5,14,5,0,1,21,11,0,166,11.4,1428,17:25:00,16,105,3,4,42.9,1071,1137,48.5,-4.1,776,871,47.1,-5.4,7.9,91.4,99.3,50.6,49.4,17:25:00,14:49:00,33,18,284,58.5,13,5,8,38.5
Zach Bogosian,2013,23,WPG,D,55,3,8,11,3,48,2.8,3,0,0,0,7,1,0,134,2.2,1260,22:55:00,75,94,0,0,,997,1024,49.3,-2.9,757,771,49.5,-3.2,8.4,92.3,100.7,49.7,50.3,22:55:00,19:04:00,17,47,254,52.8,0,0,0,0.0
Jared Boll,2013,27,CBJ,RW,28,1,1,2,-6,62,-0.3,1,0,0,0,1,0,0,12,8.3,214,07:38:00,9,52,0,1,0,134,187,41.7,-6.9,94,144,39.5,-8.7,4.2,91.9,96.1,51.4,48.6,07:24:00,07:23:00,1,0,23,52.2,0,0,0,0.0
Dave Bolland,2013,27,TOR,C,23,8,4,12,-1,24,1.7,6,1,1,2,3,1,0,33,24.2,333,14:28:00,13,38,152,185,45.1,246,302,44.9,1.6,175,226,43.6,2.1,8.5,91.3,99.8,38.5,61.5,14:28:00,12:41:00,10,12,56,60.7,0,0,0,0.0
Brandon Bollig,2013,27,CHI,LW,82,7,7,14,-1,92,0.6,7,0,0,1,7,0,0,109,6.4,843,10:17:00,22,203,1,0,100,687,663,50.9,-8.4,518,462,52.9,-6.2,7.4,91.1,98.5,18.2,81.8,10:17:00,09:57:00,5,6,188,58,0,0,0,0.0
Nick Bonino,2013,25,ANA,C,77,22,27,49,14,22,6,15,7,0,2,14,13,0,159,13.8,1250,16:14:00,68,28,583,611,48.8,859,867,49.8,-0.5,663,638,51,0.5,9.4,93,102.4,49.9,50.1,16:14:00,11:34:00,37,35,261,60.9,8,3,5,37.5
David Booth,2013,29,VAN,LW,66,9,10,19,1,18,1.9,9,0,0,0,9,1,0,117,7.7,889,13:28:00,17,121,13,10,56.5,831,770,51.9,-0.1,598,568,51.3,-0.9,6.6,93.6,100.2,45.4,54.6,13:28:00,12:55:00,23,16,227,51.1,2,0,2,0.0
Patrick Bordeleau,2013,27,COL,LW,82,6,5,11,-1,115,0.7,6,0,0,1,5,0,0,37,16.2,565,06:53:00,14,178,1,2,33.3,366,504,42.1,-7.7,275,373,42.4,-7.2,7,94.6,101.6,57.2,42.8,06:53:00,06:51:00,8,13,64,57.8,0,0,0,0.0
Mark Borowiecki,2013,24,OTT,D,13,1,0,1,-2,48,0.1,1,0,0,0,0,0,0,6,16.7,164,12:35:00,13,41,0,0,,121,131,48,-4.7,88,103,46.1,-5.4,4.2,92.1,96.3,41.3,58.8,12:35:00,11:00:00,0,5,15,40,0,0,0,0.0
Robert Bortuzzo,2013,24,PIT,D,54,0,10,10,-3,74,1.8,0,0,0,0,9,0,1,50,0,836,15:29:00,73,137,0,1,0,613,730,45.6,-3.9,453,520,46.6,-2.9,8.1,91.5,99.6,48.8,51.2,15:29:00,14:07:00,6,11,103,48.5,0,0,0,0.0
Pierre-Marc Bouchard,2013,29,NYI,C,28,4,5,9,-9,12,0.4,3,1,0,1,5,0,0,51,7.8,391,13:57:00,6,7,3,2,60,352,330,51.6,2.5,259,248,51.1,2.5,5.8,88.4,94.2,45.2,54.8,13:57:00,12:24:00,10,15,82,62.2,2,0,2,0.0
Reid Boucher,2013,20,NJD,C,23,2,5,7,2,4,0.7,2,0,0,0,5,0,0,27,7.4,261,11:21:00,5,17,1,2,33.3,212,159,57.1,5.7,148,129,53.4,1.7,9.3,93.3,102.5,62.7,37.3,11:21:00,10:24:00,6,3,53,50.9,2,1,1,50.0
Francis Bouillon,2013,38,MTL,D,52,2,4,6,-5,34,1.6,2,0,0,1,3,1,0,34,5.9,920,17:41:00,70,80,0,0,,686,887,43.6,-5.8,514,628,45,-5.3,8.4,92,100.3,46.7,53.3,17:41:00,15:54:00,7,27,75,45.3,0,0,0,0.0
Eric Boulton,2013,37,NYI,LW,23,2,2,4,0,88,0.4,2,0,0,0,2,0,0,21,9.5,147,06:25:00,6,32,0,0,,100,168,37.3,-12,81,119,40.5,-9.7,6.2,95.1,101.2,50.6,49.4,06:25:00,06:20:00,1,4,31,67.7,0,0,0,0.0
Lance Bouma,2013,23,CGY,LW,78,5,10,15,-4,41,0.5,4,0,1,0,10,0,0,82,6.1,983,12:36:00,87,181,22,63,25.9,647,854,43.1,-4.8,500,596,45.6,-2.9,7.5,91.7,99.2,38.3,61.7,12:36:00,10:21:00,20,15,151,54.3,0,0,0,0.0
Michael Bournival,2013,21,MTL,LW,60,7,7,14,-6,18,1.2,6,1,0,1,5,2,0,78,9,619,10:19:00,42,67,28,33,45.9,460,589,43.9,-2.8,330,391,45.8,-1.8,6.8,92.1,98.8,43.1,56.9,10:19:00,09:25:00,15,10,126,61.9,0,0,0,0.0
Gabriel Bourque,2013,23,NSH,LW,74,9,17,26,-5,8,2,9,0,0,1,16,1,0,108,8.3,1024,13:50:00,34,70,0,1,0,906,826,52.3,3.9,706,599,54.1,5.1,8.4,88.9,97.3,53.2,46.8,13:50:00,12:34:00,20,21,195,55.4,3,0,3,0.0
Rene Bourque,2013,32,MTL,RW,63,9,7,16,-1,32,1.4,6,3,0,2,6,1,0,118,7.6,894,14:11:00,15,90,4,4,50,687,834,45.2,-1.2,505,595,45.9,-2,6.1,94.8,100.9,42.4,57.6,14:11:00,12:56:00,13,9,221,53.4,0,0,0,0.0
Jay Bouwmeester,2013,30,STL,D,82,4,33,37,26,20,8.8,3,1,0,0,23,10,0,152,2.6,1972,1900-01-01 00:03:00,106,51,3,1,75,1482,1299,53.3,-1.1,1101,975,53,-2.2,10,92.8,102.8,51.2,48.8,1900-01-01 00:03:00,18:40:00,18,22,289,52.6,0,0,0,0.0
Drayson Bowman,2013,24,CAR,LW,70,4,8,12,-2,16,0.6,4,0,0,0,8,0,0,80,5,725,10:21:00,18,45,6,4,60,573,682,45.7,-6.1,417,508,45.1,-5.6,7.4,93,100.5,34.6,65.4,10:21:00,09:39:00,19,12,150,53.3,0,0,0,0.0
Johnny Boychuk,2013,30,BOS,D,75,5,18,23,31,45,6.4,5,0,0,1,15,0,3,142,3.5,1589,21:12:00,151,158,0,0,,1372,1138,54.7,0.3,1031,843,55,0.6,10.3,92.2,102.5,49.4,50.6,21:12:00,17:58:00,16,31,287,49.5,0,0,0,0.0
Zach Boychuk,2013,24,CAR,LW,11,1,3,4,2,0,0.5,1,0,0,0,3,0,0,15,6.7,112,10:12:00,2,17,0,1,0,79,91,46.5,-6.3,56,64,46.7,-5.5,9.1,96,105.1,52,48,10:12:00,09:17:00,4,1,23,65.2,0,0,0,0.0
Brad Boyes,2013,31,FLA,RW,78,21,15,36,-6,28,4,18,2,1,1,14,1,0,176,11.9,1329,17:03:00,35,46,37,32,53.6,1040,1005,50.9,-0.4,820,773,51.5,-0.1,9,89.3,98.4,50.8,49.2,17:03:00,14:09:00,38,29,306,57.5,12,6,6,50.0
Brian Boyle,2013,29,NYR,C,82,6,12,18,1,56,1.1,5,1,0,1,9,1,2,137,4.4,1047,12:46:00,54,154,306,272,52.9,708,832,46,-9.6,539,601,47.3,-7.6,5.5,94.5,99.9,23,77,12:45:00,10:23:00,20,20,211,64.9,0,0,0,0.0
Dan Boyle,2013,37,SJS,D,75,12,24,36,-8,32,6,6,6,0,1,12,12,0,154,7.8,1596,21:17:00,92,46,0,0,,1380,1223,53,-1.7,1003,884,53.2,-3.5,6.1,92.7,98.7,52.3,47.7,21:17:00,17:18:00,26,59,306,50.3,5,1,4,20.0
Tyler Bozak,2013,27,TOR,C,58,19,30,49,2,14,5.7,13,5,1,1,27,3,0,90,21.1,1215,20:57:00,42,62,681,718,48.7,915,1164,44,0.2,684,905,43,-0.6,11.8,90.9,102.7,40.2,59.8,20:57:00,17:04:00,49,24,158,56.3,7,4,3,57.1
Derick Brassard,2013,26,NYR,C,81,18,27,45,2,46,5.3,11,7,0,4,16,11,0,159,11.3,1280,15:48:00,19,124,469,508,48,1055,895,54.1,0.2,781,667,53.9,0.2,8,91.3,99.3,60.6,39.4,15:47:00,13:06:00,28,28,274,58,1,0,1,0.0
Justin Braun,2013,26,SJS,D,82,4,13,17,19,20,5.4,3,1,0,1,13,0,0,121,3.3,1721,20:59:00,146,77,0,0,,1499,1289,53.8,0.1,1127,935,54.7,-0.4,7.9,92.8,100.7,44.1,55.9,20:58:00,17:40:00,40,39,269,45,0,0,0,0.0
Christopher Breen,2013,24,CGY,D,9,0,2,2,1,5,0.4,0,0,0,0,2,0,0,4,0,84,09:23:00,7,3,0,0,,84,101,45.4,-6.6,60,79,43.2,-7.2,13.3,92.2,105.5,69.8,30.2,09:23:00,08:56:00,0,5,10,40,0,0,0,0.0
