Player,Season,Age_x,Tm,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
Spencer Abbott,2013,25,TOR,RW,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0,5,05:16:00,0,1,0,0,,5,12,29.4,-22.8,3,11,21.4,-31.7,0,77.8,77.8,33.3,66.7,05:16:00,05:16:00,0,0,2,100,0,0,0,0.0
Justin Abdelkader,2013,26,DET,LW,70,10,18,28,2,31,2.6,9,1,0,3,16,2,0,147,6.8,1070,15:17:00,31,172,23,32,41.8,841,821,50.6,-3.1,645,629,50.6,-2.3,8.5,92.4,100.9,52.5,47.5,15:17:00,13:43:00,21,15,222,65.8,0,0,0,0.0
Will Acton,2013,26,EDM,C,30,3,2,5,-2,21,0.4,3,0,0,1,2,0,0,18,16.7,244,08:08:00,14,37,98,97,50.3,115,177,39.4,-11.2,77,121,38.9,-10.4,9.1,92.3,101.4,44.2,55.8,08:08:00,06:06:00,15,4,37,48.6,0,0,0,0.0
Luke Adam,2013,23,BUF,C,12,1,0,1,0,4,0,1,0,0,0,0,0,0,16,6.3,154,12:50:00,1,16,10,16,38.5,125,119,51.2,3.4,82,88,48.2,0,5.6,95.2,100.7,56.7,43.3,12:50:00,12:16:00,1,0,35,45.7,1,0,1,0.0
Craig Adams,2013,36,PIT,RW,82,5,6,11,-16,46,-0.6,5,0,0,0,6,0,0,73,6.8,1022,12:28:00,59,190,61,78,43.9,489,714,40.6,-10.7,380,512,42.6,-8.9,5.7,90.4,96,37.9,62.1,12:28:00,09:24:00,15,16,125,58.4,0,0,0,0.0
Kenny Agostino,2013,21,CGY,LW,8,1,1,2,-2,0,0.1,1,0,0,0,1,0,0,12,8.3,89,11:06:00,3,9,0,0,,72,95,43.1,-2.2,58,68,46,0.1,4.9,92.2,97,57.8,42.2,11:06:00,10:49:00,3,3,20,60,0,0,0,0.0
Jason Akeson,2013,23,PHI,RW,1,0,1,1,1,0,0.1,0,0,0,0,1,0,0,2,0,13,13:22:00,0,1,0,0,,17,11,60.7,6.9,12,9,57.1,0.6,28.6,83.3,111.9,33.3,66.7,13:22:00,12:16:00,0,0,4,50,2,0,2,0.0
John Albert,2013,25,WPG,C,9,1,0,1,-3,0,0,1,0,0,0,0,0,0,5,20,46,05:07:00,3,8,9,12,42.9,37,45,45.1,-3.7,29,32,47.5,-5,5,84.6,89.6,55,45,05:07:00,05:07:00,1,0,6,83.3,0,0,0,0.0
Andrew Alberts,2013,32,VAN,D,10,0,0,0,1,0,0.2,0,0,0,0,0,0,0,5,0,74,07:23:00,7,6,0,0,,60,64,48.4,3.5,36,49,42.4,-4.2,12,95.1,107.1,37.5,62.5,07:23:00,07:01:00,0,4,13,38.5,0,0,0,0.0
Daniel Alfredsson,2013,41,DET,RW,68,18,31,49,2,10,5.8,14,4,0,4,17,14,0,151,11.9,1151,16:56:00,25,59,5,9,35.7,790,730,52,-1.2,596,570,51.1,-2.3,8.6,92.3,100.9,57.2,42.8,16:56:00,13:28:00,24,36,271,55.7,10,2,8,20.0
Bryan Allen,2013,33,ANA,D,68,0,10,10,20,75,2.9,0,0,0,0,9,0,1,60,0,1193,17:33:00,118,121,0,0,,953,984,49.2,-3.3,723,729,49.8,-2.6,10,93.1,103.1,48.6,51.4,17:33:00,15:03:00,8,26,139,43.2,0,0,0,0.0
Conor Allen,2013,24,NYR,D,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,2,0,43,14:26:00,1,1,0,0,,26,29,47.3,,17,24,41.5,,0,95,95,53.8,46.2,14:26:00,14:26:00,0,0,7,28.6,0,0,0,0.0
Adam Almqvist,2013,22,DET,D,2,1,0,1,-1,0,0.2,1,0,0,0,0,0,0,2,50,34,17:13:00,0,1,0,0,,22,24,47.8,-4,19,20,48.7,-4.5,12.5,83.3,95.8,45,55,17:13:00,15:46:00,0,0,3,66.7,0,0,0,0.0
Karl Alzner,2013,25,WSH,D,82,2,16,18,-7,26,3,2,0,0,1,13,1,2,95,2.1,1684,20:32:00,158,73,0,0,,1194,1375,46.5,-2.1,886,1004,46.9,-0.9,7.2,92.4,99.6,48.6,51.4,20:32:00,16:56:00,28,33,201,47.3,0,0,0,0.0
Joakim Andersson,2013,24,DET,C,65,8,9,17,-11,12,0.8,8,0,0,1,8,0,1,78,10.3,899,13:50:00,25,26,345,326,51.4,582,604,49.1,-3.8,454,457,49.8,-2.8,6.6,89.8,96.4,46.4,53.6,13:50:00,10:56:00,18,27,119,65.5,0,0,0,0.0
Artem Anisimov,2013,25,CBJ,C,81,22,17,39,-2,20,4.6,17,3,2,5,14,3,0,162,13.6,1344,16:36:00,54,31,474,485,49.4,885,871,50.4,-1.1,638,644,49.8,-2.1,8.5,91.3,99.8,45,55,16:24:00,12:20:00,51,18,307,52.1,4,1,3,25.0
Darren Archibald,2013,23,VAN,RW,16,1,2,3,1,0,0.3,1,0,0,0,2,0,0,11,9.1,125,07:48:00,9,30,0,1,0,103,119,46.4,-6.1,75,76,49.7,-2.2,12.5,90,102.5,40.8,59.2,07:48:00,07:45:00,2,1,20,55,0,0,0,0.0
Mark Arcobello,2013,25,EDM,C,41,4,14,18,-7,8,1.2,3,1,0,1,12,2,0,70,5.7,618,15:04:00,23,78,206,198,51,460,493,48.3,-1.3,334,366,47.7,-1.2,7.6,91.4,99,47,53,15:04:00,12:18:00,18,13,127,55.1,0,0,0,0.0
Bill Arnold,2013,21,CGY,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,14,13:35:00,0,1,5,4,55.6,10,10,50,,6,5,54.5,,0,66.7,66.7,33.3,66.7,13:35:00,13:35:00,0,0,1,0,0,0,0,0.0
Arron Asham,2013,35,NYR,RW,6,0,0,0,-5,14,-0.3,0,0,0,0,0,0,0,1,0,45,07:29:00,1,8,0,0,,31,48,39.2,-16.9,17,35,32.7,-21.7,0,78.3,78.3,24,76,07:29:00,07:24:00,0,2,2,50,0,0,0,0.0
Carter Ashton,2013,22,TOR,RW,32,0,3,3,1,19,0,0,0,0,0,3,0,0,23,0,201,06:16:00,7,46,12,11,52.2,151,194,43.8,-0.3,105,151,41,-1.6,6.8,96.4,103.1,49,51,06:16:00,06:09:00,3,5,38,60.5,1,0,1,0.0
Cam Atkinson,2013,24,CBJ,RW,79,21,19,40,-4,18,4.6,16,4,1,5,14,5,0,216,9.7,1247,15:47:00,38,55,0,0,,989,924,51.7,0.9,735,687,51.7,1.5,7.5,92,99.5,50.7,49.3,15:36:00,13:13:00,29,20,351,61,6,2,4,33.3
Keith Aucoin,2013,35,STL,C,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,0,27,13:19:00,0,0,9,6,60,17,20,45.9,0.5,14,18,43.8,1.6,0,70,70,33.3,66.7,13:19:00,11:31:00,1,1,1,100,0,0,0,0.0
Keith Aulie,2013,24,TBL,D,15,0,1,1,-3,9,-0.1,0,0,0,0,1,0,0,6,0,147,09:49:00,15,17,0,0,,101,144,41.2,-7.7,79,103,43.4,-7.6,5.2,91.3,96.5,40.5,59.5,09:49:00,09:24:00,0,1,18,33.3,0,0,0,0.0
David Backes,2013,29,STL,C,74,27,30,57,14,119,7.6,17,10,0,5,24,6,0,165,16.4,1447,19:33:00,56,273,621,580,51.7,1100,893,55.2,0.7,817,641,56,1.6,9.7,91.5,101.1,46.9,53.1,19:33:00,14:58:00,32,22,276,60.1,0,0,0,0.0
Mikael Backlund,2013,24,CGY,C,76,18,21,39,4,32,4.4,9,5,4,3,15,6,0,178,10.1,1409,18:32:00,62,64,628,694,47.5,1050,954,52.4,7.5,767,664,53.6,8.1,8.2,91.4,99.7,47.1,52.9,18:32:00,14:43:00,63,40,318,56,2,0,2,0.0
Nicklas Backstrom,2013,26,WSH,C,82,18,61,79,-20,54,7.2,11,6,1,1,23,38,0,196,9.2,1624,19:48:00,54,89,714,701,50.5,1192,1212,49.6,2.3,867,923,48.4,1.2,7.8,90.7,98.6,56.3,43.7,19:48:00,15:09:00,54,24,336,58.3,18,7,11,38.9
Sven Baertschi,2013,21,CGY,LW,26,2,9,11,-4,6,0.7,1,1,0,0,6,3,0,30,6.7,367,14:07:00,19,22,0,0,,271,349,43.7,-1,195,230,45.9,-0.9,8.6,90,98.6,61.8,38.2,14:07:00,12:56:00,9,13,56,53.6,3,1,2,33.3
Josh Bailey,2013,24,NYI,LW,77,8,30,38,-8,26,2.7,6,2,0,1,22,8,0,98,8.2,1220,15:50:00,29,44,113,115,49.6,994,895,52.6,2.9,713,652,52.2,2.5,8.4,89.4,97.8,46.5,53.5,15:50:00,13:31:00,39,39,197,49.7,4,1,3,25.0
Keith Ballard,2013,31,MIN,D,45,2,7,9,-7,37,1.3,2,0,0,0,5,2,0,29,6.9,612,13:37:00,37,58,0,0,,414,494,45.6,-3.3,309,370,45.5,-2.8,9.3,89.7,99,43,57,13:37:00,12:09:00,7,18,78,37.2,0,0,0,0.0
Mark Barberio,2013,23,TBL,D,49,5,5,10,10,28,3,4,1,0,0,5,0,0,54,9.3,714,14:35:00,38,28,0,0,,668,600,52.7,2.2,510,447,53.3,2,8.7,93.1,101.8,52.7,47.3,14:35:00,13:56:00,10,27,121,44.6,0,0,0,0.0
Krys Barch,2013,33,FLA,LW,55,0,4,4,-10,99,-0.6,0,0,0,0,4,0,0,19,0,329,05:59:00,6,64,1,0,100,238,305,43.8,-7.9,165,244,40.3,-12,4.3,91.1,95.4,45.3,54.7,05:59:00,05:53:00,4,2,31,61.3,0,0,0,0.0
