,Player,Season,Age,Tm,GP,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
21,Thomas Greiss,2014,29,PIT,20,18,9,6,3,50,546,496,0.908,2.59,0,2.9,1159,8,2,0,0,0,0,6,2,4,66.7
22,Philipp Grubauer,2014,23,WSH,1,1,1,0,0,2,25,23,0.92,1.85,0,0.2,65,1,0,0,0,0,0,3,1,2,66.7
23,Jaroslav Halak,2014,29,NYI,59,59,38,17,4,144,1673,1529,0.914,2.43,6,9.9,3550,33,7,0,1,1,2,30,9,21,70.0
24,Andrew Hammond,2014,26,OTT,24,23,20,1,2,42,707,665,0.941,1.79,3,6.5,1411,18,1,0,1,1,0,19,7,12,63.2
25,Jonas Hiller,2014,32,CGY,52,44,26,19,4,113,1376,1263,0.918,2.36,1,8.8,2871,23,3,0,0,0,0,12,5,7,58.3
26,Braden Holtby,2014,25,WSH,73,72,41,20,10,157,2044,1887,0.923,2.22,9,14.4,4247,43,7,0,2,2,2,39,11,28,71.8
27,Jimmy Howard,2014,30,DET,53,50,23,13,11,121,1350,1229,0.91,2.44,2,7.4,2971,26,8,0,1,1,2,32,17,15,46.9
28,Michael Hutchinson,2014,24,WPG,38,36,21,10,5,85,986,901,0.914,2.38,2,5.8,2138,19,7,0,0,0,0,14,2,12,85.7
29,Carter Hutton,2014,29,NSH,18,17,6,7,4,44,450,406,0.902,2.61,1,2,1010,6,3,0,0,0,0,15,7,8,53.3
30,Chad Johnson,2014,28,NYI,19,17,8,8,1,54,488,434,0.889,3.08,0,1.4,1053,7,6,0,0,0,0,8,2,6,75.0
31,Martin Jones,2014,25,LAK,15,11,4,5,2,29,307,278,0.906,2.24,3,1.5,775,5,2,0,1,1,0,6,1,5,83.3
32,Anton Khudobin,2014,28,CAR,34,32,8,17,6,87,874,787,0.9,2.72,1,3.8,1920,16,9,0,0,0,0,12,2,10,83.3
33,Keith Kinkaid,2014,25,NJD,19,13,6,5,4,40,469,429,0.915,2.59,0,2.8,925,8,0,0,0,0,0,12,4,8,66.7
34,Darcy Kuemper,2014,24,MIN,31,28,14,12,2,68,718,650,0.905,2.6,3,3.5,1569,15,7,0,0,0,0,5,3,2,40.0
35,Jason LaBarbera,2014,35,ANA,5,2,2,0,1,9,99,90,0.909,2.6,0,0.5,207,2,0,0,0,0,0,3,1,2,66.7
36,Eddie Lack,2014,27,VAN,41,35,18,13,4,95,1201,1106,0.921,2.45,2,8.1,2324,18,5,0,0,0,2,16,4,12,75.0
37,Robin Lehner,2014,23,OTT,25,24,9,12,3,74,779,705,0.905,3.02,0,3.8,1471,11,2,0,1,1,0,14,4,10,71.4
38,Kari Lehtonen,2014,31,DAL,65,65,34,17,10,181,1875,1694,0.903,2.94,5,8.7,3698,30,12,0,3,3,2,21,6,15,71.4
39,Anders Lindback,2014,26,TOT,26,22,6,16,2,73,798,725,0.909,3.11,0,4.2,1408,8,3,0,1,1,4,15,4,11,73.3
40,Henrik Lundqvist,2014,32,NYR,46,46,30,13,3,103,1329,1226,0.922,2.25,5,9.2,2743,29,4,0,1,1,0,17,6,11,64.7
41,Roberto Luongo,2014,35,FLA,61,61,28,19,12,138,1743,1605,0.921,2.35,2,11.8,3528,36,9,0,0,0,0,75,21,54,72.0
42,Steve Mason,2014,26,PHI,51,48,18,18,11,108,1490,1382,0.928,2.25,3,11.3,2885,29,4,0,3,3,2,37,15,22,59.5
43,Curtis McElhinney,2014,31,CBJ,32,28,12,14,2,82,949,867,0.914,2.88,0,5.6,1710,12,2,0,0,0,0,10,4,6,60.0
44,Ryan Miller,2014,34,VAN,45,45,29,15,1,107,1198,1091,0.911,2.53,6,6.6,2542,22,8,0,0,0,0,5,0,5,100.0
45,Al Montoya,2014,29,FLA,20,13,6,7,2,49,453,404,0.892,3.01,0,1.5,977,6,3,0,0,0,2,3,3,0,0.0
46,Petr Mrazek,2014,22,DET,29,26,16,9,2,63,768,705,0.918,2.38,3,4.9,1585,15,6,0,0,0,0,18,6,12,66.7
47,Evgeni Nabokov,2014,39,TBL,11,9,3,6,2,29,245,216,0.882,3.14,0,0.5,553,5,2,0,1,1,2,5,3,2,40.0
48,Michal Neuvirth,2014,26,TOT,32,32,7,20,4,92,1067,975,0.914,2.98,0,6.3,1850,16,4,0,0,0,0,18,9,9,50.0
49,Antti Niemi,2014,31,SJS,61,61,31,23,7,155,1811,1656,0.914,2.59,5,10.8,3588,32,9,0,3,3,0,35,8,27,77.1
50,Ondrej Pavelec,2014,27,WPG,50,46,22,16,8,108,1353,1245,0.92,2.28,5,9,2838,23,5,0,0,0,2,31,12,19,61.3
51,Justin Peters,2014,28,WSH,12,9,3,6,1,35,294,259,0.881,3.25,0,0.6,647,1,3,0,0,0,0,4,2,2,50.0
52,Calvin Pickard,2014,22,COL,16,13,6,7,3,35,511,476,0.932,2.35,0,4.1,895,9,1,0,0,0,0,13,4,9,69.2
53,Kevin Poulin,2014,24,NYI,1,1,0,0,1,3,26,23,0.885,2.77,0,0.1,65,0,0,0,0,0,0,3,1,2,66.7
54,Carey Price,2014,27,MTL,66,66,44,16,6,130,1953,1823,0.933,1.96,9,16.2,3977,39,6,0,1,1,4,22,4,18,81.8
55,Jonathan Quick,2014,29,LAK,72,71,36,22,13,156,1896,1740,0.918,2.24,6,12.1,4184,36,9,0,1,1,18,27,11,16,59.3
56,Antti Raanta,2014,25,CHI,14,12,7,4,1,25,389,364,0.936,1.89,2,3.3,792,8,1,0,0,0,0,3,2,1,33.3
57,Karri Ramo,2014,28,CGY,34,32,15,9,3,75,852,777,0.912,2.6,2,4.8,1731,14,5,0,0,0,0,17,3,14,82.4
58,Tuukka Rask,2014,27,BOS,70,67,34,21,13,156,2011,1855,0.922,2.3,3,14,4063,42,8,0,0,0,8,49,12,37,75.5
59,James Reimer,2014,26,TOR,35,27,9,16,1,93,1001,908,0.907,3.16,0,5.1,1767,13,7,0,0,0,2,8,2,6,75.0
60,Pekka Rinne,2014,32,NSH,64,64,41,17,6,140,1807,1667,0.923,2.18,4,12.6,3851,43,7,0,1,1,8,25,7,18,72.0
61,Cory Schneider,2014,28,NJD,69,68,26,31,9,148,1982,1834,0.925,2.26,5,14.5,3924,41,7,0,2,2,0,18,6,12,66.7
62,Ben Scrivens,2014,28,EDM,57,53,15,26,11,170,1542,1372,0.89,3.16,1,4.6,3228,19,13,0,1,1,4,38,9,29,76.3
63,Mike Smith,2014,32,ARI,62,61,14,42,5,187,1955,1768,0.904,3.16,0,9.3,3556,29,12,0,1,1,10,17,5,12,70.6
64,Alex Stalock,2014,27,SJS,22,19,8,9,2,54,553,499,0.902,2.62,2,2.5,1237,10,1,0,0,0,2,12,5,7,58.3
65,Niklas Svedberg,2014,25,BOS,18,14,7,5,1,35,425,390,0.918,2.33,2,2.7,900,9,2,0,0,0,0,9,1,8,88.9
66,Cam Talbot,2014,27,NYR,36,34,21,9,4,77,1038,961,0.926,2.21,5,7.6,2095,17,2,0,0,0,0,11,5,6,54.5
67,Dustin Tokarski,2014,25,MTL,17,16,6,6,4,46,509,463,0.91,2.75,0,2.7,1005,8,1,0,1,1,0,23,9,14,60.9
68,Semyon Varlamov,2014,26,COL,57,57,28,20,8,141,1791,1650,0.921,2.56,5,12.2,3307,33,6,0,0,0,4,33,10,23,69.7
69,Cam Ward,2014,30,CAR,51,50,22,24,5,121,1351,1230,0.91,2.4,1,7.4,3026,26,7,0,0,0,4,24,7,17,70.8
70,Rob Zepp,2014,33,PHI,10,9,5,2,0,25,223,198,0.888,2.89,0,0.6,519,1,2,0,0,0,0,2,0,2,100.0
