,Player,Season,Age,Tm,GP,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
0,Jake Allen,2014,24,STL,37,32,22,7,4,79,909,830,0.913,2.28,4,5.3,2077,17,6,0,2,2,2,15,4,11,73.3
1,Frederik Andersen,2014,25,ANA,54,53,35,12,5,123,1436,1313,0.914,2.38,3,8.6,3106,32,9,0,3,3,4,32,11,21,65.6
2,Craig Anderson,2014,33,OTT,35,35,14,13,8,87,1134,1047,0.923,2.49,3,8,2093,17,2,0,0,0,4,20,6,14,70.0
3,Richard Bachman,2014,27,EDM,6,4,3,2,0,15,168,153,0.911,2.84,1,0.9,317,3,1,0,0,0,0,2,0,2,100.0
4,Niklas Backstrom,2014,36,MIN,19,14,5,7,3,51,452,401,0.887,3.05,0,1.2,1005,2,4,0,0,0,2,6,2,4,66.7
5,Jonathan Bernier,2014,26,TOR,58,55,21,28,7,152,1735,1583,0.912,2.87,2,10,3177,26,11,0,1,1,0,26,11,15,57.7
6,Reto Berra,2014,28,COL,19,12,5,4,1,33,403,370,0.918,2.65,1,2.6,746,5,2,0,0,0,0,4,1,3,75.0
7,Ben Bishop,2014,28,TBL,62,59,40,13,5,136,1620,1484,0.916,2.32,4,10,3519,33,8,0,4,4,4,17,6,11,64.7
8,Sergei Bobrovsky,2014,26,CBJ,51,49,30,17,3,134,1632,1498,0.918,2.68,2,10.4,2994,26,3,0,2,2,4,36,4,32,88.9
9,Ilya Bryzgalov,2014,34,ANA,8,6,1,4,1,23,150,127,0.847,4.19,0,-0.3,329,2,3,0,2,2,0,3,2,1,33.3
10,Scott Clemmensen,2014,37,NJD,3,1,0,0,1,8,54,46,0.852,4.73,0,-0.1,102,0,0,0,0,0,0,4,2,2,50.0
11,Corey Crawford,2014,30,CHI,57,57,32,20,5,126,1661,1535,0.924,2.27,2,11.9,3333,38,4,0,1,1,8,29,6,23,79.3
12,Scott Darling,2014,26,CHI,14,13,9,4,0,27,419,392,0.936,1.95,1,3.6,833,10,0,0,0,0,0,7,0,7,100.0
13,Devan Dubnyk,2014,28,TOT,58,55,36,14,4,115,1625,1510,0.929,2.07,6,12.6,3328,36,4,0,2,2,2,29,9,20,69.0
14,Brian Elliott,2014,29,STL,46,45,26,14,3,96,1150,1054,0.917,2.26,5,7.2,2546,27,8,0,3,3,0,26,7,19,73.1
15,Dan Ellis,2014,34,FLA,8,8,4,3,1,19,221,202,0.914,2.34,1,1.3,486,4,0,0,0,0,0,6,1,5,83.3
16,Ray Emery,2014,32,PHI,31,25,10,11,7,80,758,678,0.894,3.06,0,2.7,1570,13,6,0,0,0,4,14,6,8,57.1
17,Jhonas Enroth,2014,26,TOT,50,44,18,26,2,145,1504,1359,0.904,3.07,2,7,2834,20,7,0,0,0,0,24,1,23,95.8
18,Viktor Fasth,2014,32,EDM,26,24,6,15,3,76,681,605,0.888,3.41,0,1.9,1336,9,9,0,0,0,0,24,4,20,83.3
19,Marc-Andre Fleury,2014,30,PIT,64,64,34,20,9,146,1831,1685,0.92,2.32,10,12.2,3776,35,6,0,1,1,6,32,12,20,62.5
20,John Gibson,2014,21,ANA,23,21,13,8,0,58,674,616,0.914,2.6,1,4,1340,13,4,0,0,0,0,3,1,2,66.7
