Player,AGE,POS,TEAM,DATE,TYPE,STRUCTURE,LENGTH,VALUE,CAP HIT
Matt Hendricks,29,"RW, C, LW",WSH,2010-09-27,Standard,2-way,1,575000,575000
Chris Stewart,22,"RW, LW",COL,2010-10-02,Standard,1-way,2,5750000,2875000
Peter Schaefer,32,LW,VAN,2010-10-07,Standard,2-way,1,600000,600000
Brian McGrattan,29,RW,BOS,2010-10-11,Standard,2-way,1,515000,515000
Andreas Lilja,34,LD,ANA,2010-10-11,Standard,1-way,1,600000,600000
Paul Mara,31,D,ANA,2010-10-16,Standard,1-way,1,750000,750000
Mark Parrish,33,RW,BUF,2010-11-06,Standard,2-way,1,600000,600000
Marek Svatos,28,RW,STL,2010-12-28,Standard,2-way,1,800000,800000
Chris Campoli,27,LD,MTL,2011-09-26,Standard,1-way,1,1750000,1750000
Trent Hunter,30,RW,LAK,2011-09-30,Standard,1-way,1,600000,600000
Drew Doughty,21,RD,LAK,2011-09-30,Standard,1-way,8,56000000,7000000
Brad Winchester,30,LW,SJS,2011-10-03,Standard,1-way,1,725000,725000
Fabian Brunnstrom,26,LW,DET,2011-10-03,Standard,2-way,1,600000,600000
Ray Emery,28,G,CHI,2011-10-03,Standard,1-way,1,600000,600000
Jay Pandolfo,36,LW,NYI,2011-10-04,35+,1-way,1,1400000,600000
Troy Bodie,26,RW,ANA,2011-10-12,Standard,2-way,1,550000,550000
Anton Strålman,25,RD,NYR,2011-11-04,Standard,1-way,1,900000,900000
Kyle Turris,21,C,ARI,2011-11-22,Standard,1-way,2,2800000,1400000
Joe Finley,24,D,BUF,2011-11-28,Standard,2-way,3,1600000,533333
Jeremy Colliton,26,C,NYI,2011-11-30,Standard,2-way,1,500000,500000
Antti Miettinen,31,RW,TBL,2011-12-12,Standard,2-way,2,2702585,1300000
Pierre-Cédric Labrie,25,LW,TBL,2011-12-30,Standard,2-way,2,1050000,525000
Eddie Läck,24,G,VAN,2012-08-27,Standard,2-way,2,1500000,750000
Robert Bortuzzo,23,RD,PIT,2012-08-30,Standard,2-way,1,525000,525000
Alex Grant,23,RD,PIT,2012-08-30,Standard,2-way,1,525000,525000
Eric Tangradi,23,LW,PIT,2012-08-31,Standard,2-way,1,726000,726000
Steve Eminger,28,D,NYR,2012-09-10,Standard,1-way,1,750000,750000
Jeremy Welsh,24,C,CAR,2012-09-11,Standard,2-way,2,1700000,850000
Michal Rozsíval,34,RD,CHI,2012-09-11,Standard,1-way,1,2000000,2000000
Ben Scrivens,26,G,TOR,2012-09-12,Standard,2-way,2,1225000,612500
Jonathon Blum,23,D,NSH,2012-09-13,Standard,2-way,1,650000,650000
John Carlson,22,RD,WSH,2012-09-15,Standard,1-way,6,23800000,3966667
Matt Martin,23,"LW, RW",NYI,2012-09-15,Standard,1-way,4,4000000,1000000
Justin Abdelkader,25,"LW, RW",DET,2012-09-15,Standard,1-way,4,7200000,1800000
Evander Kane,21,"LW, RW",WPG,2012-09-15,Standard,1-way,6,31500000,5250000
Tyler Ennis,22,"C, LW, RW",BUF,2012-09-15,Standard,1-way,2,5625000,2812500
Shane Doan,35,"RW, LW",ARI,2012-09-15,35+,1-way,4,21200000,5300000
Carlo Colaiacovo,29,LD,DET,2012-09-16,Standard,1-way,2,5000000,2500000
Troy Bodie,27,RW,ANA,2012-09-21,Standard,2-way,1,550000,550000
Rich Peverley,30,C,BOS,2012-10-11,Standard,1-way,3,9750000,3250000
Jeff Halpern,37,C,ARI,2013-10-12,35+,2-way,1,600000,600000
Radek Martinek,36,RD,NYI,2013-10-23,35+,1-way,1,600000,600000
Brad Mills,30,C,CHI,2013-10-25,Standard,2-way,1,550000,550000
Tom Gilbert,30,RD,FLA,2013-10-28,Standard,1-way,1,900000,900000
Manny Malhotra,33,C,CAR,2013-10-31,Standard,2-way,1,600000,600000
Jerred Smithson,34,C,TOR,2013-11-06,Standard,2-way,1,550000,550000
Pierre-Luc Letourneau-Leblond,28,RW,PIT,2013-11-07,Standard,2-way,2,1100000,550000
Ilya Bryzgalov,33,G,EDM,2013-11-08,Standard,1-way,1,2000000,2000000
John Madden,38,C,FLA,2013-11-08,35+,2-way,1,600000,600000
Carlo Colaiacovo,30,LD,STL,2013-11-12,Standard,1-way,1,750000,750000
Gilbert Brule,26,C,ARI,2013-11-30,Standard,2-way,1,685000,685000
Chris VandeVelde,26,"C, LW",PHI,2013-12-12,Standard,2-way,1,550000,550000
Jean Philippe Cote,31,D,TBL,2013-12-18,Standard,2-way,2,1100000,550000
Torey Krug,23,LD,BOS,2014-10-05,Standard,1-way,1,1400000,1400000
Brenden Dillon,23,LD,DAL,2014-10-05,Standard,1-way,1,1250000,1250000
Shane O'Brien,31,LD,FLA,2014-10-05,Standard,1-way,1,650000,650000
Raphael Diaz,28,RD,CGY,2014-10-05,Standard,1-way,1,700000,700000
Ryan Ellis,23,RD,NSH,2014-10-05,Standard,1-way,5,12500000,2500000
Jaden Schwartz,22,LW,STL,2014-10-05,Standard,1-way,2,4700000,2350000
Ryan Johansen,22,"C, RW",CBJ,2014-10-06,Standard,1-way,3,12000000,4000000
Ryan Carter,31,"C, LW",MIN,2014-10-07,Standard,2-way,1,725000,725000
Simon Gagne,34,RW,BOS,2014-10-13,Standard,1-way,1,600000,600000
Eric Gelinas,23,LD,NJD,2014-10-15,Standard,1-way,1,900000,900000
Carlo Colaiacovo,31,LD,PHI,2014-10-30,Standard,2-way,1,625000,625000
Jamie McBain,26,RD,LAK,2014-11-13,Standard,2-way,1,550000,550000
