Player,Season,Age_x,Tm,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
Frederic Allard,2020,23,NSH,D,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,0,,17,16:59:00,1,0,0,0,,11,11,50,-6.3,11,7,61.1,2.6,0,60,60,50,50,16:59:00,16:59:00,0,0,0,,0.0,0.0,0.0,0.0
Wade Allison,2020,23,PHI,RW,14,4,3,7,1,4,0.8,3,1,0,1,3,0,0,24,16.7,181,12:56:00,10,28,0,1,0,146,123,54.3,2.1,104,93,52.8,1.4,7.2,91.9,99.2,51.9,48.1,12:56:00,11:12:00,6,3,39,61.5,0.0,0.0,0.0,0.0
Olle Alsing,2020,24,OTT,D,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,43,10:50:00,2,4,0,0,,30,39,43.5,-2.2,20,33,37.7,-9,11.1,92.9,104,60.9,39.1,10:50:00,10:49:00,1,2,3,33.3,0.0,0.0,0.0,0.0
Mark Alt,2020,29,LAK,D,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,27,13:35:00,1,2,0,0,,15,21,41.7,2.3,12,17,41.4,-0.4,0,100,100,60,40,13:35:00,12:09:00,0,0,4,75,0.0,0.0,0.0,0.0
Michael Amadio,2020,24,TOT,C,25,0,3,3,-3,4,-0.2,0,0,0,0,2,1,0,24,0,314,12:33:00,16,8,94,94,50,237,269,46.8,-0.1,177,206,46.2,-1.3,5.8,93,98.8,56,44,12:33:00,11:05:00,3,8,41,58.5,0.0,0.0,0.0,0.0
Michael Amadio,2020,24,LAK,C,20,0,2,2,-5,2,-0.3,0,0,0,0,1,1,0,19,0,249,12:26:00,15,2,75,72,51,237,269,46.8,-0.1,177,206,46.2,-1.3,5.8,93,98.8,56,44,12:33:00,11:05:00,3,8,41,58.5,0.0,0.0,0.0,0.0
Michael Amadio,2020,24,OTT,C,5,0,1,1,2,2,0.1,0,0,0,0,1,0,0,5,0,65,12:59:00,1,6,19,22,46.3,237,269,46.8,-0.1,177,206,46.2,-1.3,5.8,93,98.8,56,44,12:33:00,11:05:00,3,8,41,58.5,0.0,0.0,0.0,0.0
Joey Anderson,2020,22,TOR,RW,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,,10,09:36:00,3,0,0,1,0,5,12,29.4,-14.5,1,9,10,-34.4,,100,,57.1,42.9,09:36:00,09:36:00,0,1,0,,0.0,0.0,0.0,0.0
Josh Anderson,2020,26,MTL,RW,52,17,7,24,-10,38,2.5,15,1,1,5,6,1,0,125,13.6,854,16:25:00,25,139,7,5,58.3,671,626,51.7,-2.6,487,468,51,-2.4,7.8,89.3,97.1,56,44,16:25:00,14:24:00,17,12,218,57.3,0.0,0.0,0.0,0.0
Michael Anderson,2020,21,LAK,D,54,1,10,11,0,30,2.9,1,0,0,1,8,0,2,52,1.9,1144,21:11:00,74,66,0,0,,788,849,48.1,0.9,596,647,47.9,0.1,8.2,92.1,100.3,46.8,53.2,21:11:00,19:04:00,14,34,110,47.3,0.0,0.0,0.0,0.0
Jaret Anderson-Dolan,2020,21,LAK,C,34,7,4,11,-9,6,0.9,6,1,0,2,4,0,0,37,18.9,459,13:31:00,20,52,132,170,43.7,289,413,41.2,-7.7,220,316,41,-8.6,9.9,88.6,98.5,47.9,52.1,13:31:00,11:32:00,4,7,65,56.9,0.0,0.0,0.0,0.0
Lias Andersson,2020,22,LAK,C,23,3,3,6,-4,12,0.4,3,0,0,0,3,0,0,23,13,278,12:04:00,9,8,20,32,38.5,198,260,43.2,-1.5,154,203,43.1,-0.9,12.5,88.7,101.2,42.4,57.6,12:04:00,11:25:00,3,5,37,62.2,1.0,0.0,1.0,0.0
Rasmus Andersson,2020,24,CGY,D,56,5,16,21,-9,34,3.2,4,1,0,0,11,5,0,96,5.2,1189,21:13:00,68,49,0,0,,885,889,49.9,-4.7,647,688,48.5,-6.3,9,89.5,98.5,52,48,21:13:00,17:32:00,16,39,197,48.7,0.0,0.0,0.0,0.0
Andy Andreoff,2020,29,PHI,LW,6,0,0,0,-6,9,-0.3,0,0,0,0,0,0,0,2,0,52,08:37:00,1,14,15,9,62.5,29,46,38.7,-19,25,34,42.4,-12.5,0,75,75,50,50,08:37:00,08:34:00,1,0,4,50,0.0,0.0,0.0,0.0
Anthony Angello,2020,24,PIT,C,19,2,2,4,4,8,0.5,1,1,0,0,2,0,0,19,10.5,152,07:59:00,2,51,0,0,,109,102,51.7,4.3,89,71,55.6,8.5,7,98.1,105.2,42.6,57.4,07:59:00,07:11:00,1,1,27,70.4,0.0,0.0,0.0,0.0
Artem Anisimov,2020,32,OTT,C,19,2,7,9,1,2,0.8,1,1,0,0,7,0,0,30,6.7,228,12:02:00,9,9,36,52,40.9,171,198,46.3,-2.4,118,139,45.9,-4.4,9,94.3,103.3,45.1,54.9,12:02:00,10:09:00,4,7,56,53.6,1.0,0.0,1.0,0.0
Mason Appleton,2020,25,WPG,C,56,12,13,25,11,14,2.9,12,0,0,1,12,0,1,88,13.6,807,14:25:00,22,61,7,6,53.8,578,648,47.1,-1.7,445,485,47.8,-0.7,10.4,92.7,103.1,42.7,57.3,14:25:00,12:54:00,13,21,140,62.9,0.0,0.0,0.0,0.0
Josh Archibald,2020,28,EDM,RW,52,7,6,13,2,37,1,7,0,0,0,6,0,0,62,11.3,704,13:33:00,35,192,4,4,50,442,535,45.2,-4.1,330,390,45.8,-3.3,11,91.5,102.5,32.1,67.9,13:33:00,11:16:00,14,15,103,60.2,0.0,0.0,0.0,0.0
Joel Armia,2020,27,MTL,RW,41,7,7,14,10,10,1.6,5,1,1,0,6,0,1,73,9.6,603,14:42:00,13,86,6,16,27.3,501,416,54.6,0.5,354,315,52.9,0.1,9.8,90.9,100.8,53.9,46.1,14:42:00,12:28:00,18,18,123,59.3,0.0,0.0,0.0,0.0
Viktor Arvidsson,2020,27,NSH,LW,50,10,15,25,9,21,2.7,8,2,0,2,14,1,0,151,6.6,830,16:36:00,33,15,9,18,33.3,722,607,54.3,6.7,584,456,56.2,8.5,8.6,92.6,101.2,57.1,42.9,16:36:00,14:20:00,18,23,264,57.2,0.0,0.0,0.0,0.0
Rasmus Asplund,2020,23,BUF,F,28,7,4,11,1,0,1.4,7,0,0,2,4,0,0,34,20.6,360,12:51:00,3,15,6,11,35.3,249,309,44.6,-1,203,261,43.8,-0.9,9.1,92.7,101.9,42.3,57.7,12:51:00,12:04:00,14,3,45,75.6,0.0,0.0,0.0,0.0
Zach Aston-Reese,2020,26,PIT,C,45,9,6,15,10,15,1.6,8,0,1,0,6,0,0,79,11.4,658,14:37:00,24,95,7,11,38.9,431,452,48.8,-0.9,339,334,50.4,1.1,8.2,94.2,102.4,32.2,67.8,14:37:00,12:41:00,14,16,119,66.4,0.0,0.0,0.0,0.0
Andreas Athanasiou,2020,26,LAK,C,47,10,13,23,-6,27,2.3,10,0,0,1,12,1,0,85,11.8,703,14:57:00,16,11,4,0,100,519,566,47.8,-0.8,393,418,48.5,-0.2,8.9,89.4,98.3,54.1,45.9,14:57:00,13:01:00,18,10,153,55.6,0.0,0.0,0.0,0.0
Cam Atkinson,2020,31,CBJ,RW,56,15,19,34,-16,4,2.7,10,1,4,2,11,8,0,158,9.5,1060,18:56:00,30,22,7,23,23.3,700,788,47,0.8,548,592,48.1,1.6,8.8,88.1,96.9,57.9,42.1,18:56:00,14:57:00,22,45,250,63.2,6.0,0.0,6.0,0.0
Nicolas Aube-Kubel,2020,24,PHI,RW,50,3,9,12,-3,44,0.4,3,0,0,0,9,0,0,53,5.7,559,11:10:00,16,120,2,2,50,443,431,50.7,-1.4,339,329,50.7,-0.6,6.5,93.3,99.8,44.3,55.7,11:10:00,10:58:00,16,17,93,57,0.0,0.0,0.0,0.0
David Backes,2020,36,ANA,C,15,3,1,4,-4,4,0.3,3,0,0,1,1,0,0,30,10,191,12:44:00,16,31,81,79,50.6,138,134,50.7,-2.1,106,97,52.2,-1,7.9,84.7,92.6,37.9,62.1,12:44:00,10:57:00,5,5,49,61.2,0.0,0.0,0.0,0.0
Mikael Backlund,2020,31,CGY,C,54,9,23,32,-7,30,2.4,8,0,1,1,16,6,1,144,6.3,950,17:36:00,21,43,387,358,51.9,696,615,53.1,0.2,535,470,53.2,0.9,8.9,88.4,97.3,47.7,52.3,17:36:00,13:56:00,48,49,244,59,0.0,0.0,0.0,0.0
Nicklas Backstrom,2020,33,WSH,C,55,15,38,53,0,14,5.3,10,5,0,0,21,17,0,91,16.5,1023,18:36:00,27,25,353,378,48.3,699,710,49.6,-0.8,519,539,49.1,-1.1,12.8,89.2,102,58.3,41.7,18:35:00,15:11:00,33,24,161,56.5,4.0,1.0,3.0,25.0
Kevin Bahl,2020,20,NJD,D,7,0,2,2,0,0,0.3,0,0,0,0,2,0,0,5,0,118,16:55:00,6,18,0,0,,67,97,40.9,-2.5,48,77,38.4,-5.1,9.4,90.9,100.3,48.3,51.7,16:55:00,15:46:00,2,4,10,50,0.0,0.0,0.0,0.0
Josh Bailey,2020,31,NYI,C,54,8,27,35,12,4,3.6,8,0,0,1,18,9,0,77,10.4,945,17:30:00,19,13,14,18,43.8,618,705,46.7,-3,462,533,46.4,-4.4,11,93.2,104.1,51.2,48.8,17:30:00,14:32:00,19,39,122,63.1,2.0,0.0,2.0,0.0
Justin Bailey,2020,25,VAN,RW,3,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,6,0,20,06:48:00,0,2,0,0,,21,11,65.6,15.6,17,11,60.7,10.7,0,80,80,81.8,18.2,06:48:00,06:46:00,0,0,7,85.7,0.0,0.0,0.0,0.0
Rudolfs Balcers,2020,23,SJS,LW,41,8,9,17,-6,16,1.4,8,0,0,2,8,1,0,66,12.1,603,14:43:00,29,81,0,3,0,476,493,49.1,2.1,370,345,51.7,4.5,8.1,88.4,96.4,48.7,51.3,14:43:00,13:07:00,31,15,99,66.7,0.0,0.0,0.0,0.0
Alexander Barabanov,2020,26,TOT,F,22,3,5,8,1,6,0.7,2,1,0,1,5,0,0,23,13,271,12:19:00,14,7,0,0,,207,226,47.8,1.9,158,169,48.3,1.9,12.1,88.1,100.2,42,58,12:19:00,10:58:00,9,9,42,54.8,0.0,0.0,0.0,0.0
Alexander Barabanov,2020,26,TOR,F,13,0,1,1,1,4,-0.1,0,0,0,0,1,0,0,11,0,112,08:37:00,5,5,0,0,,207,226,47.8,1.9,158,169,48.3,1.9,12.1,88.1,100.2,42,58,12:19:00,10:58:00,9,9,42,54.8,0.0,0.0,0.0,0.0
Alexander Barabanov,2020,26,SJS,F,9,3,4,7,0,2,0.8,2,1,0,1,4,0,0,12,25,159,17:39:00,9,2,0,0,,207,226,47.8,1.9,158,169,48.3,1.9,12.1,88.1,100.2,42,58,12:19:00,10:58:00,9,9,42,54.8,0.0,0.0,0.0,0.0
Ivan Barbashev,2020,25,STL,C,38,5,7,12,5,6,1,4,1,0,1,7,0,0,43,11.6,507,13:21:00,15,49,82,107,43.4,354,386,47.8,-0.3,269,291,48,0.3,8,94.7,102.7,49.7,50.3,13:21:00,11:15:00,9,12,71,60.6,0.0,0.0,0.0,0.0
Aleksander Barkov,2020,25,FLA,C,50,26,32,58,12,14,7.3,18,7,1,6,20,12,0,176,14.8,1047,20:56:00,37,31,563,463,54.9,805,550,59.4,8.1,634,434,59.4,7.7,9.8,89.3,99.2,53.8,46.2,20:56:00,15:28:00,39,23,261,67.4,2.0,1.0,1.0,50.0
Alex Barre-Boulet,2020,23,TBL,F,15,3,0,3,0,0,0.2,1,2,0,0,0,0,0,26,11.5,229,15:15:00,5,8,1,3,25,160,130,55.2,3.1,115,99,53.7,1.2,8.1,92,100.1,64.5,35.5,15:15:00,12:27:00,4,4,47,55.3,1.0,0.0,1.0,0.0
Tyson Barrie,2020,29,EDM,D,56,8,40,48,5,10,7.3,4,4,0,2,21,19,0,146,5.5,1198,21:24:00,59,26,0,0,,990,932,51.5,4.6,750,734,50.5,2.8,10.4,90.9,101.3,59,41,21:24:00,17:44:00,16,43,291,50.2,0.0,0.0,0.0,0.0
Morgan Barron,2020,22,NYR,C,5,1,0,1,-1,2,0.1,1,0,0,0,0,0,0,3,33.3,68,13:41:00,2,12,9,9,50,30,50,37.5,0.2,23,43,34.8,-2.1,11.1,89.7,100.8,47.8,52.2,13:41:00,11:49:00,0,2,7,42.9,0.0,0.0,0.0,0.0
Matt Bartkowski,2020,32,MIN,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0,13,13:02:00,1,1,0,0,,6,16,27.3,-27.1,6,13,31.6,-20.4,0,87.5,87.5,40,60,13:02:00,11:22:00,0,0,2,100,0.0,0.0,0.0,0.0
Mathew Barzal,2020,23,NYI,C,55,17,28,45,15,48,5.6,16,1,0,1,21,7,0,134,12.7,1030,18:44:00,13,22,152,198,43.4,852,703,54.8,9.1,670,513,56.6,10.9,9.8,89.6,99.4,59.4,40.6,18:43:00,16:07:00,28,45,217,61.8,5.0,1.0,4.0,20.0
Nathan Bastian,2020,23,NJD,RW,41,3,7,10,0,21,0.4,3,0,0,0,7,0,0,46,6.5,517,12:37:00,25,136,12,21,36.4,376,396,48.7,-1.3,288,305,48.6,-0.3,9.6,91.7,101.3,30.4,69.6,12:37:00,11:13:00,11,6,74,62.2,0.0,0.0,0.0,0.0
Drake Batherson,2020,22,OTT,C,56,17,17,34,-17,8,3.2,12,5,0,3,7,10,0,111,15.3,923,16:28:00,29,102,5,8,38.5,685,754,47.6,-1,518,585,47,-2.3,7.2,89.9,97.1,51.9,48.1,16:28:00,13:13:00,15,25,212,52.4,2.0,1.0,1.0,50.0
Gavin Bayreuther,2020,26,CBJ,D,9,1,0,1,-1,7,0.3,1,0,0,0,0,0,0,16,6.3,138,15:23:00,4,12,0,0,,114,104,52.3,7.7,92,79,53.8,10.5,4.5,93.3,97.8,59.4,40.6,15:23:00,15:01:00,5,0,32,50,0.0,0.0,0.0,0.0
Jay Beagle,2020,35,VAN,RW,30,1,4,5,-2,8,0,1,0,0,0,4,0,0,21,4.8,376,12:31:00,8,34,173,135,56.2,226,262,46.3,-2,165,199,45.3,-3.4,7.8,91.9,99.6,26.8,73.2,12:31:00,09:15:00,11,4,38,55.3,0.0,0.0,0.0,0.0
Jake Bean,2020,22,CAR,D,42,1,11,12,-2,10,1.8,0,1,0,0,7,4,0,55,1.8,611,14:32:00,21,17,0,0,,477,420,53.2,-1.4,361,329,52.3,-1.8,6.3,91.8,98.1,55.9,44.1,14:32:00,13:19:00,11,18,116,47.4,0.0,0.0,0.0,0.0
Ethan Bear,2020,23,EDM,D,43,2,6,8,-1,14,1.7,2,0,0,1,6,0,0,53,3.8,772,17:58:00,55,31,0,0,,519,538,49.1,0.1,384,393,49.4,0.4,9.6,90.5,100,51.3,48.7,17:58:00,15:36:00,13,41,100,53,0.0,0.0,0.0,0.0
Nicolas Beaudin,2020,21,CHI,D,19,2,4,6,1,2,1.2,2,0,0,0,3,1,0,7,28.6,262,13:47:00,21,14,0,0,,155,245,38.8,-5.9,113,182,38.3,-6.1,14.1,92.8,106.9,56.1,43.9,13:47:00,12:30:00,4,19,22,31.8,0.0,0.0,0.0,0.0
Nathan Beaulieu,2020,28,WPG,D,25,0,1,1,-5,20,0.1,0,0,0,0,1,0,0,26,0,418,16:44:00,30,39,0,0,,291,352,45.3,-3.4,226,276,45,-3.2,9.1,89.9,99,50.3,49.7,16:44:00,14:52:00,3,23,52,50,0.0,0.0,0.0,0.0
Anthony Beauvillier,2020,23,NYI,LW,47,15,13,28,15,12,4,12,3,0,5,12,1,0,109,13.8,771,16:24:00,13,39,2,5,28.6,517,582,47,-1.8,384,440,46.6,-3.5,11.9,93.7,105.5,47.5,52.5,16:24:00,14:09:00,15,27,174,62.6,6.0,3.0,3.0,50.0
Pierre-Edouard Bellemare,2020,35,COL,LW,53,9,2,11,6,21,1.2,9,0,0,0,2,0,0,60,15,600,11:20:00,36,26,260,168,60.7,425,349,54.9,-4.4,299,249,54.6,-4.5,7.3,93.8,101.2,40.6,59.4,11:20:00,09:05:00,17,11,101,59.4,0.0,0.0,0.0,0.0
Kieffer Bellows,2020,22,NYI,LW,14,3,0,3,0,4,0.4,3,0,0,1,0,0,0,19,15.8,154,11:01:00,5,36,2,2,50,123,119,50.8,2.3,87,90,49.2,-1.7,7.8,93.1,100.9,56.7,43.3,11:01:00,10:16:00,2,2,36,52.8,0.0,0.0,0.0,0.0
Louis Belpedio,2020,24,MIN,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0,14,13:58:00,1,3,0,0,,6,17,26.1,-29.1,6,14,30,-23.1,0,88.9,88.9,40,60,13:58:00,11:49:00,0,0,3,66.7,0.0,0.0,0.0,0.0
Alex Belzile,2020,29,MTL,F,2,0,1,1,-1,0,0,0,0,0,0,1,0,0,3,0,21,10:39:00,0,2,4,1,80,22,17,56.4,3.3,16,14,53.3,3.8,12.5,77.8,90.3,66.7,33.3,10:39:00,0.4166666666666667,1,1,6,50,0.0,0.0,0.0,0.0
Emil Bemstrom,2020,21,CBJ,C,20,3,2,5,2,0,0.5,2,1,0,0,2,0,0,28,10.7,257,12:51:00,8,15,0,0,,205,199,50.7,4.6,151,146,50.8,3.4,6.6,95.2,101.8,46.9,53.1,12:51:00,11:55:00,2,5,54,51.9,0.0,0.0,0.0,0.0
Jamie Benn,2020,31,DAL,LW,52,11,24,35,13,33,3.8,8,3,0,2,18,6,0,124,8.9,925,17:47:00,27,73,268,210,56.1,732,621,54.1,1.6,540,463,53.8,1.7,9.6,92.5,102,57.8,42.2,17:47:00,14:41:00,18,36,209,59.3,2.0,0.0,2.0,0.0
Jordie Benn,2020,33,TOT,D,39,1,9,10,7,9,2.3,1,0,0,0,9,0,0,45,2.2,575,14:45:00,51,19,0,0,,417,481,46.4,-1.8,319,367,46.5,-2.4,11.6,91.5,103.1,50.9,49.1,14:45:00,13:23:00,5,19,92,48.9,0.0,0.0,0.0,0.0
Jordie Benn,2020,33,VAN,D,31,1,8,9,5,9,2,1,0,0,0,8,0,0,39,2.6,455,14:40:00,46,14,0,0,,417,481,46.4,-1.8,319,367,46.5,-2.4,11.6,91.5,103.1,50.9,49.1,14:45:00,13:23:00,5,19,92,48.9,0.0,0.0,0.0,0.0
Jordie Benn,2020,33,WPG,D,8,0,1,1,2,0,0.4,0,0,0,0,1,0,0,6,0,121,15:04:00,5,5,0,0,,417,481,46.4,-1.8,319,367,46.5,-2.4,11.6,91.5,103.1,50.9,49.1,14:45:00,13:23:00,5,19,92,48.9,0.0,0.0,0.0,0.0
Sam Bennett,2020,24,TOT,C,48,10,17,27,-2,52,2.6,9,1,0,4,15,2,0,106,9.4,692,14:25:00,18,108,124,137,47.5,566,456,55.4,1.9,433,350,55.3,2.6,9.7,88.2,98,60.7,39.3,14:25:00,12:14:00,16,27,169,62.7,0.0,0.0,0.0,0.0
Sam Bennett,2020,24,CGY,C,38,4,8,12,-14,19,0.3,4,0,0,1,8,0,0,67,6,512,13:28:00,17,79,69,73,48.6,566,456,55.4,1.9,433,350,55.3,2.6,9.7,88.2,98,60.7,39.3,14:25:00,12:14:00,16,27,169,62.7,0.0,0.0,0.0,0.0
Sam Bennett,2020,24,FLA,C,10,6,9,15,12,33,2.3,5,1,0,3,7,2,0,39,15.4,181,18:04:00,1,29,55,64,46.2,566,456,55.4,1.9,433,350,55.3,2.6,9.7,88.2,98,60.7,39.3,14:25:00,12:14:00,16,27,169,62.7,0.0,0.0,0.0,0.0
Matt Benning,2020,26,NSH,D,53,1,3,4,-1,30,1.3,1,0,0,0,2,0,1,43,2.3,865,16:20:00,53,55,0,0,,593,644,47.9,-2.5,453,476,48.8,-2.4,7.4,93,100.3,34.5,65.5,16:20:00,14:17:00,3,28,97,44.3,0.0,0.0,0.0,0.0
Simon Benoit,2020,22,ANA,D,6,0,0,0,-3,2,-0.1,0,0,0,0,0,0,0,3,0,103,17:12:00,9,20,0,0,,85,72,54.1,1.4,64,53,54.7,3.3,4.3,87.2,91.5,32.1,67.9,17:12:00,15:31:00,0,1,8,37.5,0.0,0.0,0.0,0.0
Patrice Bergeron,2020,35,BOS,C,54,23,25,48,27,16,6.9,13,7,3,3,18,6,1,182,12.6,984,18:13:00,36,49,714,433,62.2,790,473,62.5,11.2,641,360,64,11.8,10.8,88.7,99.5,57.5,42.5,18:13:00,13:06:00,35,14,298,61.1,0.0,0.0,0.0,0.0
Lean Bergmann,2020,22,SJS,F,1,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,1,0,10,10:19:00,1,3,0,0,,8,15,34.8,-7,6,12,33.3,-3.7,0,88.9,88.9,60,40,10:19:00,10:19:00,1,0,1,100,0.0,0.0,0.0,0.0
Jacob Bernard-Docker,2020,20,OTT,D,5,0,0,0,2,0,0.2,0,0,0,0,0,0,0,6,0,68,13:40:00,5,3,0,0,,46,58,44.2,-2.3,31,49,38.8,-9.1,18.8,97.6,116.3,74.1,25.9,13:40:00,13:16:00,0,2,16,37.5,0.0,0.0,0.0,0.0
Tyler Bertuzzi,2020,25,DET,LW,9,5,2,7,0,4,1,2,3,0,1,1,1,0,20,25,177,19:37:00,3,13,1,1,50,115,94,55,9.5,85,76,52.8,8.5,7.6,91.7,99.2,60.3,39.7,19:37:00,14:03:00,6,8,34,58.8,0.0,0.0,0.0,0.0
Alex Biega,2020,32,DET,D,13,0,3,3,-1,4,0.4,0,0,0,0,3,0,0,4,0,139,10:40:00,11,22,0,0,,95,133,41.7,-1.5,68,99,40.7,-3,9.1,91.9,101,47.4,52.6,10:40:00,09:33:00,0,4,18,22.2,0.0,0.0,0.0,0.0
Clark Bishop,2020,24,OTT,C,13,0,3,3,2,4,0.2,0,0,0,0,3,0,0,16,0,123,09:28:00,8,23,36,35,50.7,109,112,49.3,2.7,83,82,50.3,4.2,10.4,92.1,102.5,22.4,77.6,09:28:00,09:07:00,3,6,25,64,0.0,0.0,0.0,0.0
Anthony Bitetto,2020,30,NYR,D,14,1,3,4,-8,20,0,1,0,0,0,2,1,0,12,8.3,202,14:26:00,10,21,0,0,,135,204,39.8,-5.2,102,160,38.9,-7.2,8.5,88,96.5,50.5,49.5,14:26:00,13:28:00,2,3,25,48,0.0,0.0,0.0,0.0
Anders Bjork,2020,24,TOT,LW,45,5,6,11,-13,14,0.2,5,0,0,0,5,0,1,41,12.2,625,13:53:00,13,48,0,1,0,437,478,47.8,-3.7,338,358,48.6,-2.8,7.2,88.2,95.3,44.3,55.7,13:53:00,12:10:00,25,13,83,49.4,1.0,1.0,0.0,100.0
Anders Bjork,2020,24,BOS,LW,30,2,3,5,-8,10,-0.1,2,0,0,0,3,0,0,22,9.1,369,12:18:00,9,37,0,1,0,437,478,47.8,-3.7,338,358,48.6,-2.8,7.2,88.2,95.3,44.3,55.7,13:53:00,12:10:00,25,13,83,49.4,1.0,1.0,0.0,100.0
Anders Bjork,2020,24,BUF,LW,15,3,3,6,-5,4,0.4,3,0,0,0,2,0,1,19,15.8,256,17:02:00,4,11,0,0,,437,478,47.8,-3.7,338,358,48.6,-2.8,7.2,88.2,95.3,44.3,55.7,13:53:00,12:10:00,25,13,83,49.4,1.0,1.0,0.0,100.0
Oliver Bjorkstrand,2020,25,CBJ,RW,56,18,26,44,-15,23,4.2,16,2,0,0,22,4,0,143,12.6,986,17:37:00,30,42,3,4,42.9,717,805,47.1,0.9,563,617,47.7,1.2,10.3,87.6,97.9,53.1,46.9,17:37:00,15:57:00,39,26,237,60.3,4.0,3.0,1.0,75.0
Tobias Bjornfot,2020,19,LAK,D,33,1,5,6,-3,14,1.3,1,0,0,0,5,0,0,30,3.3,556,16:51:00,34,28,0,0,,418,485,46.3,-1.7,306,369,45.3,-2.8,6.1,93.7,99.7,51.1,48.9,16:51:00,15:28:00,5,13,55,54.5,0.0,0.0,0.0,0.0
