Player,Season,Age_x,Tm,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
Vitaly Abramov,2020,22,OTT,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,09:43:00,0,0,0,0,,14,18,43.8,-2.8,8,14,36.4,-11.6,0,100,100,0,100,09:43:00,09:43:00,0,0,2,0,0.0,0.0,0.0,0.0
Noel Acciari,2020,29,FLA,C,41,4,7,11,0,9,0.4,3,1,0,1,4,2,1,68,5.9,631,15:24:00,63,91,272,247,52.4,430,474,47.6,-7.2,330,357,48,-7,6.7,93,99.8,31.6,68.4,15:24:00,12:13:00,17,11,102,66.7,0.0,0.0,0.0,0.0
Calen Addison,2020,20,MIN,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,56,18:31:00,1,2,0,0,,44,48,47.8,0.8,34,40,45.9,-1.7,12,91.7,103.7,75.9,24.1,18:31:00,15:46:00,0,0,6,66.7,0.0,0.0,0.0,0.0
Kenny Agostino,2020,28,TOR,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,04:08:00,0,0,0,0,,3,1,75,12.3,3,1,75,15.7,0,100,100,0,100,04:08:00,04:08:00,0,0,0,,0.0,0.0,0.0,0.0
Andrew Agozzino,2020,30,ANA,LW,3,0,1,1,0,0,0.1,0,0,0,0,1,0,0,3,0,37,12:11:00,7,6,16,16,50,32,37,46.4,6.4,22,24,47.8,11.3,7.1,93.8,100.9,47.6,52.4,12:11:00,11:55:00,0,1,5,60,0.0,0.0,0.0,0.0
Jack Ahcan,2020,23,BOS,D,3,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,5,0,62,20:38:00,5,2,0,0,,43,61,41.3,-10.7,38,49,43.7,-10.1,0,90,90,72.4,27.6,20:38:00,18:11:00,0,0,7,71.4,0.0,0.0,0.0,0.0
Sebastian Aho,2020,23,CAR,F,56,24,33,57,16,32,7.2,14,7,3,7,22,11,0,148,16.2,1090,19:28:00,25,38,365,327,52.7,867,667,56.5,4,651,506,56.3,4.2,10.3,91.3,101.7,56.1,43.9,19:28:00,14:49:00,33,61,251,59,2.0,0.0,2.0,0.0
Sebastian Aho,2020,23,CAR,F,56,24,33,57,16,32,7.2,14,7,3,7,22,11,0,148,16.2,1090,19:28:00,25,38,365,327,52.7,36,48,42.9,-12.2,27,40,40.3,-15.2,11.1,88,99.1,44.4,55.6,13:21:00,13:16:00,0,3,8,50,2.0,0.0,2.0,0.0
Sebastian Aho,2020,24,NYI,D,3,1,1,2,-1,2,0.3,1,0,0,0,1,0,0,4,25,40,13:21:00,2,1,0,0,,867,667,56.5,4,651,506,56.3,4.2,10.3,91.3,101.7,56.1,43.9,19:28:00,14:49:00,33,61,251,59,2.0,0.0,2.0,0.0
Sebastian Aho,2020,24,NYI,D,3,1,1,2,-1,2,0.3,1,0,0,0,1,0,0,4,25,40,13:21:00,2,1,0,0,,36,48,42.9,-12.2,27,40,40.3,-15.2,11.1,88,99.1,44.4,55.6,13:21:00,13:16:00,0,3,8,50,2.0,0.0,2.0,0.0
