,Player,Season,Age,Tm,GP,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
0,Jake Allen,2017,27,STL,59,56,27,25,3,152,1614,1462,0.906,2.75,1,7.9,3317,27,8,0,1,1,0,2,0,2,100.0
1,Frederik Andersen,2017,28,TOR,66,66,38,21,5,182,2211,2029,0.918,2.81,5,13.6,3889,37,8,0,1,1,2,33,7,26,78.8
2,Craig Anderson,2017,36,OTT,58,55,23,25,6,180,1768,1588,0.898,3.32,2,7.2,3251,25,11,0,0,0,2,23,8,15,65.2
3,Jonathan Bernier,2017,29,COL,37,34,19,13,3,95,1092,997,0.913,2.85,2,6.2,2001,18,5,0,1,1,0,3,2,1,33.3
4,Reto Berra,2017,31,ANA,5,1,1,1,0,7,95,88,0.926,2.31,0,0.7,182,1,0,0,0,0,0,9,3,6,66.7
5,Ben Bishop,2017,31,DAL,53,51,26,17,5,120,1437,1317,0.916,2.49,5,8.7,2887,27,8,0,1,1,4,7,1,6,85.7
6,Sergei Bobrovsky,2017,29,CBJ,65,65,37,22,6,158,1993,1835,0.921,2.42,5,12.9,3912,38,10,0,3,3,0,35,10,25,71.4
7,Peter Budaj,2017,35,TBL,8,7,3,3,1,27,217,190,0.876,3.76,0,0.3,430,2,1,0,0,0,0,3,1,2,66.7
8,Jack Campbell,2017,26,LAK,5,4,2,0,2,11,145,134,0.924,2.48,0,1,267,2,0,0,0,0,0,5,2,3,60.0
9,Mike Condon,2017,27,OTT,31,26,5,17,5,88,898,810,0.902,3.25,0,4,1626,13,6,0,2,2,0,14,7,7,50.0
10,Scott Darling,2017,29,CAR,43,40,13,21,7,131,1171,1040,0.888,3.18,0,3.5,2475,14,7,0,0,0,2,12,5,7,58.3
11,Aaron Dell,2017,28,SJS,29,22,15,5,4,67,775,708,0.914,2.64,2,4.4,1522,11,4,0,1,1,0,3,0,3,100.0
12,Louis Domingue,2017,25,TOT,19,16,7,9,1,61,578,517,0.894,3.41,0,2.1,1074,6,3,0,0,0,2,4,1,3,75.0
13,Devan Dubnyk,2017,31,MIN,60,59,35,16,7,145,1769,1624,0.918,2.52,5,11,3450,36,8,0,3,3,12,17,5,12,70.6
14,Brian Elliott,2017,32,PHI,43,42,23,11,7,112,1228,1116,0.909,2.66,1,6.4,2522,20,6,0,1,1,2,9,5,4,44.4
15,Marc-Andre Fleury,2017,33,VEG,46,46,29,13,4,100,1376,1276,0.927,2.24,4,9.9,2673,31,4,0,1,1,6,13,4,9,69.2
16,Anton Forsberg,2017,25,CHI,35,30,10,16,4,85,921,836,0.908,2.97,0,4.7,1715,14,7,0,1,1,0,13,6,7,53.8
17,John Gibson,2017,24,ANA,60,60,31,18,7,139,1872,1733,0.926,2.43,4,13.2,3428,39,4,0,1,1,16,19,7,12,63.2
18,Thomas Greiss,2017,32,NYI,27,25,13,8,2,95,879,784,0.892,3.82,1,3,1492,9,7,0,0,0,0,2,2,0,0.0
19,Philipp Grubauer,2017,26,WSH,35,28,15,10,3,73,953,880,0.923,2.35,3,6.5,1865,19,3,0,1,1,0,2,2,0,0.0
20,Jaroslav Halak,2017,32,NYI,54,49,20,26,6,161,1744,1583,0.908,3.19,1,8.9,3024,22,8,0,0,0,4,14,2,12,85.7
21,Connor Hellebuyck,2017,24,WPG,67,64,44,11,9,156,2048,1892,0.924,2.36,6,14,3966,39,6,0,2,2,0,22,6,16,72.7
22,Braden Holtby,2017,28,WSH,54,54,34,16,4,153,1648,1495,0.907,2.99,0,8.3,3068,30,9,0,0,0,2,9,1,8,88.9
23,Jimmy Howard,2017,33,DET,60,57,22,27,9,160,1770,1610,0.91,2.85,1,9.4,3368,28,6,0,1,1,10,21,2,19,90.5
24,Carter Hutton,2017,32,STL,32,26,17,7,3,56,810,754,0.931,2.09,3,6.2,1610,19,2,0,0,0,2,4,0,4,100.0
25,Tristan Jarry,2017,22,PIT,26,23,14,6,2,63,687,624,0.908,2.77,2,3.5,1364,14,4,0,2,2,4,3,2,1,33.3
26,Martin Jones,2017,28,SJS,60,60,30,22,6,145,1699,1554,0.915,2.55,4,9.9,3416,36,9,0,0,0,2,36,12,24,66.7
27,Anton Khudobin,2017,31,BOS,31,29,16,6,7,76,876,800,0.913,2.56,1,5,1781,16,4,0,2,2,2,18,4,14,77.8
28,Keith Kinkaid,2017,28,NJD,41,38,26,10,3,106,1214,1108,0.913,2.77,1,6.8,2298,19,4,0,2,2,2,17,6,11,64.7
29,Joonas Korpisalo,2017,23,CBJ,18,17,8,8,1,58,564,506,0.897,3.32,0,2.2,1049,7,3,0,0,0,0,5,0,5,100.0
30,Darcy Kuemper,2017,27,TOT,29,25,12,7,5,67,833,766,0.92,2.52,4,5.3,1596,12,3,0,1,1,0,2,0,2,100.0
31,Maxime Lagace,2017,25,VEG,16,14,6,7,1,57,430,373,0.867,3.92,0,0.3,874,5,3,0,0,0,0,3,1,2,66.7
32,Robin Lehner,2017,26,BUF,53,50,14,26,9,143,1560,1417,0.908,3.01,3,8,2852,24,8,0,0,0,2,10,4,6,60.0
33,Kari Lehtonen,2017,34,DAL,37,30,15,14,3,83,946,863,0.912,2.56,1,5.3,1944,19,7,0,0,0,4,12,5,7,58.3
34,Henrik Lundqvist,2017,35,NYR,63,61,26,26,7,174,2036,1862,0.915,2.98,2,11.9,3503,32,9,0,1,1,0,21,9,12,57.1
35,Roberto Luongo,2017,38,FLA,35,33,18,11,2,81,1143,1062,0.929,2.47,3,8.5,1966,22,3,0,2,2,0,10,3,7,70.0
36,Jacob Markstrom,2017,28,VAN,60,57,23,26,7,154,1745,1591,0.912,2.71,2,9.6,3414,29,8,0,3,3,4,19,8,11,57.9
37,Curtis McElhinney,2017,34,TOR,18,15,11,5,1,35,528,493,0.934,2.14,3,4.2,979,8,1,0,1,1,0,2,0,2,100.0
38,Ryan Miller,2017,37,ANA,28,21,12,6,6,53,739,686,0.928,2.35,4,5.4,1353,13,3,0,0,0,0,23,8,15,65.2
39,Al Montoya,2017,32,TOT,13,8,4,3,2,37,346,309,0.893,3.21,0,1.2,692,1,2,0,2,2,0,3,1,2,66.7
40,Petr Mrazek,2017,25,TOT,39,33,14,13,6,106,1080,974,0.902,3.03,4,4.8,2097,11,8,0,0,0,0,16,6,10,62.5
41,Matt Murray,2017,23,PIT,49,45,27,16,3,133,1423,1290,0.907,2.92,1,7,2733,19,6,0,1,1,2,9,2,7,77.8
42,Michal Neuvirth,2017,29,PHI,22,18,9,7,3,45,530,485,0.915,2.6,1,3.1,1039,10,5,0,1,1,0,16,4,12,75.0
43,Antti Niemi,2017,34,TOT,24,20,7,9,4,63,710,647,0.911,3.12,1,3.9,1213,12,4,0,1,1,0,9,4,5,55.6
44,Anders Nilsson,2017,27,VAN,27,24,7,14,4,84,850,766,0.901,3.44,2,3.7,1464,8,5,0,1,1,0,4,3,1,25.0
45,Ondrej Pavelec,2017,30,NYR,19,12,4,9,1,46,510,464,0.91,3.05,1,2.7,904,5,3,0,0,0,2,5,2,3,60.0
46,Carey Price,2017,30,MTL,49,48,16,26,7,148,1487,1339,0.9,3.11,1,6.4,2855,21,10,0,0,0,0,12,3,9,75.0
47,Jonathan Quick,2017,32,LAK,64,63,33,28,3,147,1867,1720,0.921,2.4,5,12.2,3677,37,7,0,4,4,10,4,1,3,75.0
48,Antti Raanta,2017,28,ARI,47,46,21,17,6,97,1388,1291,0.93,2.24,3,10.4,2599,32,6,0,0,0,0,21,9,12,57.1
49,Tuukka Rask,2017,30,BOS,54,53,34,14,5,125,1513,1388,0.917,2.36,3,9.3,3173,30,6,0,2,2,4,11,4,7,63.6
50,James Reimer,2017,29,FLA,44,42,22,14,6,120,1373,1253,0.913,2.99,4,7.7,2411,22,8,0,1,1,4,14,5,9,64.3
51,Pekka Rinne,2017,35,NSH,59,59,42,13,4,134,1840,1706,0.927,2.31,8,13.2,3475,40,5,0,1,1,6,34,7,27,79.4
52,Juuse Saros,2017,22,NSH,26,23,11,5,7,61,810,749,0.925,2.45,3,5.6,1497,14,2,0,3,3,0,14,7,7,50.0
53,Cory Schneider,2017,31,NJD,40,40,17,16,6,114,1228,1114,0.907,2.93,1,6.2,2332,19,7,0,0,0,0,23,4,19,82.6
54,Mike Smith,2017,35,CGY,55,55,25,22,6,141,1686,1545,0.916,2.65,3,10.2,3191,32,9,0,2,2,8,18,8,10,55.6
55,Alex Stalock,2017,30,MIN,28,23,10,10,4,71,787,716,0.91,2.85,1,4.2,1495,13,3,0,0,0,0,10,2,8,80.0
56,Malcolm Subban,2017,24,VEG,22,19,13,4,2,55,614,559,0.91,2.68,0,3.3,1230,8,2,0,0,0,2,13,0,13,100.0
57,Cam Talbot,2017,30,EDM,67,67,31,31,3,188,2036,1848,0.908,3.02,1,10.3,3730,32,11,0,1,1,8,13,5,8,61.5
58,Semyon Varlamov,2017,29,COL,51,47,24,16,6,128,1595,1467,0.92,2.68,2,10.2,2861,28,5,0,0,0,2,6,1,5,83.3
59,Andrei Vasilevskiy,2017,23,TBL,65,64,44,17,3,167,2075,1908,0.92,2.62,8,13.2,3825,36,8,0,2,2,14,16,1,15,93.8
60,Cam Ward,2017,33,CAR,43,42,23,14,4,112,1187,1075,0.906,2.73,2,5.8,2459,21,10,0,0,0,14,5,1,4,80.0
