Player,Season,Age_x,Tm,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
Justin Abdelkader,2011,24,DET,LW,81,8,14,22,4,62,1.6,8,0,0,1,14,0,0,121,6.6,997,12:19:00,42,148,239,213,52.9,794,698,53.2,-3.2,589,524,52.9,-3.7,7.4,93.1,100.5,59.3,40.7,12:19:00,10:46:00,16,14,196,61.7,0,0,0,0.0
Luke Adam,2011,21,BUF,LW,52,10,10,20,-6,14,2,10,0,0,0,7,3,0,89,11.2,645,12:24:00,15,26,114,145,44,488,495,49.6,1.8,362,400,47.5,-0.2,7.4,92.2,99.6,57.5,42.5,12:24:00,10:46:00,24,16,167,53.3,0,0,0,0.0
Craig Adams,2011,34,PIT,RW,82,5,13,18,-6,34,0.6,5,0,0,0,10,0,3,76,6.6,925,11:17:00,45,162,132,160,45.2,530,545,49.3,-6.6,402,403,49.9,-6.4,7.8,89.3,97.1,43.8,56.2,11:17:00,08:24:00,13,7,130,58.5,0,0,0,0.0
Andrew Alberts,2011,30,VAN,D,44,2,1,3,4,40,1.4,2,0,0,2,1,0,0,19,10.5,629,14:18:00,39,91,0,0,,453,521,46.5,-7.7,313,389,44.6,-8.2,9.5,93.9,103.4,39.4,60.6,14:18:00,13:04:00,13,16,61,31.1,0,0,0,0.0
Daniel Alfredsson,2011,39,OTT,RW,75,27,32,59,16,18,7.5,17,7,3,4,24,7,1,191,14.1,1421,18:57:00,31,52,20,26,43.5,1182,922,56.2,4.3,832,724,53.5,2.3,9,92.4,101.4,58,42,18:57:00,14:41:00,50,58,337,56.7,6,5,1,83.3
Akim Aliu,2011,22,CGY,RW,2,2,1,3,3,12,0.7,2,0,0,0,1,0,0,3,66.7,22,11:02:00,0,6,0,0,,17,18,48.6,0.4,12,17,41.4,-4.6,27.3,100,127.3,36.4,63.6,11:02:00,10:41:00,0,1,4,75,0,0,0,0.0
Bryan Allen,2011,31,CAR,D,82,1,13,14,-1,76,3.4,1,0,0,1,12,0,1,87,1.1,1571,19:10:00,188,111,0,0,,1192,1336,47.2,-1.9,848,960,46.9,-1.6,7.9,91.9,99.9,40,60,19:10:00,16:26:00,22,36,210,41.4,0,0,0,0.0
Cody Almond,2011,22,MIN,C,10,1,0,1,-5,15,-0.1,1,0,0,0,0,0,0,7,14.3,102,10:13:00,8,15,25,33,43.1,63,113,35.8,-7.3,44,83,34.6,-9.1,3.6,88.2,91.8,48,52,10:13:00,09:06:00,3,2,13,53.8,0,0,0,0.0
Karl Alzner,2011,23,WSH,D,82,1,16,17,12,29,4.4,1,0,0,0,15,1,0,56,1.8,1712,20:52:00,139,74,0,0,,1190,1417,45.6,-4.5,871,998,46.6,-3.5,9.5,92.9,102.5,41.2,58.8,20:52:00,17:59:00,18,48,146,38.4,0,0,0,0.0
Joakim Andersson,2011,22,DET,C,5,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,33,06:40:00,1,5,5,1,83.3,27,22,55.1,3.3,23,18,56.1,4.9,7.1,100,107.1,73.3,26.7,06:40:00,06:40:00,0,0,3,100,0,0,0,0.0
Mike Angelidis,2011,26,TBL,C,6,1,0,1,-1,5,0.1,1,0,0,0,0,0,0,8,12.5,39,06:30:00,2,6,4,3,57.1,30,28,51.7,8.6,24,18,57.1,11.4,6.3,83.3,89.6,33.3,66.7,06:30:00,06:30:00,3,1,11,72.7,0,0,0,0.0
Artem Anisimov,2011,23,NYR,C,79,16,20,36,12,34,4.4,11,4,1,1,20,0,0,132,12.1,1217,15:24:00,46,75,161,184,46.7,865,911,48.7,-1.4,668,637,51.2,-0.1,8.9,93.2,102.1,52.2,47.8,15:24:00,12:44:00,37,14,254,52,2,0,2,0.0
Nik Antropov,2011,31,WPG,C,69,15,20,35,0,42,3.5,11,4,0,0,14,6,0,95,15.8,1140,16:31:00,41,94,283,369,43.4,830,798,51,-0.4,616,585,51.3,-0.9,8.9,90.3,99.2,57,43,16:31:00,12:36:00,25,23,177,53.7,1,0,1,0.0
Colby Armstrong,2011,29,TOR,RW,29,1,2,3,-8,9,-0.4,1,0,0,0,2,0,0,14,7.1,270,09:19:00,5,37,7,11,38.9,191,239,44.4,-3.2,126,167,43,-3.7,4.4,89.4,93.8,50.4,49.6,09:19:00,08:58:00,6,7,26,53.8,0,0,0,0.0
Jason Arnott,2011,37,STL,C,72,17,17,34,13,26,4.8,11,6,0,3,9,8,0,142,12,1014,14:05:00,13,24,387,382,50.3,836,693,54.7,-1.3,627,502,55.5,-2,8,94.1,102.1,60.9,39.1,14:05:00,11:39:00,17,11,231,61.5,0,0,0,0.0
